pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW.g.ml
74,15OFA1AT,HOST,4,0.9613,1.0065,0.0452,1.0022,0.001075
64,15OFA1ML,HOST,4,0.9451,0.9949,0.0498,0.9861,0.002200
80,15OFA2ML,HOST,4,0.9631,1.0186,0.0555,1.0091,0.002375
81,15OFA3ML,HOST,4,0.9585,1.0106,0.0521,1.0007,0.002475
4,15OFA3T,HOST,4,0.9767,1.0210,0.0443,1.0174,0.000900
82,15OFA4ML,HOST,4,0.9675,1.0226,0.0551,1.0120,0.002650
3,15OFA4T,HOST,4,0.9406,0.9542,0.0136,0.9510,0.000800
83,15OFA5ML,HOST,4,0.9615,1.0118,0.0503,1.0033,0.002125
70,15OFA5T,HOST,4,0.9683,0.9843,0.0160,0.9787,0.001400
84,15OFA6ML,HOST,4,0.9714,1.0213,0.0499,1.0131,0.002050
122,15OFR1ML,HOST,4,0.9701,1.0177,0.0476,1.0101,0.001900
160,15OFR1T,HOST,4,0.9731,1.0220,0.0489,1.0110,0.002750
138,15OFR2ML,HOST,4,0.9789,1.0316,0.0527,1.0219,0.002425
5,15OFR2T,HOST,4,0.9605,0.9775,0.0170,0.9715,0.001500
73,15OFR3ML,HOST,4,0.9685,1.0161,0.0476,1.0091,0.001750
71,15OFR3T,HOST,4,0.9633,1.0129,0.0496,1.0028,0.002525
124,15OFR4ML,HOST,4,0.9606,1.0066,0.0460,0.9994,0.001800
72,15OFR4T,HOST,4,0.9609,0.9751,0.0142,0.9711,0.001000
137,15OFR5ML,HOST,4,0.9769,1.0241,0.0472,1.0172,0.001725
2,15OFR5T,HOST,4,0.9536,0.9745,0.0209,0.9674,0.001775
27,30OFA1ML,HOST,4,0.9558,1.0035,0.0477,0.9957,0.001950
13,30OFA1T,HOST,4,0.9675,1.0133,0.0458,1.0088,0.001125
28,30OFA2ML,HOST,4,0.9713,1.0268,0.0555,1.0170,0.002450
14,30OFA2T,HOST,4,0.9645,1.0165,0.0520,1.0075,0.002250
29,30OFA3ML,HOST,4,0.9508,0.9985,0.0477,0.9924,0.001525
15,30OFA3T,HOST,4,0.9650,1.0181,0.0531,1.0083,0.002450
30,30OFA4ML,HOST,4,0.9602,1.0070,0.0468,1.0008,0.001550
16,30OFA4T,HOST,4,0.9616,1.0114,0.0498,1.0027,0.002175
31,30OFA5ML,HOST,4,0.961,1.0148,0.0538,1.0076,0.001800
17,30OFA5T,HOST,4,0.9687,1.0182,0.0495,1.0122,0.001500
134,30OFR1ML,HOST,4,0.9573,0.9907,0.0334,0.9880,0.000675
18,30OFR1T,HOST,4,0.9511,0.9640,0.0129,0.9610,0.000750
120,30OFR2ML,HOST,4,0.9433,0.9760,0.0327,0.9706,0.001350
19,30OFR2T,HOST,4,0.9751,0.9918,0.0167,0.9861,0.001425
161,30OFR3ML,HOST,4,0.9664,1.0195,0.0531,1.0085,0.002750
121,30OFR3T,HOST,4,0.9531,0.9929,0.0398,0.9885,0.001100
109,30OFR4ML,HOST,4,0.9589,1.0034,0.0445,0.9974,0.001500
162,30OFR4T,HOST,4,0.9494,0.9925,0.0431,0.9844,0.002025
132,30OFR5ML,HOST,4,0.9750,1.0210,0.0460,1.0165,0.001125
20,30OFR5T,HOST,4,0.9566,1.0048,0.0482,0.9958,0.002250
1,450FA2T,HOST,4,0.9579,1.0093,0.0514,1.0050,0.001075
44,45OFA1ML,HOST,4,0.9713,1.0242,0.0529,1.0191,0.001275
100,45OFA1T,HOST,4,0.9603,0.9772,0.0169,0.9733,0.000975
60,45OFA2ML,HOST,4,0.9552,1.0065,0.0513,0.9987,0.001950
61,45OFA3ML,HOST,4,0.9492,0.9990,0.0498,0.9923,0.001675
101,45OFA3T,HOST,4,0.9688,1.0242,0.0554,1.0132,0.002750
62,45OFA4ML,HOST,4,0.9686,1.0156,0.0470,1.0087,0.001725
102,45OFA4T,HOST,4,0.9568,0.9803,0.0235,0.9725,0.001950
103,45OFA5T,HOST,4,0.9715,1.0359,0.0644,1.0214,0.003625
10,45OFA6T,HOST,4,0.9633,1.0239,0.0606,1.0106,0.003325
63,45OFAML,HOST,4,0.9661,0.9967,0.0306,0.9887,0.002000
135,45OFR1ML,HOST,4,0.9493,0.9943,0.0450,0.9894,0.001225
75,45OFR1T,HOST,4,0.9537,0.9715,0.0178,0.9669,0.001150
129,45OFR2ML,HOST,4,0.9475,0.9948,0.0473,0.9868,0.002000
125,45OFR2T,HOST,4,0.9658,1.0118,0.0460,1.0027,0.002275
131,45OFR3ML,HOST,4,0.9916,1.0378,0.0462,1.0300,0.001950
76,45OFR3T,HOST,4,0.9554,0.9750,0.0196,0.9696,0.001350
163,45OFR4ML,HOST,4,0.9430,0.9919,0.0489,0.9837,0.002050
77,45OFR4T,HOST,4,0.9453,0.9754,0.0301,0.9699,0.001375
139,45OFR5ML,HOST,4,0.9662,1.0130,0.0468,1.0059,0.001775
