"","colony_id","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2"
"1","15AA1ML",NA,NA
"2","15AA2ML",NA,NA
"3","15AA3ML",NA,NA
"4","15AA4ML",NA,NA
"5","15AA5ML",NA,NA
"6","30AA1ML",NA,NA
"7","30AA2ML",NA,NA
"8","30AA3ML",NA,NA
"9","30AA4ML",NA,NA
"10","30AA5ML",NA,NA
"11","45AA1ML",NA,NA
"12","45AA2ML",NA,NA
"13","45AA3ML",NA,NA
"14","45AA4ML",NA,NA
"15","45AA5ML",NA,NA
"16","55AA1ML",NA,NA
"17","55AA2ML",NA,NA
"18","55AA3ML",NA,NA
"19","55AA4ML",NA,NA
"20","55AA5ML",NA,NA
"21","15AA1AT",NA,NA
"22","15AA1BT",NA,NA
"23","15AA2AT",NA,NA
"24","15AA2BT",NA,NA
"25","15AA3T",NA,NA
"26","15AA4T",NA,NA
"27","15AA5T",NA,NA
"28","30AA1T",NA,NA
"29","30AA2T",NA,NA
"30","30AA3T",NA,NA
"31","30AA4T",NA,NA
"32","30AA5T",NA,NA
"33","45AA1T",NA,NA
"34","45AA2T",NA,NA
"35","45AA3T",NA,NA
"36","45AA4T",NA,NA
"37","45AA5T",NA,NA
"38","55AA1T",NA,NA
"39","55AA2T",NA,NA
"40","55AA3T",NA,NA
"41","55AA4T",NA,NA
"42","55AA5T",NA,NA
"43","15CN1ML",NA,NA
"44","15CN2ML",NA,NA
"45","15CN3ML",NA,NA
"46","15CN4ML",NA,NA
"47","15CN5ML",NA,NA
"48","30CN1ML",NA,NA
"49","30CN2ML",NA,NA
"50","30CN3ML",NA,NA
"51","30CN4ML",NA,NA
"52","30CN5ML",NA,NA
"53","45CN1ML",NA,NA
"54","45CN2ML",NA,NA
"55","45CN3ML",NA,NA
"56","45CN4ML",NA,NA
"57","45CN5ML",NA,NA
"58","55CN1ML",NA,NA
"59","55CN2ML",NA,NA
"60","55CN3ML",NA,NA
"61","55CN4ML",NA,NA
"62","55CN5ML",NA,NA
"63","15CN1AT",NA,NA
"64","15CN1BT",NA,NA
"65","15CN2T",NA,NA
"66","15CN3T",NA,NA
"67","15CN4T",NA,NA
"68","15CN5T",NA,NA
"69","30CN1T",NA,NA
"70","30CN2T",NA,NA
"71","30CN3T",NA,NA
"72","30CN4T",NA,NA
"73","30CN5T",NA,NA
"74","45CN1T",NA,NA
"75","45CN2T",NA,NA
"76","45CN3T",NA,NA
"77","45CN4T",NA,NA
"78","45CN5T",NA,NA
"79","45CN6T",NA,NA
"80","45CN7T",NA,NA
"81","55CN1T",NA,NA
"82","55CN2T",NA,NA
"83","55CN3T",NA,NA
"84","55CN4T",NA,NA
"85","55CN5T",NA,NA
"86","55CN6T",NA,NA
