well,colony_id
A1,BK
A2,BK
A3,15AA1ML
A4,15AA1ML
A5,15AA2ML
A6,15AA2ML
A7,15AA3ML
A8,15AA3ML
A9,30AA1ML
A10,30AA1ML
A11,30AA2ML
A12,30AA2ML
B1,30AA3ML
B2,30AA3ML
B3,30AA4ML
B4,30AA4ML
B5,30AA5ML
B6,30AA5ML
B7,45AA1ML
B8,45AA1ML
B9,45AA2ML
B10,45AA2ML
B11,45AA3ML
B12,45AA3ML
C1,45AA4ML
C2,45AA4ML
C3,45AA5ML
C4,45AA5ML
C5,55AA1ML
C6,55AA1ML
C7,55AA2ML
C8,55AA2ML
C9,55AA3ML
C10,55AA3ML
C11,55AA4ML
C12,55AA4ML
D1,55AA5ML
D2,55AA5ML
D3,15AA1AT
D4,15AA1AT
D5,15AA1BT
D6,15AA1BT
D7,15AA2AT
D8,15AA2AT
D9,15AA2BT
D10,15AA2BT
D11,15AA3T
D12,15AA3T
E1,15AA4T
E2,15AA4T
E3,15AA5T
E4,15AA5T
E5,30AA1T
E6,30AA1T
E7,30AA2T
E8,30AA2T
E9,30AA3T
E10,30AA3T
E11,30AA4T
E12,30AA4T
F1,30AA5T
F2,30AA5T
F3,45AA1T
F4,45AA1T
F5,45AA2T
F6,45AA2T
F7,45AA3T
F8,45AA3T
F9,45AA4T
F10,45AA4T
F11,45AA5T
F12,45AA5T
G1,55AA1T
G2,55AA1T
G3,55AA2T
G4,55AA2T
G5,55AA3T
G6,55AA3T
G7,55AA4T
G8,55AA4T
G9,55AA5T
G10,55AA5T
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
