well,colony_id
A1,BK
A2,BK
A3,15CN1ML
A4,15CN1ML
A5,15CN2ML
A6,15CN2ML
A7,15CN3ML
A8,15CN3ML
A9,15CN4ML
A10,15CN4ML
A11,15CN5ML
A12,15CN5ML
B1,30CN1ML
B2,30CN1ML
B3,30CN2ML
B4,30CN2ML
B5,30CN3ML
B6,30CN3ML
B7,30CN4ML
B8,30CN4ML
B9,30CN5ML
B10,30CN5ML
B11,45CN1ML
B12,45CN1ML
C1,45CN2ML
C2,45CN2ML
C3,45CN3ML
C4,45CN3ML
C5,45CN4ML
C6,45CN4ML
C7,45CN5ML
C8,45CN5ML
C9,55CN1ML
C10,55CN1ML
C11,55CN2ML
C12,55CN2ML
D1,55CN3ML
D2,55CN3ML
D3,15CN1AT
D4,15CN1AT
D5,15CN1BT
D6,15CN1BT
D7,15CN2T
D8,15CN2T
D9,15CN3T
D10,15CN3T
D11,15CN4T
D12,15CN4T
E1,15CN5T
E2,15CN5T
E3,30CN1T
E4,30CN1T
E5,30CN2T
E6,30CN2T
E7,30CN3T
E8,30CN3T
E9,30CN4T
E10,30CN4T
E11,30CN5T
E12,30CN5T
F1,45CN1T
F2,45CN1T
F3,45CN2T
F4,45CN2T
F5,45CN3T
F6,45CN3T
F7,45CN4T
F8,45CN4T
F9,45CN5T
F10,45CN5T
F11,45CN6T
F12,45CN6T
G1,45CN7T
G2,45CN7T
G3,55CN1T
G4,55CN1T
G5,55CN2T
G6,55CN2T
G7,55CN3T
G8,55CN3T
G9,55CN4T
G10,55CN4T
G11,55CN5T
G12,55CN5T
H1,55CN6T
H2,55CN6T
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
