

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TLPR21_CHL_MCAV_08312023.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	8/31/2023
Time	3:20:23 PM
Reader Type:	Synergy HTX
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	21.5



Actual Temperature:	21.5



Actual Temperature:	21.5

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.028	0.027	0.114	0.142	0.059	0.068	0.108	0.120	0.102	0.109	0.063	0.069	Chl:630
	0.028	0.027	0.338	0.402	0.155	0.183	0.315	0.356	0.281	0.325	0.185	0.210	Chl:663
	0.028	0.027	0.029	0.034	0.028	0.029	0.029	0.029	0.040	0.029	0.028	0.029	Chl:750
B	0.057	0.064	0.093	0.104	0.063	0.067	0.068	0.067	0.081	0.088	0.088	0.100	Chl:630
	0.151	0.174	0.307	0.356	0.157	0.179	0.144	0.164	0.216	0.245	0.305	0.361	Chl:663
	0.028	0.030	0.028	0.029	0.028	0.028	0.029	0.029	0.030	0.029	0.029	0.029	Chl:750
C	0.065	0.074	0.085	0.097	0.074	0.085	0.090	0.102	0.090	0.102	0.052	0.056	Chl:630
	0.183	0.214	0.254	0.299	0.221	0.258	0.289	0.344	0.257	0.295	0.116	0.136	Chl:663
	0.028	0.030	0.029	0.033	0.028	0.032	0.029	0.031	0.029	0.030	0.029	0.029	Chl:750
D	0.098	0.111	0.060	0.068	0.068	0.078	0.054	0.059	0.093	0.099	0.082	0.090	Chl:630
	0.304	0.358	0.164	0.192	0.211	0.247	0.126	0.145	0.225	0.252	0.205	0.237	Chl:663
	0.028	0.029	0.028	0.029	0.029	0.031	0.029	0.028	0.038	0.029	0.034	0.033	Chl:750
E	0.098	0.115	0.085	0.099	0.085	0.096	0.110	0.123	0.053	0.059	0.112	0.121	Chl:630
	0.333	0.401	0.245	0.288	0.246	0.287	0.336	0.390	0.136	0.157	0.334	0.384	Chl:663
	0.029	0.031	0.029	0.033	0.029	0.029	0.029	0.029	0.028	0.029	0.039	0.030	Chl:750
F	0.075	0.085	0.060	0.067	0.060	0.065	0.115	0.131	0.086	0.096	0.064	0.068	Chl:630
	0.219	0.258	0.157	0.181	0.140	0.161	0.381	0.445	0.256	0.293	0.160	0.183	Chl:663
	0.028	0.029	0.028	0.029	0.031	0.032	0.029	0.029	0.032	0.029	0.029	0.029	Chl:750
G	0.098	0.111	0.141	0.155	0.053	0.067	0.084	0.094	0.069	0.080	0.028	0.028	Chl:630
	0.292	0.341	0.411	0.475	0.109	0.132	0.241	0.280	0.180	0.212	0.028	0.028	Chl:663
	0.029	0.034	0.039	0.030	0.029	0.032	0.030	0.031	0.029	0.031	0.027	0.028	Chl:750
H	0.037	0.029	0.028	0.028	0.028	0.028	0.028	0.035	0.029	0.028	0.028	0.029	Chl:630
	0.036	0.029	0.028	0.028	0.028	0.028	0.028	0.035	0.029	0.028	0.028	0.029	Chl:663
	0.036	0.029	0.028	0.028	0.028	0.028	0.028	0.034	0.029	0.028	0.028	0.029	Chl:750

