well,colony_id
A1,BK
A2,BK
A3,15OFR1ML
A4,15OFR1ML
A5,15OFR2ML
A6,15OFR2ML
A7,15OFR3ML
A8,15OFR3ML
A9,15OFR4ML
A10,15OFR4ML
A11,15OFR5ML
A12,15OFR5ML
B1,30OFR1ML
B2,30OFR1ML
B3,30OFR2ML
B4,30OFR2ML
B5,30OFR3ML
B6,30OFR3ML
B7,30OFR4ML
B8,30OFR4ML
B9,30OFR5ML
B10,30OFR5ML
B11,45OFR1ML
B12,45OFR1ML
C1,45OFR2ML
C2,45OFR2ML
C3,NA
C4,NA
C5,45OFR4ML
C6,45OFR4ML
C7,45OFR5ML
C8,45OFR5ML
C9,55OFR1ML
C10,55OFR1ML
C11,55OFR2ML
C12,55OFR2ML
D1,55OFR3ML
D2,55OFR3ML
D3,55OFR4ML
D4,55OFR4ML
D5,55OFR5ML
D6,55OFR5ML
D7,15OFR1T
D8,15OFR1T
D9,15OFR2T
D10,15OFR2T
D11,15OFR3T
D12,15OFR3T
E1,15OFR4T
E2,15OFR4T
E3,15OFR5T
E4,15OFR5T
E5,30OFR1T
E6,30OFR1T
E7,30OFR2T
E8,30OFR2T
E9,30OFR3T
E10,30OFR3T
E11,30OFR4T
E12,30OFR4T
F1,30OFR5T
F2,30OFR5T
F3,45OFR1T
F4,45OFR1T
F5,45OFR2T
F6,45OFR2T
F7,45OFR3T
F8,45OFR3T
F9,45OFR4T
F10,45OFR4T
F11,45OFR5T
F12,45OFR5T
G1,45OFR6T
G2,45OFR6T
G3,45OFR7T
G4,45OFR7T
G5,45OFR8T
G6,45OFR8T
G7,55OFR1T
G8,55OFR1T
G9,55OFR2T
G10,55OFR2T
G11,55OFR3T
G12,55OFR3T
H1,55OFR4T
H2,55OFR4T
H3,55OFR5T
H4,55OFR5T
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
