Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TLPR21_CHL_PAST_08312023.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,8/31/23,,,,,,,,,,,,
Time,11:02:59 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21.4,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21.4,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21.4,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.03,0.03,0.047,0.052,0.064,0.07,0.055,0.057,0.072,0.081,0.046,0.048,Chl:630
,0.029,0.03,0.094,0.107,0.179,0.201,0.13,0.142,0.195,0.224,0.086,0.096,Chl:663
,0.028,0.031,0.03,0.032,0.028,0.031,0.034,0.03,0.029,0.031,0.032,0.033,Chl:750
B,0.094,0.105,0.088,0.101,0.081,0.09,0.051,0.058,0.076,0.082,0.063,0.067,Chl:630
,0.283,0.322,0.269,0.313,0.234,0.265,0.118,0.135,0.225,0.255,0.163,0.184,Chl:663
,0.029,0.029,0.029,0.032,0.03,0.034,0.031,0.033,0.031,0.03,0.032,0.03,Chl:750
C,0.078,0.082,0.107,0.123,0.07,0.077,0.096,0.108,0.041,0.041,0.091,0.101,Chl:630
,0.221,0.256,0.376,0.437,0.216,0.242,0.31,0.353,0.079,0.085,0.301,0.338,Chl:663
,0.034,0.029,0.028,0.03,0.029,0.029,0.03,0.031,0.029,0.029,0.031,0.032,Chl:750
D,0.111,0.128,0.048,0.053,0.032,0.032,0.044,0.039,0.059,0.064,0.053,0.058,Chl:630
,0.375,0.438,0.104,0.116,0.042,0.043,0.077,0.079,0.167,0.189,0.136,0.152,Chl:663
,0.028,0.031,0.029,0.029,0.029,0.03,0.032,0.029,0.029,0.032,0.03,0.032,Chl:750
E,0.058,0.067,0.093,0.102,0.055,0.06,0.066,0.07,0.072,0.081,0.088,0.1,Chl:630
,0.142,0.165,0.288,0.329,0.138,0.158,0.173,0.194,0.227,0.261,0.251,0.291,Chl:663
,0.029,0.032,0.029,0.03,0.029,0.031,0.028,0.029,0.029,0.03,0.029,0.03,Chl:750
F,0.055,0.068,0.11,0.123,0.079,0.112,0.131,0.148,0.062,0.067,0.044,0.045,Chl:630
,0.142,0.176,0.35,0.399,0.228,0.293,0.42,0.488,0.17,0.192,0.092,0.1,Chl:663
,0.028,0.032,0.03,0.03,0.029,0.073,0.029,0.03,0.029,0.029,0.03,0.03,Chl:750
G,0.067,0.076,0.123,0.138,0.079,0.087,0.029,0.028,0.038,0.029,0.028,0.028,Chl:630
,0.177,0.206,0.409,0.465,0.236,0.269,0.029,0.028,0.038,0.029,0.028,0.028,Chl:663
,0.029,0.035,0.03,0.031,0.029,0.029,0.029,0.028,0.038,0.029,0.028,0.028,Chl:750
H,0.028,0.03,0.033,0.028,0.028,0.029,0.028,0.029,0.03,0.03,0.03,0.028,Chl:630
,0.028,0.03,0.033,0.028,0.028,0.029,0.028,0.03,0.03,0.031,0.03,0.028,Chl:663
,0.028,0.03,0.033,0.028,0.028,0.029,0.028,0.03,0.03,0.03,0.03,0.028,Chl:750
