well,colony_id
A1,BK
A2,BK
A3,15PA1ML
A4,15PA1ML
A5,15PA2ML
A6,15PA2ML
A7,15PA3ML
A8,15PA3ML
A9,15PA4ML
A10,15PA4ML
A11,15PA5ML
A12,15PA5ML
B1,30PA1ML
B2,30PA1ML
B3,30PA3ML
B4,30PA3ML
B5,30PA4ML
B6,30PA4ML
B7,30PA5ML
B8,30PA5ML
B9,45PA1ML
B10,45PA1ML
B11,45PA2ML
B12,45PA2ML
C1,45PA3ML
C2,45PA3ML
C3,45PA4ML
C4,45PA4ML
C5,45PA5ML
C6,45PA5ML
C7,55PA1ML
C8,55PA1ML
C9,55PA2ML
C10,55PA2ML
C11,55PA3ML
C12,55PA3ML
D1,55PA4ML
D2,55PA4ML
D3,55PA5ML
D4,55PA5ML
D5,15PA1AT
D6,15PA1AT
D7,15PA1BT
D8,15PA1BT
D9,15PA2T
D10,15PA2T
D11,15PA3T
D12,15PA3T
E1,15PA4T
E2,15PA4T
E3,30PA1T
E4,30PA1T
E5,30PA2T
E6,30PA2T
E7,30PA3T
E8,30PA3T
E9,30PA4T
E10,30PA4T
E11,30PA5T
E12,30PA5T
F1,45PA2T
F2,45PA2T
F3,45PA3T
F4,45PA3T
F5,45PA4T
F6,45PA4T
F7,45PA5T
F8,45PA5T
F9,45PA6T
F10,45PA6T
F11,55PA1T
F12,55PA1T
G1,55PA3T
G2,55PA3T
G3,55PA4T
G4,55PA4T
G5,55PA5T
G6,55PA5T
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
