

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TLPR21_CHL_PPOR_08312023.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	8/31/2023
Time	11:47:08 AM
Reader Type:	Synergy HTX
Reader Serial Number:	18041123
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	21.8



Actual Temperature:	21.8



Actual Temperature:	21.8

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.029	0.028	0.043	0.045	0.083	0.087	0.096	0.106	0.101	0.094	0.071	0.109	Chl:630
	0.028	0.028	0.103	0.115	0.236	0.268	0.308	0.349	0.245	0.276	0.216	0.271	Chl:663
	0.028	0.028	0.028	0.028	0.028	0.032	0.028	0.029	0.030	0.028	0.029	0.057	Chl:750
B	0.058	0.065	0.067	0.066	0.091	0.095	0.053	0.057	0.084	0.090	0.070	0.076	Chl:630
	0.174	0.200	0.159	0.179	0.268	0.296	0.150	0.169	0.268	0.303	0.195	0.219	Chl:663
	0.028	0.030	0.033	0.032	0.029	0.029	0.029	0.028	0.031	0.032	0.029	0.029	Chl:750
C	0.058	0.061	0.053	0.053	0.100	0.110	0.037	0.046	0.052	0.056	0.095	0.103	Chl:630
	0.174	0.188	0.146	0.161	0.353	0.395	0.068	0.080	0.117	0.133	0.313	0.346	Chl:663
	0.029	0.028	0.031	0.028	0.030	0.031	0.028	0.034	0.030	0.029	0.033	0.029	Chl:750
D	0.043	0.046	0.083	0.095	0.057	0.065	0.068	0.082	0.078	0.086	0.071	0.069	Chl:630
	0.092	0.103	0.242	0.282	0.147	0.165	0.182	0.211	0.271	0.306	0.197	0.219	Chl:663
	0.028	0.029	0.029	0.031	0.028	0.031	0.029	0.034	0.029	0.029	0.030	0.030	Chl:750
E	0.108	0.128	0.127	0.145	0.101	0.121	0.089	0.095	0.085	0.093	0.102	0.115	Chl:630
	0.354	0.409	0.438	0.508	0.352	0.410	0.281	0.316	0.267	0.306	0.322	0.372	Chl:663
	0.030	0.030	0.031	0.031	0.030	0.040	0.031	0.029	0.032	0.031	0.031	0.031	Chl:750
F	0.033	0.037	0.041	0.042	0.090	0.109	0.088	0.098	0.057	0.064	0.066	0.064	Chl:630
	0.054	0.061	0.080	0.088	0.284	0.330	0.284	0.323	0.155	0.176	0.175	0.190	Chl:663
	0.028	0.030	0.029	0.031	0.029	0.036	0.029	0.031	0.029	0.031	0.035	0.030	Chl:750
G	0.112	0.123	0.051	0.050	0.093	0.101	0.096	0.110	0.097	0.114	0.075	0.081	Chl:630
	0.361	0.409	0.122	0.133	0.276	0.310	0.295	0.335	0.351	0.413	0.238	0.270	Chl:663
	0.029	0.030	0.034	0.030	0.032	0.030	0.032	0.034	0.029	0.037	0.030	0.029	Chl:750
H	0.062	0.064	0.058	0.058	0.029	0.032	0.039	0.033	0.029	0.028	0.031	0.028	Chl:630
	0.171	0.194	0.142	0.152	0.029	0.032	0.039	0.033	0.029	0.028	0.031	0.029	Chl:663
	0.032	0.030	0.038	0.033	0.028	0.031	0.039	0.033	0.029	0.028	0.030	0.028	Chl:750

