well,colony_id
A1,BK
A2,BK
A3,15PP1ML
A4,15PP1ML
A5,15PP2ML
A6,15PP2ML
A7,15PP3ML
A8,15PP3ML
A9,15PP4ML
A10,15PP4ML
A11,15PP5ML
A12,15PP5ML
B1,30PP1ML
B2,30PP1ML
B3,30PP2ML
B4,30PP2ML
B5,30PP3ML
B6,30PP3ML
B7,30PP4ML
B8,30PP4ML
B9,30PP5ML
B10,30PP5ML
B11,45PP2ML
B12,45PP2ML
C1,45PP3ML
C2,45PP3ML
C3,45PP4ML
C4,45PP4ML
C5,45PP5ML
C6,45PP5ML
C7,55PP1ML
C8,55PP1ML
C9,55PP2ML
C10,55PP2ML
C11,55PP3ML
C12,55PP3ML
D1,55PP4ML
D2,55PP4ML
D3,15PP1AT
D4,15PP1AT
D5,15PP1BT
D6,15PP1BT
D7,15PP2T
D8,15PP2T
D9,15PP3T
D10,15PP3T
D11,15PP4T
D12,15PP4T
E1,15PP5T
E2,15PP5T
E3,30PP1T
E4,30PP1T
E5,30PP2T
E6,30PP2T
E7,30PP3T
E8,30PP3T
E9,30PP4T
E10,30PP4T
E11,30PP5T
E12,30PP5T
F1,45PP1T
F2,45PP1T
F3,45PP2T
F4,45PP2T
F5,45PP3T
F6,45PP3T
F7,45PP4T
F8,45PP4T
F9,45PP5T
F10,45PP5T
F11,45PP6T
F12,45PP6T
G1,45PP7T
G2,45PP7T
G3,55PP1T
G4,55PP1T
G5,55PP2T
G6,55PP2T
G7,55PP3T
G8,55PP3T
G9,55PP4T
G10,55PP4T
G11,55PP5T
G12,55PP5T
H1,55PP6T
H2,55PP6T
H3,55PP7T
H4,55PP7T
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
