

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TLPR21_OFAV_CHL_11292022.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	11/29/2022
Time	11:56:54 AM
Reader Type:	Synergy HTX
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	19.8



Actual Temperature:	19.8



Actual Temperature:	19.8

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.027	0.029	0.054	0.058	0.069	0.076	0.058	0.068	0.085	0.096	0.077	0.088	Chl:630
	0.027	0.029	0.141	0.160	0.219	0.249	0.164	0.186	0.283	0.328	0.227	0.258	Chl:663
	0.027	0.029	0.030	0.029	0.029	0.031	0.032	0.033	0.029	0.030	0.033	0.037	Chl:750
B	0.070	0.076	0.067	0.070	0.032	0.034	0.076	0.080	0.029	0.031	0.057	0.061	Chl:630
	0.209	0.237	0.192	0.214	0.048	0.051	0.250	0.279	0.031	0.035	0.148	0.166	Chl:663
	0.030	0.029	0.030	0.028	0.028	0.029	0.031	0.029	0.028	0.031	0.029	0.030	Chl:750
C	0.038	0.040	0.055	0.061	0.042	0.043	0.060	0.065	0.052	0.053	0.054	0.055	Chl:630
	0.084	0.093	0.143	0.163	0.086	0.093	0.170	0.190	0.118	0.132	0.114	0.125	Chl:663
	0.028	0.028	0.028	0.028	0.030	0.029	0.028	0.028	0.030	0.030	0.035	0.032	Chl:750
D	0.067	0.074	0.107	0.120	0.058	0.063	0.062	0.079	0.039	0.040	0.036	0.040	Chl:630
	0.208	0.241	0.420	0.484	0.169	0.190	0.187	0.224	0.075	0.082	0.066	0.074	Chl:663
	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.036	0.029	0.029	0.028	0.030	Chl:750
E	0.057	0.062	0.059	0.065	0.040	0.042	0.080	0.096	0.078	0.090	0.074	0.078	Chl:630
	0.177	0.200	0.194	0.223	0.085	0.094	0.249	0.296	0.257	0.308	0.246	0.280	Chl:663
	0.028	0.031	0.031	0.031	0.028	0.028	0.029	0.034	0.028	0.029	0.032	0.028	Chl:750
F	0.068	0.074	0.056	0.060	0.056	0.064	0.072	0.088	0.089	0.101	0.102	0.112	Chl:630
	0.208	0.235	0.165	0.185	0.152	0.176	0.237	0.287	0.289	0.337	0.380	0.435	Chl:663
	0.028	0.029	0.028	0.029	0.030	0.033	0.031	0.038	0.028	0.029	0.029	0.029	Chl:750
G	0.083	0.092	0.060	0.065	0.034	0.035	0.077	0.088	0.063	0.067	0.056	0.060	Chl:630
	0.264	0.301	0.178	0.200	0.059	0.065	0.250	0.289	0.190	0.213	0.172	0.193	Chl:663
	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.029	0.029	0.028	0.029	0.029	Chl:750
H	0.029	0.029	0.029	0.028	0.028	0.028	0.029	0.028	0.029	0.035	0.029	0.028	Chl:630
	0.029	0.029	0.029	0.028	0.028	0.028	0.029	0.028	0.029	0.035	0.029	0.029	Chl:663
	0.028	0.029	0.029	0.028	0.028	0.028	0.028	0.028	0.028	0.035	0.029	0.028	Chl:750

