Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TLPR21_CHL_OFRA_11302022.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,11/30/22,,,,,,,,,,,,
Time,12:16:09 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.03,0.029,0.087,0.093,0.072,0.08,0.053,0.058,0.069,0.077,0.066,0.071,Chl:630
,0.03,0.028,0.238,0.274,0.212,0.241,0.139,0.161,0.202,0.235,0.183,0.204,Chl:663
,0.029,0.028,0.034,0.031,0.029,0.029,0.028,0.03,0.029,0.03,0.03,0.029,Chl:750
B,0.039,0.045,0.049,0.052,0.061,0.068,0.052,0.057,0.034,0.035,0.058,0.068,Chl:630
,0.08,0.091,0.114,0.128,0.177,0.204,0.132,0.15,0.052,0.057,0.157,0.182,Chl:663
,0.029,0.03,0.029,0.03,0.029,0.029,0.028,0.029,0.029,0.028,0.028,0.032,Chl:750
C,0.065,0.075,0.03,0.029,0.063,0.07,0.056,0.061,0.06,0.065,0.045,0.048,Chl:630
,0.183,0.214,0.03,0.029,0.199,0.231,0.155,0.178,0.145,0.163,0.1,0.108,Chl:663
,0.029,0.032,0.029,0.028,0.028,0.028,0.029,0.029,0.029,0.029,0.028,0.029,Chl:750
D,0.057,0.065,0.046,0.051,0.044,0.048,0.078,0.085,0.062,0.067,0.08,0.084,Chl:630
,0.141,0.164,0.108,0.123,0.093,0.109,0.236,0.266,0.182,0.204,0.243,0.282,Chl:663
,0.031,0.033,0.028,0.03,0.029,0.029,0.03,0.03,0.029,0.028,0.032,0.029,Chl:750
E,0.043,0.047,0.065,0.068,0.072,0.081,0.053,0.058,0.064,0.071,0.056,0.062,Chl:630
,0.099,0.117,0.207,0.238,0.238,0.276,0.161,0.18,0.171,0.194,0.154,0.181,Chl:663
,0.028,0.029,0.029,0.028,0.028,0.029,0.029,0.031,0.03,0.029,0.029,0.029,Chl:750
F,0.043,0.044,0.066,0.079,0.066,0.073,0.062,0.069,0.043,0.046,0.054,0.056,Chl:630
,0.092,0.103,0.219,0.257,0.193,0.225,0.191,0.216,0.099,0.112,0.134,0.148,Chl:663
,0.028,0.028,0.028,0.033,0.029,0.028,0.028,0.029,0.028,0.028,0.031,0.029,Chl:750
G,0.063,0.067,0.054,0.06,0.064,0.073,0.071,0.08,0.056,0.061,0.082,0.093,Chl:630
,0.17,0.196,0.151,0.175,0.211,0.253,0.193,0.229,0.147,0.17,0.249,0.291,Chl:663
,0.029,0.028,0.028,0.029,0.028,0.028,0.028,0.028,0.029,0.029,0.029,0.029,Chl:750
H,0.074,0.083,0.048,0.051,0.029,0.031,0.028,0.028,0.029,0.03,0.029,0.028,Chl:630
,0.241,0.281,0.119,0.136,0.028,0.03,0.028,0.028,0.029,0.029,0.029,0.028,Chl:663
,0.028,0.029,0.029,0.029,0.028,0.03,0.028,0.028,0.028,0.029,0.028,0.028,Chl:750
