Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_09132022.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,9/13/22,,,,,,,,,,,,
Time,9:58:45 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.028,0.039,0.041,0.042,0.053,0.055,0.033,0.032,0.046,0.043,0.06,0.06,Chl:630
,0.028,0.038,0.083,0.085,0.174,0.179,0.045,0.044,0.105,0.109,0.171,0.175,Chl:663
,0.028,0.038,0.029,0.029,0.03,0.031,0.03,0.029,0.032,0.029,0.035,0.029,Chl:750
B,0.04,0.041,0.042,0.045,0.042,0.04,0.041,0.046,0.056,0.062,0.055,0.055,Chl:630
,0.066,0.068,0.086,0.09,0.069,0.069,0.089,0.092,0.14,0.15,0.144,0.15,Chl:663
,0.032,0.034,0.03,0.032,0.035,0.031,0.029,0.033,0.031,0.035,0.03,0.03,Chl:750
C,0.051,0.055,0.074,0.08,0.043,0.034,0.063,0.066,0.046,0.048,0.057,0.053,Chl:630
,0.115,0.123,0.263,0.28,0.058,0.056,0.175,0.178,0.093,0.098,0.139,0.14,Chl:663
,0.029,0.03,0.029,0.031,0.032,0.028,0.029,0.031,0.032,0.031,0.032,0.03,Chl:750
D,0.066,0.068,0.041,0.042,0.041,0.042,0.057,0.061,0.06,0.049,0.063,0.053,Chl:630
,0.236,0.242,0.074,0.076,0.093,0.095,0.155,0.163,0.117,0.109,0.14,0.137,Chl:663
,0.035,0.03,0.03,0.03,0.029,0.029,0.029,0.029,0.041,0.032,0.039,0.034,Chl:750
E,0.065,0.07,0.031,0.03,0.03,0.028,0.034,0.029,0.03,0.029,0.031,0.03,Chl:630
,0.188,0.2,0.031,0.03,0.03,0.028,0.034,0.029,0.03,0.029,0.031,0.03,Chl:663
,0.03,0.031,0.03,0.03,0.03,0.028,0.033,0.029,0.029,0.029,0.031,0.029,Chl:750
F,0.031,0.032,0.031,0.03,0.029,0.032,0.03,0.029,0.031,0.033,0.032,0.034,Chl:630
,0.03,0.032,0.03,0.03,0.029,0.031,0.03,0.029,0.03,0.033,0.032,0.034,Chl:663
,0.03,0.031,0.03,0.03,0.029,0.031,0.029,0.028,0.03,0.032,0.032,0.034,Chl:750
G,0.031,0.03,0.032,0.029,0.032,0.028,0.029,0.031,0.029,0.029,0.032,0.032,Chl:630
,0.031,0.03,0.032,0.029,0.032,0.028,0.029,0.03,0.029,0.029,0.032,0.032,Chl:663
,0.031,0.029,0.032,0.028,0.032,0.028,0.029,0.03,0.028,0.029,0.032,0.031,Chl:750
H,0.029,0.029,0.029,0.03,0.029,0.03,0.03,0.029,0.028,0.029,0.028,0.031,Chl:630
,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.028,0.028,0.029,0.028,0.031,Chl:663
,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.031,Chl:750
