well,colony_id,,,
A1,BK,,,
A2,BK,,,
A3,OFAV_SP_2AZ21_P2,,,
A4,OFAV_SP_2AZ21_P2,,,
A5,OFAV_SP_2AZ7_P1,,,
A6,OFAV_SP_2AZ7_P1,,,
A7,OFAV_SP_2AZ7_P2,,,
A8,OFAV_SP_2AZ7_P2,,,
A9,OFAV_SP_2AZ7_P3,,,
A10,OFAV_SP_2AZ7_P3,,,
A11,OFAV_SP_2AZ7_P4,,,
A12,OFAV_SP_2AZ7_P4,,,
B1,OFAV_SP_2JQ31_P1,,,
B2,OFAV_SP_2JQ31_P1,,,
B3,OFAV_SP_2JQ31_P2,,,
B4,OFAV_SP_2JQ31_P2,,,
B5,OFAV_SP_2JQ31_P3,,,
B6,OFAV_SP_2JQ31_P3,,,
B7,OFAV_SP_2JQ8,,,
B8,OFAV_SP_2JQ8,,,
B9,OFAV_SP_3EV30_P1,,,
B10,OFAV_SP_3EV30_P1,,,
B11,OFAV_SP_3EV30_P2,,,
B12,OFAV_SP_3EV30_P2,,,
C1,OFAV_SP_3EV30_P3,,,
C2,OFAV_SP_3EV30_P3,,,
C3,OFAV_SP_3JQ1_P1,,,
C4,OFAV_SP_3JQ1_P1,,,
C5,OFAV_SP_3JQ1_P2,,,
C6,OFAV_SP_3JQ1_P2,,,
C7,OFAV_SP_3JQ1_P3,,,
C8,OFAV_SP_3JQ1_P3,,,
C9,OFAV_SP_3JQ1_P4,,,
C10,OFAV_SP_3JQ1_P4,,,
C11,OFAV_SP_3JQ10,,,
C12,OFAV_SP_3JQ10,,,
D1,OFAV_SP_4DW11,,,
D2,OFAV_SP_4DW11,,,
D3,OFAV_SP_4EV15,,,
D4,OFAV_SP_4EV15,,,
D5,OFAV_SP_6JQ16,,,
D6,OFAV_SP_6JQ16,,,
D7,OFAV_SP_8EV24,,,
D8,OFAV_SP_8EV24,,,
D9,OFAV_SP_9EV2,,,
D10,OFAV_SP_9EV2,,,
D11,OFAV_SP_DEV35,,,
D12,OFAV_SP_DEV35,,,
E1,OFAV_SP_EV,,,
E2,OFAV_SP_EV,,,
E3,NA,,,
E4,NA,,,
E5,NA,,,
E6,NA,,,
E7,NA,,,
E8,NA,,,
E9,NA,,,
E10,NA,,,
E11,NA,,,
E12,NA,,,
F1,NA,,,
F2,NA,,,
F3,NA,,,
F4,NA,,,
F5,NA,,,
F6,NA,,,
F7,NA,,,
F8,NA,,,
F9,NA,,,
F10,NA,,,
F11,NA,,,
F12,NA,,,
G1,NA,,,
G2,NA,,,
G3,NA,,,
G4,NA,,,
G5,NA,,,
G6,NA,,,
G7,NA,,,
G8,NA,,,
G9,NA,,,
G10,NA,,,
G11,NA,,,
G12,NA,,,
H1,NA,,,
H2,NA,,,
H3,NA,,,
H4,NA,,,
H5,NA,,,
H6,NA,,,
H7,NA,,,
H8,NA,,,
H9,NA,,,
H10,NA,,,
H11,NA,,,
H12,NA,,,
