Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_092202022.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,9/20/22,,,,,,,,,,,,
Time,4:29:52 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.8,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.8,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.8,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.028,0.036,0.041,0.044,0.057,0.056,0.035,0.037,0.037,0.126,0.058,0.057,Chl:630
,0.027,0.03,0.089,0.096,0.152,0.162,0.062,0.066,0.065,0.154,0.152,0.158,Chl:663
,0.028,0.03,0.029,0.028,0.029,0.028,0.028,0.028,0.029,0.109,0.031,0.029,Chl:750
B,0.048,0.052,0.068,0.068,0.051,0.049,0.057,0.058,0.049,0.054,0.04,0.038,Chl:630
,0.123,0.127,0.195,0.201,0.113,0.114,0.144,0.151,0.106,0.115,0.052,0.052,Chl:663
,0.029,0.03,0.032,0.029,0.036,0.032,0.03,0.032,0.031,0.029,0.032,0.032,Chl:750
C,0.029,0.029,0.044,0.045,0.09,0.059,0.062,0.076,0.061,0.076,0.055,0.048,Chl:630
,0.029,0.029,0.089,0.092,0.106,0.082,0.142,0.167,0.135,0.15,0.097,0.091,Chl:663
,0.029,0.029,0.031,0.031,0.071,0.048,0.031,0.046,0.041,0.051,0.048,0.034,Chl:750
D,0.195,0.06,0.04,0.041,0.251,0.129,0.045,0.094,0.054,0.111,0.128,0.069,Chl:630
,0.27,0.144,0.068,0.07,0.324,0.216,0.072,0.121,0.117,0.159,0.197,0.142,Chl:663
,0.166,0.037,0.031,0.032,0.211,0.097,0.035,0.075,0.034,0.064,0.096,0.043,Chl:750
E,0.045,0.059,0.047,0.046,0.033,0.038,0.044,0.049,0.039,0.045,0.053,0.157,Chl:630
,0.098,0.104,0.1,0.102,0.052,0.058,0.098,0.1,0.072,0.083,0.134,0.244,Chl:663
,0.029,0.03,0.03,0.03,0.029,0.033,0.029,0.029,0.028,0.032,0.031,0.13,Chl:750
F,0.052,0.05,0.056,0.056,0.06,0.097,0.035,0.035,0.047,0.049,0.06,0.054,Chl:630
,0.108,0.119,0.151,0.153,0.12,0.162,0.062,0.062,0.116,0.119,0.143,0.145,Chl:663
,0.029,0.035,0.031,0.029,0.037,0.07,0.031,0.028,0.029,0.03,0.029,0.031,Chl:750
G,0.039,0.046,0.044,0.043,0.049,0.056,0.032,0.029,0.031,0.029,0.032,0.029,Chl:630
,0.078,0.086,0.095,0.096,0.123,0.133,0.032,0.029,0.03,0.029,0.032,0.029,Chl:663
,0.028,0.035,0.03,0.03,0.029,0.029,0.032,0.029,0.03,0.029,0.032,0.029,Chl:750
H,0.031,0.034,0.03,0.034,0.031,0.031,0.035,0.029,0.03,0.034,0.031,0.034,Chl:630
,0.031,0.034,0.03,0.034,0.031,0.031,0.035,0.029,0.03,0.034,0.031,0.032,Chl:663
,0.031,0.034,0.03,0.033,0.031,0.031,0.035,0.029,0.03,0.033,0.031,0.032,Chl:750
