

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_09272022.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	9/27/2022
Time	1:35:35 PM
Reader Type:	Synergy HTX
Reader Serial Number:	18041123
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	21.0



Actual Temperature:	21.0



Actual Temperature:	21.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.030	0.028	0.045	0.048	0.051	0.053	0.040	0.047	0.043	0.042	0.077	0.081	Chl:630
	0.029	0.028	0.099	0.113	0.129	0.137	0.082	0.094	0.090	0.092	0.255	0.270	Chl:663
	0.028	0.028	0.028	0.032	0.029	0.029	0.028	0.029	0.028	0.028	0.029	0.032	Chl:750
B	0.041	0.043	0.039	0.041	0.069	0.069	0.062	0.060	0.059	0.060	0.040	0.043	Chl:630
	0.094	0.102	0.079	0.085	0.200	0.210	0.168	0.174	0.164	0.170	0.079	0.090	Chl:663
	0.028	0.029	0.028	0.029	0.032	0.028	0.030	0.029	0.029	0.030	0.029	0.031	Chl:750
C	0.049	0.055	0.060	0.064	0.057	0.063	0.054	0.056	0.065	0.057	0.037	0.038	Chl:630
	0.128	0.141	0.174	0.190	0.160	0.173	0.141	0.147	0.144	0.144	0.063	0.067	Chl:663
	0.029	0.028	0.029	0.030	0.028	0.032	0.031	0.030	0.040	0.037	0.031	0.030	Chl:750
D	0.051	0.053	0.064	0.069	0.041	0.042	0.046	0.048	0.057	0.059	0.043	0.041	Chl:630
	0.136	0.148	0.174	0.194	0.090	0.095	0.105	0.111	0.148	0.155	0.078	0.083	Chl:663
	0.029	0.029	0.032	0.034	0.028	0.029	0.030	0.030	0.029	0.029	0.032	0.030	Chl:750
E	0.051	0.052	0.035	0.043	0.045	0.045	0.040	0.041	0.045	0.047	0.040	0.042	Chl:630
	0.126	0.134	0.058	0.068	0.094	0.099	0.075	0.079	0.110	0.113	0.079	0.087	Chl:663
	0.030	0.028	0.030	0.035	0.029	0.028	0.029	0.030	0.029	0.028	0.029	0.029	Chl:750
F	0.040	0.046	0.056	0.059	0.055	0.054	0.046	0.043	0.034	0.035	0.039	0.041	Chl:630
	0.077	0.086	0.153	0.167	0.146	0.150	0.098	0.098	0.060	0.062	0.082	0.091	Chl:663
	0.029	0.032	0.030	0.031	0.030	0.028	0.034	0.029	0.028	0.028	0.028	0.029	Chl:750
G	0.038	0.039	0.043	0.041	0.053	0.051	0.047	0.042	0.029	0.028	0.030	0.029	Chl:630
	0.072	0.078	0.080	0.079	0.130	0.133	0.097	0.100	0.029	0.028	0.030	0.029	Chl:663
	0.029	0.028	0.035	0.030	0.030	0.028	0.030	0.029	0.029	0.028	0.030	0.028	Chl:750
H	0.030	0.030	0.029	0.033	0.029	0.035	0.032	0.030	0.032	0.029	0.035	0.032	Chl:630
	0.029	0.030	0.029	0.033	0.029	0.035	0.032	0.030	0.032	0.029	0.035	0.032	Chl:663
	0.029	0.029	0.028	0.032	0.029	0.034	0.032	0.030	0.032	0.029	0.035	0.031	Chl:750

