well,colony_id
A1,BK
A2,BK
A3,OFAV_PP_0GT1
A4,OFAV_PP_0GT1
A5,OFAV_PP_0HS3
A6,OFAV_PP_0HS3
A7,OFAV_PP_0HS4
A8,OFAV_PP_0HS4
A9,OFAV_PP_2HS12
A10,OFAV_PP_2HS12
A11,OFAV_PP_2HS2
A12,OFAV_PP_2HS2
B1,OFAV_PP_2HS48
B2,OFAV_PP_2HS48
B3,OFAV_PP_2HS6
B4,OFAV_PP_2HS6
B5,OFAV_PP_310
B6,OFAV_PP_310
B7,OFAV_PP_313
B8,OFAV_PP_313
B9,OFAV_PP_352
B10,OFAV_PP_352
B11,OFAV_PP_356
B12,OFAV_PP_356
C1,OFAV_PP_357
C2,OFAV_PP_357
C3,OFAV_PP_358
C4,OFAV_PP_358
C5,OFAV_PP_359
C6,OFAV_PP_359
C7,OFAV_PP_360
C8,OFAV_PP_360
C9,OFAV_PP_362
C10,OFAV_PP_362
C11,OFAV_PP_365
C12,OFAV_PP_365
D1,OFAV_PP_366
D2,OFAV_PP_366
D3,OFAV_PP_367
D4,OFAV_PP_367
D5,OFAV_PP_368
D6,OFAV_PP_368
D7,OFAV_PP_369
D8,OFAV_PP_369
D9,OFAV_PP_371
D10,OFAV_PP_371
D11,OFAV_PP_9AZ5
D12,OFAV_PP_9AZ5
E1,OFAV_PP_9AZ9
E2,OFAV_PP_9AZ9
E3,OFAV_PP_9EV35
E4,OFAV_PP_9EV35
E5,OFAV_PP_9EV4
E6,OFAV_PP_9EV4
E7,OFAV_PP_9EV40
E8,OFAV_PP_9EV40
E9,OFAV_PP_9EV5
E10,OFAV_PP_9EV5
E11,OFAV_PP_9GT35
E12,OFAV_PP_9GT35
F1,OFAV_PP_9GT4
F2,OFAV_PP_9GT4
F3,OFAV_PP_9GT46
F4,OFAV_PP_9GT46
F5,OFAV_PP_9IR44
F6,OFAV_PP_9IR44
F7,OFAV_PP_9JQ4
F8,OFAV_PP_9JQ4
F9,OFAV_PP_9JQ42
F10,OFAV_PP_9JQ42
F11,OFAV_PP_9JQ43
F12,OFAV_PP_9JQ43
G1,OFAV_PP_9JQ53
G2,OFAV_PP_9JQ53
G3,OFAV_PP_AZ
G4,OFAV_PP_AZ
G5,OFAV_PP_CX
G6,OFAV_PP_CX
G7,OFAV_PP_DW
G8,OFAV_PP_DW
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
