well,colony_id
A1,BK
A2,BK
A3,OFRA_PS_0CX4
A4,OFRA_PS_0CX4
A5,OFRA_PS_0CX5
A6,OFRA_PS_0CX5
A7,OFRA_PS_0GT1
A8,OFRA_PS_0GT1
A9,OFRA_PS_0GT3
A10,OFRA_PS_0GT3
A11,OFRA_PS_0GT5_P1
A12,OFRA_PS_0GT5_P1
B1,OFRA_PS_0GT5_P2
B2,OFRA_PS_0GT5_P2
B3,OFRA_PS_1GT37
B4,OFRA_PS_1GT37
B5,OFRA_PS_1GT42
B6,OFRA_PS_1GT42
B7,OFRA_PS_1GT43
B8,OFRA_PS_1GT43
B9,OFRA_PS_2CX10
B10,OFRA_PS_2CX10
B11,OFRA_PS_2CX12
B12,OFRA_PS_2CX12
C1,OFRA_PS_2CX13
C2,OFRA_PS_2CX13
C3,OFRA_PS_2CX8
C4,OFRA_PS_2CX8
C5,OFRA_PS_2GT10
C6,OFRA_PS_2GT10
C7,OFRA_PS_2GT3
C8,OFRA_PS_2GT3
C9,OFRA_PS_2GT31
C10,OFRA_PS_2GT31
C11,OFRA_PS_2GT38
C12,OFRA_PS_2GT38
D1,OFRA_PS_2GT41
D2,OFRA_PS_2GT41
D3,OFRA_PS_2GT7
D4,OFRA_PS_2GT7
D5,OFRA_PS_2HS11
D6,OFRA_PS_2HS11
D7,OFRA_PS_2HS17
D8,OFRA_PS_2HS17
D9,OFRA_PS_2HS27
D10,OFRA_PS_2HS27
D11,OFRA_PS_2HS9
D12,OFRA_PS_2HS9
E1,OFRA_PS_4CX12
E2,OFRA_PS_4CX12
E3,OFRA_PS_4HS13
E4,OFRA_PS_4HS13
E5,OFRA_PS_4HS15
E6,OFRA_PS_4HS15
E7,OFRA_PS_6CX18
E8,OFRA_PS_6CX18
E9,OFRA_PS_6EV18
E10,OFRA_PS_6EV18
E11,OFRA_PS_6GT17
E12,OFRA_PS_6GT17
F1,OFRA_PS_8CX24
F2,OFRA_PS_8CX24
F3,OFRA_PS_8HS23
F4,OFRA_PS_8HS23
F5,OFRA_PS_8HS24
F6,OFRA_PS_8HS24
F7,OFRA_PS_9CX5
F8,OFRA_PS_9CX5
F9,OFRA_PS_9CX6
F10,OFRA_PS_9CX6
F11,OFRA_PS_9GT30
F12,OFRA_PS_9GT30
G1,OFRA_PS_9GT47
G2,OFRA_PS_9GT47
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
