

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_10192022_extras.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	10/19/2022
Time	12:53:54 PM
Reader Type:	Synergy HTX
Reader Serial Number:	18041123
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	20.1



Actual Temperature:	20.1



Actual Temperature:	20.1

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.028	0.030	0.042	0.047	0.048	0.063	0.029	0.035	0.029	0.029	0.029	0.029	Chl:630
	0.027	0.030	0.098	0.115	0.097	0.119	0.028	0.035	0.029	0.029	0.029	0.029	Chl:663
	0.027	0.030	0.028	0.030	0.032	0.043	0.028	0.035	0.029	0.028	0.029	0.029	Chl:750
B	0.028	0.028	0.028	0.029	0.028	0.029	0.028	0.028	0.029	0.029	0.029	0.029	Chl:630
	0.028	0.028	0.028	0.030	0.028	0.029	0.028	0.028	0.029	0.029	0.029	0.029	Chl:663
	0.028	0.028	0.028	0.029	0.028	0.029	0.028	0.028	0.029	0.029	0.029	0.029	Chl:750
C	0.029	0.029	0.028	0.031	0.028	0.028	0.029	0.029	0.028	0.029	0.028	0.028	Chl:630
	0.029	0.028	0.028	0.031	0.028	0.028	0.029	0.029	0.028	0.028	0.028	0.028	Chl:663
	0.029	0.028	0.028	0.031	0.028	0.028	0.029	0.029	0.028	0.028	0.028	0.028	Chl:750
D	0.028	0.028	0.029	0.028	0.028	0.029	0.028	0.028	0.029	0.029	0.028	0.029	Chl:630
	0.028	0.028	0.028	0.028	0.028	0.029	0.028	0.028	0.029	0.029	0.028	0.029	Chl:663
	0.028	0.028	0.028	0.028	0.028	0.029	0.028	0.028	0.029	0.028	0.028	0.029	Chl:750
E	0.029	0.028	0.028	0.028	0.028	0.028	0.033	0.028	0.028	0.028	0.030	0.028	Chl:630
	0.029	0.028	0.028	0.028	0.028	0.028	0.031	0.028	0.028	0.028	0.030	0.028	Chl:663
	0.029	0.028	0.028	0.028	0.028	0.028	0.030	0.028	0.028	0.028	0.030	0.028	Chl:750
F	0.028	0.028	0.028	0.028	0.028	0.030	0.030	0.028	0.028	0.028	0.028	0.029	Chl:630
	0.028	0.028	0.028	0.028	0.028	0.030	0.029	0.029	0.028	0.028	0.028	0.028	Chl:663
	0.028	0.028	0.028	0.028	0.028	0.030	0.029	0.028	0.028	0.028	0.028	0.028	Chl:750
G	0.028	0.028	0.029	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.029	0.028	Chl:630
	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.029	0.028	Chl:663
	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.029	0.028	Chl:750
H	0.029	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.029	0.029	0.028	0.028	Chl:630
	0.029	0.028	0.029	0.028	0.028	0.028	0.028	0.028	0.029	0.029	0.028	0.028	Chl:663
	0.029	0.028	0.028	0.028	0.028	0.029	0.028	0.028	0.029	0.029	0.028	0.028	Chl:750

