Software Version	3.03.14												
													
													
													
Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_06292022.xpt												
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt												
													
													
													
Plate Number	Plate 1												
Date	6/29/22												
Time	2:51:42 PM												
Reader Type:	Synergy HTX												
Reader Serial Number:	18041123												
Reading Type	Reader												
													
Procedure Details													
													
Plate Type	96 WELL PLATE												
Eject plate on completion													
Read	Chl												
	Absorbance Endpoint												
	Full Plate												
	"Wavelengths:  630, 663, 750"												
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8"												
													
													
													
Actual Temperature:	21.8												
													
													
													
Actual Temperature:	21.8												
													
													
													
Actual Temperature:	21.8												
													
Results													
	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.03	0.029	0.058	0.047	0.037	0.039	0.043	0.053	0.059	0.056	0.053	0.061	Chl:630
	0.033	0.029	0.094	0.087	0.081	0.09	0.091	0.108	0.134	0.143	0.126	0.147	Chl:663
	0.038	0.029	0.047	0.034	0.029	0.03	0.029	0.035	0.035	0.032	0.03	0.037	Chl:750
B	0.033	0.03	0.031	0.03	0.029	0.04	0.03	0.034	0.029	0.031	0.03	0.032	Chl:630
	0.033	0.03	0.031	0.03	0.029	0.04	0.03	0.033	0.029	0.031	0.03	0.032	Chl:663
	0.032	0.03	0.031	0.03	0.029	0.04	0.03	0.033	0.029	0.03	0.03	0.032	Chl:750
C	0.029	0.029	0.032	0.032	0.031	0.03	0.029	0.033	0.035	0.031	0.03	0.032	Chl:630
	0.029	0.029	0.029	0.033	0.031	0.03	0.029	0.033	0.035	0.031	0.03	0.032	Chl:663
	0.029	0.029	0.029	0.032	0.031	0.03	0.029	0.032	0.034	0.031	0.03	0.031	Chl:750
D	0.032	0.03	0.029	0.03	0.03	0.03	0.029	0.028	0.059	0.028	0.032	0.034	Chl:630
	0.032	0.03	0.029	0.03	0.03	0.03	0.029	0.028	0.058	0.029	0.032	0.034	Chl:663
	0.032	0.029	0.028	0.03	0.03	0.03	0.029	0.028	0.058	0.028	0.032	0.034	Chl:750
E	0.042	0.032	0.03	0.034	0.03	0.028	0.03	0.028	0.029	0.029	0.031	0.029	Chl:630
	0.041	0.032	0.03	0.033	0.03	0.028	0.03	0.029	0.029	0.029	0.031	0.029	Chl:663
	0.04	0.032	0.029	0.033	0.03	0.028	0.03	0.029	0.029	0.029	0.031	0.029	Chl:750
F	0.029	0.03	0.03	0.03	0.029	0.031	0.03	0.028	0.03	0.034	0.028	0.031	Chl:630
	0.029	0.03	0.03	0.03	0.029	0.031	0.03	0.028	0.03	0.034	0.028	0.031	Chl:663
	0.029	0.03	0.03	0.03	0.029	0.031	0.03	0.028	0.03	0.034	0.028	0.031	Chl:750
G	0.029	0.029	0.032	0.029	0.036	0.028	0.028	0.029	0.03	0.029	0.03	0.029	Chl:630
	0.029	0.029	0.032	0.029	0.036	0.029	0.028	0.029	0.03	0.029	0.03	0.029	Chl:663
	0.029	0.029	0.032	0.029	0.035	0.028	0.028	0.029	0.029	0.029	0.03	0.028	Chl:750
H	0.028	0.028	0.029	0.036	0.029	0.029	0.029	0.028	0.028	0.029	0.028	0.031	Chl:630
	0.028	0.028	0.029	0.036	0.029	0.029	0.029	0.028	0.028	0.029	0.028	0.031	Chl:663
	0.028	0.028	0.029	0.035	0.029	0.029	0.029	0.028	0.028	0.029	0.028	0.031	Chl:750
