

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_09292022.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	9/29/2022
Time	12:27:24 PM
Reader Type:	Synergy HTX
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	20.5



Actual Temperature:	20.5



Actual Temperature:	20.5

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.029	0.029	0.063	0.148	0.057	0.061	0.060	0.062	0.058	0.072	0.048	0.044	Chl:630
	0.028	0.029	0.191	0.298	0.154	0.169	0.152	0.170	0.164	0.189	0.093	0.097	Chl:663
	0.028	0.029	0.028	0.104	0.032	0.031	0.029	0.029	0.029	0.033	0.034	0.029	Chl:750
B	0.058	0.060	0.062	0.068	0.070	0.073	0.084	0.095	0.058	0.065	0.056	0.061	Chl:630
	0.149	0.163	0.181	0.207	0.210	0.230	0.208	0.240	0.136	0.159	0.145	0.158	Chl:663
	0.030	0.029	0.028	0.029	0.029	0.029	0.044	0.048	0.032	0.038	0.030	0.030	Chl:750
C	0.057	0.061	0.050	0.053	0.070	0.078	0.047	0.049	0.059	0.063	0.066	0.073	Chl:630
	0.157	0.174	0.125	0.138	0.219	0.244	0.106	0.117	0.152	0.174	0.202	0.224	Chl:663
	0.029	0.028	0.028	0.029	0.029	0.031	0.029	0.029	0.031	0.029	0.030	0.032	Chl:750
D	0.036	0.035	0.051	0.052	0.040	0.042	0.063	0.070	0.057	0.064	0.050	0.054	Chl:630
	0.064	0.066	0.126	0.138	0.084	0.092	0.169	0.197	0.143	0.160	0.113	0.124	Chl:663
	0.030	0.028	0.028	0.029	0.028	0.029	0.029	0.029	0.031	0.034	0.029	0.030	Chl:750
E	0.051	0.055	0.047	0.050	0.047	0.050	0.050	0.052	0.058	0.063	0.067	0.073	Chl:630
	0.134	0.155	0.116	0.128	0.122	0.137	0.118	0.131	0.169	0.187	0.200	0.230	Chl:663
	0.028	0.028	0.028	0.028	0.029	0.029	0.029	0.029	0.028	0.028	0.029	0.029	Chl:750
F	0.070	0.076	0.037	0.041	0.043	0.049	0.048	0.054	0.050	0.052	0.051	0.057	Chl:630
	0.206	0.229	0.069	0.076	0.092	0.104	0.109	0.122	0.132	0.147	0.131	0.148	Chl:663
	0.028	0.028	0.028	0.031	0.029	0.033	0.029	0.031	0.028	0.028	0.029	0.033	Chl:750
G	0.028	0.031	0.029	0.029	0.029	0.029	0.029	0.028	0.031	0.028	0.029	0.029	Chl:630
	0.028	0.031	0.029	0.028	0.029	0.029	0.029	0.028	0.030	0.028	0.029	0.029	Chl:663
	0.028	0.030	0.029	0.028	0.028	0.029	0.028	0.028	0.030	0.028	0.029	0.029	Chl:750
H	0.029	0.028	0.028	0.028	0.029	0.028	0.031	0.029	0.029	0.029	0.029	0.033	Chl:630
	0.029	0.028	0.028	0.028	0.029	0.028	0.031	0.029	0.029	0.028	0.029	0.033	Chl:663
	0.028	0.028	0.028	0.028	0.028	0.028	0.030	0.028	0.028	0.028	0.028	0.033	Chl:750

