SENSOR,Date,Time,LightRaw,LightCrrx,Light_int_10m,depth,old_date
12080,2021-08-01,0:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,0:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,0:30:00,0,0,0,deep,1/8/21
12080,2021-08-01,0:40:00,0,0,0,deep,1/8/21
12080,2021-08-01,0:50:00,0,0,0,deep,1/8/21
12080,2021-08-01,1:00:00,0,0,0,deep,1/8/21
12080,2021-08-01,1:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,1:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,1:30:00,0,0,0,deep,1/8/21
12080,2021-08-01,1:40:00,0,0,0,deep,1/8/21
12080,2021-08-01,1:50:00,0,0,0,deep,1/8/21
12080,2021-08-01,2:00:00,0,0,0,deep,1/8/21
12080,2021-08-01,2:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,2:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,2:30:00,0,0,0,deep,1/8/21
12080,2021-08-01,2:40:00,0,0,0,deep,1/8/21
12080,2021-08-01,2:50:00,0,0,0,deep,1/8/21
12080,2021-08-01,3:00:00,0,0,0,deep,1/8/21
12080,2021-08-01,3:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,3:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,3:30:00,0,0,0,deep,1/8/21
12080,2021-08-01,3:40:00,0,0,0,deep,1/8/21
12080,2021-08-01,3:50:00,0,0,0,deep,1/8/21
12080,2021-08-01,4:00:00,0,0,0,deep,1/8/21
12080,2021-08-01,4:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,4:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,4:30:00,0,0,0,deep,1/8/21
12080,2021-08-01,4:40:00,0,0,0,deep,1/8/21
12080,2021-08-01,4:50:00,0,0,0,deep,1/8/21
12080,2021-08-01,5:00:00,0,0,0,deep,1/8/21
12080,2021-08-01,5:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,5:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,5:30:00,0,0,0,deep,1/8/21
12080,2021-08-01,5:40:00,0,0,0,deep,1/8/21
12080,2021-08-01,5:50:00,0,0,0,deep,1/8/21
12080,2021-08-01,6:00:00,0,0,0,deep,1/8/21
12080,2021-08-01,6:10:00,0,0,0,deep,1/8/21
12080,2021-08-01,6:20:00,0,0,0,deep,1/8/21
12080,2021-08-01,6:30:00,4,0.9616,0.00057696,deep,1/8/21
12080,2021-08-01,6:40:00,10,2.404,0.0014424,deep,1/8/21
12080,2021-08-01,6:50:00,17,4.0868,0.00245208,deep,1/8/21
12080,2021-08-01,7:00:00,26,6.2504,0.00375024,deep,1/8/21
12080,2021-08-01,7:10:00,36,8.6544,0.00519264,deep,1/8/21
12080,2021-08-01,7:20:00,46,11.0584,0.00663504,deep,1/8/21
12080,2021-08-01,7:30:00,57,13.7028,0.00822168,deep,1/8/21
12080,2021-08-01,7:40:00,69,16.5876,0.00995256,deep,1/8/21
12080,2021-08-01,7:50:00,82,19.7128,0.01182768,deep,1/8/21
12080,2021-08-01,8:00:00,94,22.5976,0.01355856,deep,1/8/21
12080,2021-08-01,8:10:00,109,26.2036,0.01572216,deep,1/8/21
12080,2021-08-01,8:20:00,123,29.5692,0.01774152,deep,1/8/21
12080,2021-08-01,8:30:00,140,33.656,0.0201936,deep,1/8/21
12080,2021-08-01,8:40:00,156,37.5024,0.02250144,deep,1/8/21
12080,2021-08-01,8:50:00,175,42.07,0.025242,deep,1/8/21
12080,2021-08-01,9:00:00,190,45.676,0.0274056,deep,1/8/21
12080,2021-08-01,9:10:00,208,50.0032,0.03000192,deep,1/8/21
12080,2021-08-01,9:20:00,227,54.5708,0.03274248,deep,1/8/21
12080,2021-08-01,9:30:00,246,59.1384,0.03548304,deep,1/8/21
12080,2021-08-01,9:40:00,267,64.1868,0.03851208,deep,1/8/21
12080,2021-08-01,9:50:00,286,68.7544,0.04125264,deep,1/8/21
12080,2021-08-01,10:00:00,305,73.322,0.0439932,deep,1/8/21
12080,2021-08-01,10:10:00,325,78.13,0.046878,deep,1/8/21
12080,2021-08-01,10:20:00,342,82.2168,0.04933008,deep,1/8/21
12080,2021-08-01,10:30:00,359,86.3036,0.05178216,deep,1/8/21
12080,2021-08-01,10:40:00,372,89.4288,0.05365728,deep,1/8/21
12080,2021-08-01,10:50:00,383,92.0732,0.05524392,deep,1/8/21
12080,2021-08-01,11:00:00,398,95.6792,0.05740752,deep,1/8/21
12080,2021-08-01,11:10:00,409,98.3236,0.05899416,deep,1/8/21
12080,2021-08-01,11:20:00,421,101.2084,0.06072504,deep,1/8/21
12080,2021-08-01,11:30:00,427,102.6508,0.06159048,deep,1/8/21
12080,2021-08-01,11:40:00,437,105.0548,0.06303288,deep,1/8/21
12080,2021-08-01,11:50:00,443,106.4972,0.06389832,deep,1/8/21
12080,2021-08-01,12:00:00,450,108.18,0.064908,deep,1/8/21
12080,2021-08-01,12:10:00,456,109.6224,0.06577344,deep,1/8/21
12080,2021-08-01,12:20:00,457,109.8628,0.06591768,deep,1/8/21
12080,2021-08-01,12:30:00,461,110.8244,0.06649464,deep,1/8/21
12080,2021-08-01,12:40:00,460,110.584,0.0663504,deep,1/8/21
12080,2021-08-01,12:50:00,457,109.8628,0.06591768,deep,1/8/21
12080,2021-08-01,13:00:00,451,108.4204,0.06505224,deep,1/8/21
12080,2021-08-01,13:10:00,438,105.2952,0.06317712,deep,1/8/21
12080,2021-08-01,13:20:00,432,103.8528,0.06231168,deep,1/8/21
12080,2021-08-01,13:30:00,425,102.17,0.061302,deep,1/8/21
12080,2021-08-01,13:40:00,408,98.0832,0.05884992,deep,1/8/21
12080,2021-08-01,13:50:00,404,97.1216,0.05827296,deep,1/8/21
12080,2021-08-01,14:00:00,351,84.3804,0.05062824,deep,1/8/21
12080,2021-08-01,14:10:00,261,62.7444,0.03764664,deep,1/8/21
12080,2021-08-01,14:20:00,182,43.7528,0.02625168,deep,1/8/21
12080,2021-08-01,14:30:00,332,79.8128,0.04788768,deep,1/8/21
12080,2021-08-01,14:40:00,208,50.0032,0.03000192,deep,1/8/21
12080,2021-08-01,14:50:00,177,42.5508,0.02553048,deep,1/8/21
12080,2021-08-01,15:00:00,317,76.2068,0.04572408,deep,1/8/21
12080,2021-08-01,15:10:00,216,51.9264,0.03115584,deep,1/8/21
12080,2021-08-01,15:20:00,234,56.2536,0.03375216,deep,1/8/21
12080,2021-08-01,15:30:00,241,57.9364,0.03476184,deep,1/8/21
12080,2021-08-01,15:40:00,234,56.2536,0.03375216,deep,1/8/21
12080,2021-08-01,15:50:00,221,53.1284,0.03187704,deep,1/8/21
12080,2021-08-01,16:00:00,190,45.676,0.0274056,deep,1/8/21
12080,2021-08-01,16:10:00,189,45.4356,0.02726136,deep,1/8/21
