#,Datetime,Shallow_DO,Shallow_Temp,Deep_DO,Deep_Temp
100,2021-07-19 15:15:00,7.77,28.96,7.74,28.9
101,2021-07-19 15:20:00,7.74,28.96,7.75,28.9
102,2021-07-19 15:25:00,7.75,28.96,7.75,28.9
103,2021-07-19 15:30:00,7.72,28.96,7.75,28.9
104,2021-07-19 15:35:00,7.7,28.96,7.76,28.9
105,2021-07-19 15:40:00,7.69,28.96,7.77,28.9
106,2021-07-19 15:45:00,7.69,28.96,7.77,28.9
107,2021-07-19 15:50:00,7.68,28.96,7.77,28.9
108,2021-07-19 15:55:00,7.7,28.96,7.78,28.9
109,2021-07-19 16:00:00,7.68,28.96,7.79,28.9
110,2021-07-19 16:05:00,7.68,28.96,7.79,28.9
111,2021-07-19 16:10:00,7.69,28.96,7.77,28.9
112,2021-07-19 16:15:00,7.66,28.96,7.8,28.9
113,2021-07-19 16:20:00,7.66,28.94,7.81,28.9
114,2021-07-19 16:25:00,7.63,28.94,7.79,28.9
115,2021-07-19 16:30:00,7.64,28.94,7.79,28.9
116,2021-07-19 16:35:00,7.65,28.94,7.79,28.9
117,2021-07-19 16:40:00,7.61,28.92,7.78,28.9
118,2021-07-19 16:45:00,7.62,28.92,7.79,28.9
119,2021-07-19 16:50:00,7.6,28.92,7.78,28.9
120,2021-07-19 16:55:00,7.61,28.92,7.81,28.88
121,2021-07-19 17:00:00,7.6,28.92,7.82,28.88
122,2021-07-19 17:05:00,7.59,28.92,7.86,28.88
123,2021-07-19 17:10:00,7.58,28.9,7.89,28.88
124,2021-07-19 17:15:00,7.56,28.9,7.88,28.88
125,2021-07-19 17:20:00,7.56,28.9,7.85,28.88
126,2021-07-19 17:25:00,7.55,28.9,7.88,28.88
127,2021-07-19 17:30:00,7.55,28.88,7.86,28.88
128,2021-07-19 17:35:00,7.54,28.88,7.83,28.88
129,2021-07-19 17:40:00,7.52,28.88,7.85,28.88
130,2021-07-19 17:45:00,7.5,28.88,7.85,28.88
131,2021-07-19 17:50:00,7.5,28.88,7.85,28.88
132,2021-07-19 17:55:00,7.48,28.88,7.88,28.88
133,2021-07-19 18:00:00,7.48,28.86,7.89,28.86
134,2021-07-19 18:05:00,7.45,28.86,7.85,28.86
135,2021-07-19 18:10:00,7.44,28.88,7.85,28.86
136,2021-07-19 18:15:00,7.45,28.86,7.83,28.88
137,2021-07-19 18:20:00,7.43,28.86,7.82,28.88
138,2021-07-19 18:25:00,7.41,28.86,7.81,28.88
139,2021-07-19 18:30:00,7.39,28.86,7.81,28.88
140,2021-07-19 18:35:00,7.39,28.86,7.81,28.88
141,2021-07-19 18:40:00,7.4,28.86,7.78,28.88
142,2021-07-19 18:45:00,7.32,28.86,7.75,28.9
143,2021-07-19 18:50:00,7.33,28.86,7.75,28.88
144,2021-07-19 18:55:00,7.33,28.86,7.77,28.88
145,2021-07-19 19:00:00,7.3,28.86,7.77,28.88
146,2021-07-19 19:05:00,7.33,28.86,7.77,28.88
147,2021-07-19 19:10:00,7.31,28.86,7.76,28.88
148,2021-07-19 19:15:00,7.29,28.86,7.78,28.86
149,2021-07-19 19:20:00,7.31,28.86,7.76,28.86
150,2021-07-19 19:25:00,7.27,28.86,7.76,28.86
151,2021-07-19 19:30:00,7.23,28.86,7.78,28.86
152,2021-07-19 19:35:00,7.25,28.84,7.75,28.86
153,2021-07-19 19:40:00,7.28,28.84,7.77,28.86
154,2021-07-19 19:45:00,7.21,28.84,7.74,28.86
155,2021-07-19 19:50:00,7.26,28.84,7.74,28.86
156,2021-07-19 19:55:00,7.28,28.84,7.73,28.86
157,2021-07-19 20:00:00,7.26,28.82,7.69,28.86
