datetime,Date,Time,depth,LightCrrx,DO_mg.L,Temp_C
2021-07-13T14:10:00Z,2021-07-13,10:10:00,shallow,22.8114,NA,NA
2021-07-13T14:20:00Z,2021-07-13,10:20:00,shallow,65.55,NA,NA
2021-07-13T14:30:00Z,2021-07-13,10:30:00,shallow,148.2741,NA,NA
2021-07-13T14:40:00Z,2021-07-13,10:40:00,shallow,171.6099,NA,NA
2021-07-13T14:50:00Z,2021-07-13,10:50:00,shallow,113.5326,NA,NA
2021-07-13T15:00:00Z,2021-07-13,11:00:00,shallow,78.7911,NA,NA
2021-07-13T15:10:00Z,2021-07-13,11:10:00,shallow,80.7576,NA,NA
2021-07-13T15:20:00Z,2021-07-13,11:20:00,shallow,167.9391,NA,NA
2021-07-13T15:30:00Z,2021-07-13,11:30:00,shallow,158.2377,NA,NA
2021-07-13T15:40:00Z,2021-07-13,11:40:00,shallow,147.4875,NA,NA
2021-07-13T15:50:00Z,2021-07-13,11:50:00,shallow,197.0433,NA,NA
2021-07-13T16:00:00Z,2021-07-13,12:00:00,shallow,207.7935,NA,NA
2021-07-13T16:10:00Z,2021-07-13,12:10:00,shallow,200.1897,NA,NA
2021-07-13T16:20:00Z,2021-07-13,12:20:00,shallow,200.1897,NA,NA
2021-07-13T16:30:00Z,2021-07-13,12:30:00,shallow,194.1591,NA,NA
2021-07-13T16:40:00Z,2021-07-13,12:40:00,shallow,204.2538,NA,NA
2021-07-13T16:50:00Z,2021-07-13,12:50:00,shallow,200.583,NA,NA
2021-07-13T17:00:00Z,2021-07-13,13:00:00,shallow,143.9478,NA,NA
2021-07-13T17:10:00Z,2021-07-13,13:10:00,shallow,203.4672,NA,NA
2021-07-13T17:20:00Z,2021-07-13,13:20:00,shallow,195.8634,NA,NA
2021-07-13T17:30:00Z,2021-07-13,13:30:00,shallow,146.1765,NA,NA
2021-07-13T17:40:00Z,2021-07-13,13:40:00,shallow,144.9966,NA,NA
2021-07-13T17:50:00Z,2021-07-13,13:50:00,shallow,175.1496,NA,NA
2021-07-13T18:00:00Z,2021-07-13,14:00:00,shallow,132.411,NA,NA
2021-07-13T18:10:00Z,2021-07-13,14:10:00,shallow,86.2638,NA,NA
2021-07-13T18:20:00Z,2021-07-13,14:20:00,shallow,77.4801,NA,NA
2021-07-13T18:30:00Z,2021-07-13,14:30:00,shallow,100.1604,NA,NA
2021-07-13T18:40:00Z,2021-07-13,14:40:00,shallow,82.199700000000007,NA,NA
2021-07-13T18:50:00Z,2021-07-13,14:50:00,shallow,114.4503,NA,NA
2021-07-13T19:00:00Z,2021-07-13,15:00:00,shallow,85.7394,NA,NA
2021-07-13T19:10:00Z,2021-07-13,15:10:00,shallow,46.6716,NA,NA
2021-07-13T19:20:00Z,2021-07-13,15:20:00,shallow,61.3548,NA,NA
2021-07-13T19:30:00Z,2021-07-13,15:30:00,shallow,60.306,NA,NA
2021-07-13T19:40:00Z,2021-07-13,15:40:00,shallow,31.5951,NA,NA
2021-07-13T19:50:00Z,2021-07-13,15:50:00,shallow,40.3788,NA,NA
2021-07-13T20:00:00Z,2021-07-13,16:00:00,shallow,32.775,NA,NA
2021-07-13T20:10:00Z,2021-07-13,16:10:00,shallow,26.4822,NA,NA
2021-07-13T20:20:00Z,2021-07-13,16:20:00,shallow,25.8267,NA,NA
2021-07-13T20:30:00Z,2021-07-13,16:30:00,shallow,30.8085,NA,NA
2021-07-13T20:40:00Z,2021-07-13,16:40:00,shallow,32.5128,NA,NA
2021-07-13T20:50:00Z,2021-07-13,16:50:00,shallow,36.8391,NA,NA
2021-07-13T21:00:00Z,2021-07-13,17:00:00,shallow,56.6352,NA,NA
2021-07-13T21:10:00Z,2021-07-13,17:10:00,shallow,36.3147,NA,NA
2021-07-13T21:20:00Z,2021-07-13,17:20:00,shallow,35.1348,NA,NA
2021-07-13T21:30:00Z,2021-07-13,17:30:00,shallow,25.5645,NA,NA
2021-07-13T21:40:00Z,2021-07-13,17:40:00,shallow,22.6803,NA,NA
2021-07-13T21:50:00Z,2021-07-13,17:50:00,shallow,13.7655,NA,NA
2021-07-13T22:00:00Z,2021-07-13,18:00:00,shallow,11.799,NA,NA
2021-07-13T22:10:00Z,2021-07-13,18:10:00,shallow,11.5368,NA,NA
2021-07-13T22:20:00Z,2021-07-13,18:20:00,shallow,6.6861,NA,NA
2021-07-13T22:30:00Z,2021-07-13,18:30:00,shallow,3.933,NA,NA
2021-07-13T22:40:00Z,2021-07-13,18:40:00,shallow,2.622,NA,NA
2021-07-13T22:50:00Z,2021-07-13,18:50:00,shallow,2.0976,NA,NA
2021-07-13T23:00:00Z,2021-07-13,19:00:00,shallow,0.3933,NA,NA
2021-07-13T23:10:00Z,2021-07-13,19:10:00,shallow,0,NA,NA
2021-07-13T23:20:00Z,2021-07-13,19:20:00,shallow,0,NA,NA
2021-07-13T23:30:00Z,2021-07-13,19:30:00,shallow,0,NA,NA
2021-07-13T23:40:00Z,2021-07-13,19:40:00,shallow,0,NA,NA
2021-07-13T23:50:00Z,2021-07-13,19:50:00,shallow,0,NA,NA
2021-07-14T00:00:00Z,2021-07-13,20:00:00,shallow,0,NA,NA
2021-07-14T00:10:00Z,2021-07-13,20:10:00,shallow,0,NA,NA
2021-07-14T00:20:00Z,2021-07-13,20:20:00,shallow,0,NA,NA
2021-07-14T00:30:00Z,2021-07-13,20:30:00,shallow,0,NA,NA
2021-07-14T00:40:00Z,2021-07-13,20:40:00,shallow,0,NA,NA
2021-07-14T00:50:00Z,2021-07-13,20:50:00,shallow,0,NA,NA
2021-07-14T01:00:00Z,2021-07-13,21:00:00,shallow,0,NA,NA
2021-07-14T01:10:00Z,2021-07-13,21:10:00,shallow,0,NA,NA
2021-07-14T01:20:00Z,2021-07-13,21:20:00,shallow,0,NA,NA
2021-07-14T01:30:00Z,2021-07-13,21:30:00,shallow,0,NA,NA
2021-07-14T01:40:00Z,2021-07-13,21:40:00,shallow,0,NA,NA
2021-07-14T01:50:00Z,2021-07-13,21:50:00,shallow,0,NA,NA
2021-07-14T02:00:00Z,2021-07-13,22:00:00,shallow,0,NA,NA
2021-07-14T02:10:00Z,2021-07-13,22:10:00,shallow,0,NA,NA
2021-07-14T02:20:00Z,2021-07-13,22:20:00,shallow,0,NA,NA
2021-07-14T02:30:00Z,2021-07-13,22:30:00,shallow,0,NA,NA
2021-07-14T02:40:00Z,2021-07-13,22:40:00,shallow,0,NA,NA
2021-07-14T02:50:00Z,2021-07-13,22:50:00,shallow,0,NA,NA
2021-07-14T03:00:00Z,2021-07-13,23:00:00,shallow,0,NA,NA
2021-07-14T03:10:00Z,2021-07-13,23:10:00,shallow,0,NA,NA
2021-07-14T03:20:00Z,2021-07-13,23:20:00,shallow,0,NA,NA
2021-07-14T03:30:00Z,2021-07-13,23:30:00,shallow,0,NA,NA
2021-07-14T03:40:00Z,2021-07-13,23:40:00,shallow,0,NA,NA
2021-07-14T03:50:00Z,2021-07-13,23:50:00,shallow,0,NA,NA
2021-07-14T04:00:00Z,2021-07-13,24:00:00,shallow,0,NA,NA
2021-07-14T04:10:00Z,2021-07-14,0:10:00,deep,0,NA,NA
2021-07-14T04:20:00Z,2021-07-14,0:20:00,deep,0,NA,NA
2021-07-14T04:30:00Z,2021-07-14,0:30:00,deep,0,NA,NA
2021-07-14T04:40:00Z,2021-07-14,0:40:00,deep,0,NA,NA
2021-07-14T04:50:00Z,2021-07-14,0:50:00,deep,0,NA,NA
2021-07-14T05:00:00Z,2021-07-14,1:00:00,deep,0,NA,NA
2021-07-14T05:10:00Z,2021-07-14,1:10:00,deep,0,NA,NA
2021-07-14T05:20:00Z,2021-07-14,1:20:00,deep,0,NA,NA
2021-07-14T05:30:00Z,2021-07-14,1:30:00,deep,0,NA,NA
2021-07-14T05:40:00Z,2021-07-14,1:40:00,deep,0,NA,NA
2021-07-14T05:50:00Z,2021-07-14,1:50:00,deep,0,NA,NA
2021-07-14T06:00:00Z,2021-07-14,2:00:00,deep,0,NA,NA
2021-07-14T06:10:00Z,2021-07-14,2:10:00,deep,0,NA,NA
2021-07-14T06:20:00Z,2021-07-14,2:20:00,deep,0,NA,NA
2021-07-14T06:30:00Z,2021-07-14,2:30:00,deep,0,NA,NA
2021-07-14T06:40:00Z,2021-07-14,2:40:00,deep,0,NA,NA
2021-07-14T06:50:00Z,2021-07-14,2:50:00,deep,0,NA,NA
2021-07-14T07:00:00Z,2021-07-14,3:00:00,deep,0,NA,NA
2021-07-14T07:10:00Z,2021-07-14,3:10:00,deep,0,NA,NA
2021-07-14T07:20:00Z,2021-07-14,3:20:00,deep,0,NA,NA
2021-07-14T07:30:00Z,2021-07-14,3:30:00,deep,0,NA,NA
2021-07-14T07:40:00Z,2021-07-14,3:40:00,deep,0,NA,NA
2021-07-14T07:50:00Z,2021-07-14,3:50:00,deep,0,NA,NA
2021-07-14T08:00:00Z,2021-07-14,4:00:00,deep,0,NA,NA
2021-07-14T08:10:00Z,2021-07-14,4:10:00,deep,0,NA,NA
2021-07-14T08:20:00Z,2021-07-14,4:20:00,deep,0,NA,NA
2021-07-14T08:30:00Z,2021-07-14,4:30:00,deep,0,NA,NA
2021-07-14T08:40:00Z,2021-07-14,4:40:00,deep,0,NA,NA
2021-07-14T08:50:00Z,2021-07-14,4:50:00,deep,0,NA,NA
2021-07-14T09:00:00Z,2021-07-14,5:00:00,deep,0,NA,NA
2021-07-14T09:10:00Z,2021-07-14,5:10:00,deep,0,NA,NA
2021-07-14T09:20:00Z,2021-07-14,5:20:00,deep,0,NA,NA
2021-07-14T09:30:00Z,2021-07-14,5:30:00,deep,0,NA,NA
2021-07-14T09:40:00Z,2021-07-14,5:40:00,deep,0,NA,NA
2021-07-14T09:50:00Z,2021-07-14,5:50:00,deep,0,NA,NA
2021-07-14T10:00:00Z,2021-07-14,6:00:00,deep,0,NA,NA
2021-07-14T10:10:00Z,2021-07-14,6:10:00,deep,0,NA,NA
2021-07-14T10:20:00Z,2021-07-14,6:20:00,deep,0,NA,NA
2021-07-14T10:30:00Z,2021-07-14,6:30:00,deep,0,NA,NA
2021-07-14T10:40:00Z,2021-07-14,6:40:00,deep,0,NA,NA
2021-07-14T10:50:00Z,2021-07-14,6:50:00,deep,0,NA,NA
2021-07-14T11:00:00Z,2021-07-14,7:00:00,deep,0,NA,NA
2021-07-14T11:10:00Z,2021-07-14,7:10:00,deep,0,NA,NA
2021-07-14T11:20:00Z,2021-07-14,7:20:00,deep,0,NA,NA
2021-07-14T11:30:00Z,2021-07-14,7:30:00,deep,0.4808,NA,NA
2021-07-14T11:40:00Z,2021-07-14,7:40:00,deep,1.202,NA,NA
2021-07-14T11:50:00Z,2021-07-14,7:50:00,deep,1.6828,NA,NA
2021-07-14T12:00:00Z,2021-07-14,8:00:00,deep,2.404,NA,NA
2021-07-14T12:10:00Z,2021-07-14,8:10:00,deep,2.8848,NA,NA
2021-07-14T12:20:00Z,2021-07-14,8:20:00,deep,3.606,NA,NA
2021-07-14T12:30:00Z,2021-07-14,8:30:00,deep,3.8464,NA,NA
2021-07-14T12:40:00Z,2021-07-14,8:40:00,deep,4.5676,NA,NA
2021-07-14T12:50:00Z,2021-07-14,8:50:00,deep,5.0484,NA,NA
2021-07-14T13:00:00Z,2021-07-14,9:00:00,deep,6.2504,NA,NA
2021-07-14T13:10:00Z,2021-07-14,9:10:00,deep,6.7312,NA,NA
2021-07-14T13:20:00Z,2021-07-14,9:20:00,deep,7.4524,NA,NA
2021-07-14T13:30:00Z,2021-07-14,9:30:00,deep,8.1736,NA,NA
2021-07-14T13:40:00Z,2021-07-14,9:40:00,deep,9.1352,NA,NA
2021-07-14T13:50:00Z,2021-07-14,9:50:00,deep,9.8564,NA,NA
2021-07-14T14:00:00Z,2021-07-14,10:00:00,deep,10.818,NA,NA
2021-07-14T14:10:00Z,2021-07-14,10:10:00,deep,12.02,NA,NA
2021-07-14T14:20:00Z,2021-07-14,10:20:00,deep,13.4624,NA,NA
2021-07-14T14:30:00Z,2021-07-14,10:30:00,deep,14.1836,NA,NA
2021-07-14T14:40:00Z,2021-07-14,10:40:00,deep,14.1836,NA,NA
2021-07-14T14:50:00Z,2021-07-14,10:50:00,deep,15.1452,NA,NA
2021-07-14T15:00:00Z,2021-07-14,11:00:00,deep,16.3472,NA,NA
2021-07-14T15:10:00Z,2021-07-14,11:10:00,deep,17.0684,NA,NA
2021-07-14T15:20:00Z,2021-07-14,11:20:00,deep,18.2704,NA,NA
2021-07-14T15:30:00Z,2021-07-14,11:30:00,deep,19.9532,NA,NA
2021-07-14T15:40:00Z,2021-07-14,11:40:00,deep,21.3956,NA,NA
2021-07-14T15:50:00Z,2021-07-14,11:50:00,deep,22.838,NA,NA
2021-07-14T16:00:00Z,2021-07-14,12:00:00,deep,23.0784,NA,NA
2021-07-14T16:10:00Z,2021-07-14,12:10:00,deep,23.0784,NA,NA
2021-07-14T16:20:00Z,2021-07-14,12:20:00,deep,22.838,NA,NA
2021-07-14T16:30:00Z,2021-07-14,12:30:00,deep,22.3572,NA,NA
2021-07-14T16:40:00Z,2021-07-14,12:40:00,deep,22.3572,NA,NA
2021-07-14T16:50:00Z,2021-07-14,12:50:00,deep,21.8764,NA,NA
2021-07-14T17:00:00Z,2021-07-14,13:00:00,deep,21.636,NA,NA
2021-07-14T17:10:00Z,2021-07-14,13:10:00,deep,22.3572,NA,NA
2021-07-14T17:20:00Z,2021-07-14,13:20:00,deep,12.5008,NA,NA
2021-07-14T17:30:00Z,2021-07-14,13:30:00,deep,16.828,NA,NA
2021-07-14T17:40:00Z,2021-07-14,13:40:00,deep,19.9532,NA,NA
2021-07-14T17:50:00Z,2021-07-14,13:50:00,deep,15.8664,NA,NA
