Date,Time,LightRaw,LightCrrx,Light_int_10m,depth,datetime
2021-07-13,10:10:00,174,22.8114,0.01368684,shallow,2021-07-13T14:10:00Z
2021-07-13,10:20:00,500,65.55,0.03933,shallow,2021-07-13T14:20:00Z
2021-07-13,10:30:00,1131,148.2741,0.08896446,shallow,2021-07-13T14:30:00Z
2021-07-13,10:40:00,1309,171.6099,0.10296594,shallow,2021-07-13T14:40:00Z
2021-07-13,10:50:00,866,113.5326,0.06811956,shallow,2021-07-13T14:50:00Z
2021-07-13,11:00:00,601,78.7911,0.04727466,shallow,2021-07-13T15:00:00Z
2021-07-13,11:10:00,616,80.7576,0.04845456,shallow,2021-07-13T15:10:00Z
2021-07-13,11:20:00,1281,167.9391,0.10076346,shallow,2021-07-13T15:20:00Z
2021-07-13,11:30:00,1207,158.2377,0.09494262,shallow,2021-07-13T15:30:00Z
2021-07-13,11:40:00,1125,147.4875,0.0884925,shallow,2021-07-13T15:40:00Z
2021-07-13,11:50:00,1503,197.0433,0.11822598,shallow,2021-07-13T15:50:00Z
2021-07-13,12:00:00,1585,207.7935,0.1246761,shallow,2021-07-13T16:00:00Z
2021-07-13,12:10:00,1527,200.1897,0.12011382,shallow,2021-07-13T16:10:00Z
2021-07-13,12:20:00,1527,200.1897,0.12011382,shallow,2021-07-13T16:20:00Z
2021-07-13,12:30:00,1481,194.1591,0.11649546,shallow,2021-07-13T16:30:00Z
2021-07-13,12:40:00,1558,204.2538,0.12255228,shallow,2021-07-13T16:40:00Z
2021-07-13,12:50:00,1530,200.583,0.1203498,shallow,2021-07-13T16:50:00Z
2021-07-13,13:00:00,1098,143.9478,0.08636868,shallow,2021-07-13T17:00:00Z
2021-07-13,13:10:00,1552,203.4672,0.12208032,shallow,2021-07-13T17:10:00Z
2021-07-13,13:20:00,1494,195.8634,0.11751804,shallow,2021-07-13T17:20:00Z
2021-07-13,13:30:00,1115,146.1765,0.0877059,shallow,2021-07-13T17:30:00Z
2021-07-13,13:40:00,1106,144.9966,0.08699796,shallow,2021-07-13T17:40:00Z
2021-07-13,13:50:00,1336,175.1496,0.10508976,shallow,2021-07-13T17:50:00Z
2021-07-13,14:00:00,1010,132.411,0.0794466,shallow,2021-07-13T18:00:00Z
2021-07-13,14:10:00,658,86.2638,0.05175828,shallow,2021-07-13T18:10:00Z
2021-07-13,14:20:00,591,77.4801,0.04648806,shallow,2021-07-13T18:20:00Z
2021-07-13,14:30:00,764,100.1604,0.06009624,shallow,2021-07-13T18:30:00Z
2021-07-13,14:40:00,627,82.199700000000007,0.04931982,shallow,2021-07-13T18:40:00Z
2021-07-13,14:50:00,873,114.4503,0.06867018,shallow,2021-07-13T18:50:00Z
2021-07-13,15:00:00,654,85.7394,0.05144364,shallow,2021-07-13T19:00:00Z
2021-07-13,15:10:00,356,46.6716,0.02800296,shallow,2021-07-13T19:10:00Z
2021-07-13,15:20:00,468,61.3548,0.03681288,shallow,2021-07-13T19:20:00Z
2021-07-13,15:30:00,460,60.306,0.0361836,shallow,2021-07-13T19:30:00Z
2021-07-13,15:40:00,241,31.5951,0.01895706,shallow,2021-07-13T19:40:00Z
2021-07-13,15:50:00,308,40.3788,0.02422728,shallow,2021-07-13T19:50:00Z
2021-07-13,16:00:00,250,32.775,0.019665,shallow,2021-07-13T20:00:00Z
2021-07-13,16:10:00,202,26.4822,0.01588932,shallow,2021-07-13T20:10:00Z
2021-07-13,16:20:00,197,25.8267,0.01549602,shallow,2021-07-13T20:20:00Z
2021-07-13,16:30:00,235,30.8085,0.0184851,shallow,2021-07-13T20:30:00Z
2021-07-13,16:40:00,248,32.5128,0.01950768,shallow,2021-07-13T20:40:00Z
2021-07-13,16:50:00,281,36.8391,0.02210346,shallow,2021-07-13T20:50:00Z
2021-07-13,17:00:00,432,56.6352,0.03398112,shallow,2021-07-13T21:00:00Z
2021-07-13,17:10:00,277,36.3147,0.02178882,shallow,2021-07-13T21:10:00Z
2021-07-13,17:20:00,268,35.1348,0.02108088,shallow,2021-07-13T21:20:00Z
2021-07-13,17:30:00,195,25.5645,0.0153387,shallow,2021-07-13T21:30:00Z
2021-07-13,17:40:00,173,22.6803,0.01360818,shallow,2021-07-13T21:40:00Z
2021-07-13,17:50:00,105,13.7655,0.0082593,shallow,2021-07-13T21:50:00Z
2021-07-13,18:00:00,90,11.799,0.0070794,shallow,2021-07-13T22:00:00Z
2021-07-13,18:10:00,88,11.5368,0.00692208,shallow,2021-07-13T22:10:00Z
2021-07-13,18:20:00,51,6.6861,0.00401166,shallow,2021-07-13T22:20:00Z
2021-07-13,18:30:00,30,3.933,0.0023598,shallow,2021-07-13T22:30:00Z
2021-07-13,18:40:00,20,2.622,0.0015732,shallow,2021-07-13T22:40:00Z
2021-07-13,18:50:00,16,2.0976,0.00125856,shallow,2021-07-13T22:50:00Z
2021-07-13,19:00:00,3,0.3933,2.3598e-4,shallow,2021-07-13T23:00:00Z
2021-07-13,19:10:00,0,0,0,shallow,2021-07-13T23:10:00Z
2021-07-13,19:20:00,0,0,0,shallow,2021-07-13T23:20:00Z
2021-07-13,19:30:00,0,0,0,shallow,2021-07-13T23:30:00Z
2021-07-13,19:40:00,0,0,0,shallow,2021-07-13T23:40:00Z
2021-07-13,19:50:00,0,0,0,shallow,2021-07-13T23:50:00Z
2021-07-13,20:00:00,0,0,0,shallow,2021-07-14T00:00:00Z
2021-07-13,20:10:00,0,0,0,shallow,2021-07-14T00:10:00Z
2021-07-13,20:20:00,0,0,0,shallow,2021-07-14T00:20:00Z
2021-07-13,20:30:00,0,0,0,shallow,2021-07-14T00:30:00Z
2021-07-13,20:40:00,0,0,0,shallow,2021-07-14T00:40:00Z
2021-07-13,20:50:00,0,0,0,shallow,2021-07-14T00:50:00Z
2021-07-13,21:00:00,0,0,0,shallow,2021-07-14T01:00:00Z
2021-07-13,21:10:00,0,0,0,shallow,2021-07-14T01:10:00Z
2021-07-13,21:20:00,0,0,0,shallow,2021-07-14T01:20:00Z
