SENSOR,Date,Time,S_LightRaw,S_LightCrrx,S_Light_Int_10m
12081,2021-01-08,00:10:00,0,0,0
12081,2021-01-08,00:20:00,0,0,0
12081,2021-01-08,00:30:00,0,0,0
12081,2021-01-08,00:40:00,0,0,0
12081,2021-01-08,00:50:00,0,0,0
12081,2021-01-08,01:00:00,0,0,0
12081,2021-01-08,01:10:00,0,0,0
12081,2021-01-08,01:20:00,0,0,0
12081,2021-01-08,01:30:00,0,0,0
12081,2021-01-08,01:40:00,0,0,0
12081,2021-01-08,01:50:00,0,0,0
12081,2021-01-08,02:00:00,0,0,0
12081,2021-01-08,02:10:00,0,0,0
12081,2021-01-08,02:20:00,0,0,0
12081,2021-01-08,02:30:00,0,0,0
12081,2021-01-08,02:40:00,0,0,0
12081,2021-01-08,02:50:00,0,0,0
12081,2021-01-08,03:00:00,0,0,0
12081,2021-01-08,03:10:00,0,0,0
12081,2021-01-08,03:20:00,0,0,0
12081,2021-01-08,03:30:00,0,0,0
12081,2021-01-08,03:40:00,0,0,0
12081,2021-01-08,03:50:00,0,0,0
12081,2021-01-08,04:00:00,0,0,0
12081,2021-01-08,04:10:00,0,0,0
12081,2021-01-08,04:20:00,0,0,0
12081,2021-01-08,04:30:00,0,0,0
12081,2021-01-08,04:40:00,0,0,0
12081,2021-01-08,04:50:00,0,0,0
12081,2021-01-08,05:00:00,0,0,0
12081,2021-01-08,05:10:00,0,0,0
12081,2021-01-08,05:20:00,0,0,0
12081,2021-01-08,05:30:00,0,0,0
12081,2021-01-08,05:40:00,0,0,0
12081,2021-01-08,05:50:00,0,0,0
12081,2021-01-08,06:00:00,0,0,0
12081,2021-01-08,06:10:00,5,0.6555,0.0003933
12081,2021-01-08,06:20:00,25,3.2775,0.0019665
12081,2021-01-08,06:30:00,56,7.3416,0.00440496
12081,2021-01-08,06:40:00,96,12.5856,0.00755136
12081,2021-01-08,06:50:00,146,19.1406,0.01148436
12081,2021-01-08,07:00:00,201,26.3511,0.01581066
12081,2021-01-08,07:10:00,266,34.8726,0.02092356
12081,2021-01-08,07:20:00,336,44.0496,0.02642976
12081,2021-01-08,07:30:00,413,54.1443,0.03248658
12081,2021-01-08,07:40:00,501,65.6811,0.03940866
12081,2021-01-08,07:50:00,589,77.2179,0.04633074
12081,2021-01-08,08:00:00,683,89.5413,0.05372478
12081,2021-01-08,08:10:00,782,102.5202,0.06151212
12081,2021-01-08,08:20:00,884,115.8924,0.06953544
12081,2021-01-08,08:30:00,981,128.6091,0.07716546
12081,2021-01-08,08:40:00,1085,142.2435,0.0853461
12081,2021-01-08,08:50:00,1198,157.0578,0.09423468
12081,2021-01-08,09:00:00,1306,171.2166,0.10272996
12081,2021-01-08,09:10:00,1415,185.5065,0.1113039
12081,2021-01-08,09:20:00,1518,199.0098,0.11940588
12081,2021-01-08,09:30:00,1631,213.8241,0.12829446
12081,2021-01-08,09:40:00,1733,227.1963,0.13631778
12081,2021-01-08,09:50:00,1842,241.4862,0.14489172
12081,2021-01-08,10:00:00,1922,251.9742,0.15118452
12081,2021-01-08,10:10:00,2017,264.4287,0.15865722
12081,2021-01-08,10:20:00,2124,278.4564,0.16707384
12081,2021-01-08,10:30:00,2198,288.1578,0.17289468
12081,2021-01-08,10:40:00,2281,299.0391,0.17942346
12081,2021-01-08,10:50:00,2370,310.707,0.1864242
12081,2021-01-08,11:00:00,2432,318.8352,0.19130112
12081,2021-01-08,11:10:00,2512,329.3232,0.19759392
12081,2021-01-08,11:20:00,2543,333.3873,0.20003238
12081,2021-01-08,11:30:00,2608,341.9088,0.20514528
12081,2021-01-08,11:40:00,2677,350.9547,0.21057282
12081,2021-01-08,11:50:00,2645,346.7595,0.2080557
12081,2021-01-08,12:00:00,2737,358.8207,0.21529242
12081,2021-01-08,12:10:00,2656,348.2016,0.20892096
12081,2021-01-08,12:20:00,2720,356.592,0.2139552
12081,2021-01-08,12:30:00,2800,367.08,0.220248
12081,2021-01-08,12:40:00,2776,363.9336,0.21836016
12081,2021-01-08,12:50:00,2794,366.2934,0.21977604
12081,2021-01-08,13:00:00,2764,362.3604,0.21741624
12081,2021-01-08,13:10:00,2741,359.3451,0.21560706
12081,2021-01-08,13:20:00,2640,346.104,0.2076624
12081,2021-01-08,13:30:00,2673,350.4303,0.21025818
12081,2021-01-08,13:40:00,2494,326.9634,0.19617804
12081,2021-01-08,13:50:00,2624,344.0064,0.20640384
12081,2021-01-08,14:00:00,2271,297.7281,0.17863686
12081,2021-01-08,14:10:00,1695,222.2145,0.1333287
12081,2021-01-08,14:20:00,1219,159.8109,0.09588654
12081,2021-01-08,14:30:00,2288,299.9568,0.17997408
12081,2021-01-08,14:40:00,1389,182.0979,0.10925874
12081,2021-01-08,14:50:00,1211,158.7621,0.09525726
12081,2021-01-08,15:00:00,2148,281.6028,0.16896168
12081,2021-01-08,15:10:00,1510,197.961,0.1187766
12081,2021-01-08,15:20:00,1656,217.1016,0.13026096
12081,2021-01-08,15:30:00,1692,221.8212,0.13309272
12081,2021-01-08,15:40:00,1658,217.3638,0.13041828
12081,2021-01-08,15:50:00,1557,204.1227,0.12247362
12081,2021-01-08,16:00:00,1258,164.9238,0.09895428
12081,2021-01-08,16:10:00,1346,176.4606,0.10587636
12081,2021-01-08,16:20:00,1344,176.1984,0.10571904
12081,2021-01-08,16:30:00,1298,170.1678,0.10210068
12081,2021-01-08,16:40:00,1028,134.7708,0.08086248
12081,2021-01-08,16:50:00,918,120.3498,0.07220988
12081,2021-01-08,17:00:00,918,120.3498,0.07220988
12081,2021-01-08,17:10:00,913,119.6943,0.07181658
12081,2021-01-08,17:20:00,819,107.3709,0.06442254
12081,2021-01-08,17:30:00,703,92.1633,0.05529798
12081,2021-01-08,17:40:00,523,68.5653,0.04113918
12081,2021-01-08,17:50:00,298,39.0678,0.02344068
12081,2021-01-08,18:00:00,180,23.598,0.0141588
12081,2021-01-08,18:10:00,154,20.1894,0.01211364
12081,2021-01-08,18:20:00,131,17.1741,0.01030446
12081,2021-01-08,18:30:00,109,14.2899,0.00857394
12081,2021-01-08,18:40:00,80,10.488,0.0062928
12081,2021-01-08,18:50:00,48,6.2928,0.00377568
12081,2021-01-08,19:00:00,15,1.9665,0.0011799
12081,2021-01-08,19:10:00,1,0.1311,0.00007866
12081,2021-01-08,19:20:00,0,0,0
12081,2021-01-08,19:30:00,0,0,0
12081,2021-01-08,19:40:00,0,0,0
12081,2021-01-08,19:50:00,0,0,0
12081,2021-01-08,20:00:00,0,0,0
12081,2021-01-08,20:10:00,0,0,0
12081,2021-01-08,20:20:00,0,0,0
12081,2021-01-08,20:30:00,0,0,0
12081,2021-01-08,20:40:00,0,0,0
12081,2021-01-08,20:50:00,0,0,0
12081,2021-01-08,21:00:00,0,0,0
12081,2021-01-08,21:10:00,0,0,0
12081,2021-01-08,21:20:00,0,0,0
12081,2021-01-08,21:30:00,0,0,0
12081,2021-01-08,21:40:00,0,0,0
12081,2021-01-08,21:50:00,0,0,0
12081,2021-01-08,22:00:00,0,0,0
12081,2021-01-08,22:10:00,0,0,0
12081,2021-01-08,22:20:00,0,0,0
12081,2021-01-08,22:30:00,0,0,0
12081,2021-01-08,22:40:00,0,0,0
12081,2021-01-08,22:50:00,0,0,0
12081,2021-01-08,23:00:00,0,0,0
12081,2021-01-08,23:10:00,0,0,0
12081,2021-01-08,23:20:00,0,0,0
12081,2021-01-08,23:30:00,0,0,0
12081,2021-01-08,23:40:00,0,0,0
12081,2021-01-08,23:50:00,0,0,0
12081,2021-01-08,24:00:00,0,0,0
12081,2021-02-08,00:10:00,0,0,0
12081,2021-02-08,00:20:00,0,0,0
12081,2021-02-08,00:30:00,0,0,0
12081,2021-02-08,00:40:00,0,0,0
12081,2021-02-08,00:50:00,0,0,0
12081,2021-02-08,01:00:00,0,0,0
12081,2021-02-08,01:10:00,0,0,0
12081,2021-02-08,01:20:00,0,0,0
12081,2021-02-08,01:30:00,0,0,0
12081,2021-02-08,01:40:00,0,0,0
12081,2021-02-08,01:50:00,0,0,0
12081,2021-02-08,02:00:00,0,0,0
12081,2021-02-08,02:10:00,0,0,0
12081,2021-02-08,02:20:00,0,0,0
12081,2021-02-08,02:30:00,0,0,0
12081,2021-02-08,02:40:00,0,0,0
12081,2021-02-08,02:50:00,0,0,0
12081,2021-02-08,03:00:00,0,0,0
12081,2021-02-08,03:10:00,0,0,0
12081,2021-02-08,03:20:00,0,0,0
12081,2021-02-08,03:30:00,0,0,0
12081,2021-02-08,03:40:00,0,0,0
12081,2021-02-08,03:50:00,0,0,0
12081,2021-02-08,04:00:00,0,0,0
12081,2021-02-08,04:10:00,0,0,0
12081,2021-02-08,04:20:00,0,0,0
12081,2021-02-08,04:30:00,0,0,0
12081,2021-02-08,04:40:00,0,0,0
12081,2021-02-08,04:50:00,0,0,0
12081,2021-02-08,05:00:00,0,0,0
12081,2021-02-08,05:10:00,0,0,0
12081,2021-02-08,05:20:00,0,0,0
12081,2021-02-08,05:30:00,0,0,0
12081,2021-02-08,05:40:00,0,0,0
12081,2021-02-08,05:50:00,0,0,0
12081,2021-02-08,06:00:00,0,0,0
12081,2021-02-08,06:10:00,5,0.6555,0.0003933
12081,2021-02-08,06:20:00,25,3.2775,0.0019665
12081,2021-02-08,06:30:00,58,7.6038,0.00456228
12081,2021-02-08,06:40:00,98,12.8478,0.00770868
12081,2021-02-08,06:50:00,150,19.665,0.011799
12081,2021-02-08,07:00:00,209,27.3999,0.01643994
12081,2021-02-08,07:10:00,277,36.3147,0.02178882
12081,2021-02-08,07:20:00,356,46.6716,0.02800296
12081,2021-02-08,07:30:00,436,57.1596,0.03429576
12081,2021-02-08,07:40:00,514,67.3854,0.04043124
12081,2021-02-08,07:50:00,604,79.1844,0.04751064
12081,2021-02-08,08:00:00,689,90.3279,0.05419674
12081,2021-02-08,08:10:00,791,103.7001,0.06222006
12081,2021-02-08,08:20:00,898,117.7278,0.07063668
12081,2021-02-08,08:30:00,1027,134.6397,0.08078382
12081,2021-02-08,08:40:00,1120,146.832,0.0880992
12081,2021-02-08,08:50:00,1211,158.7621,0.09525726
12081,2021-02-08,09:00:00,1324,173.5764,0.10414584
12081,2021-02-08,09:10:00,1441,188.9151,0.11334906
12081,2021-02-08,09:20:00,1539,201.7629,0.12105774
12081,2021-02-08,09:30:00,1635,214.3485,0.1286091
12081,2021-02-08,09:40:00,1710,224.181,0.1345086
12081,2021-02-08,09:50:00,1492,195.6012,0.11736072
12081,2021-02-08,10:00:00,2067,270.9837,0.16259022
12081,2021-02-08,10:10:00,2179,285.6669,0.17140014
12081,2021-02-08,10:20:00,2295,300.8745,0.1805247
12081,2021-02-08,10:30:00,2403,315.0333,0.18901998
12081,2021-02-08,10:40:00,2494,326.9634,0.19617804
12081,2021-02-08,10:50:00,2597,340.4667,0.20428002
12081,2021-02-08,11:00:00,2704,354.4944,0.21269664
12081,2021-02-08,11:10:00,2782,364.7202,0.21883212
12081,2021-02-08,11:20:00,2628,344.5308,0.20671848
12081,2021-02-08,11:30:00,2905,380.8455,0.2285073
12081,2021-02-08,11:40:00,2908,381.2388,0.22874328
12081,2021-02-08,11:50:00,3050,399.855,0.239913
12081,2021-02-08,12:00:00,3068,402.2148,0.24132888
12081,2021-02-08,12:10:00,2818,369.4398,0.22166388
12081,2021-02-08,12:20:00,2975,390.0225,0.2340135
