SENSOR,Date,Time,LightRaw,LightCrrx,Light_int_10m,depth,y,m,d
12080,1/8/21,00:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,00:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,00:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,00:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,00:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,01:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,01:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,01:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,01:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,01:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,01:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,02:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,02:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,02:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,02:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,02:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,02:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,03:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,03:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,03:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,03:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,03:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,03:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,04:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,04:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,04:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,04:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,04:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,04:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,05:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,05:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,05:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,05:30:00,0,0,0,deep,2021,8,1
12080,1/8/21,05:40:00,0,0,0,deep,2021,8,1
12080,1/8/21,05:50:00,0,0,0,deep,2021,8,1
12080,1/8/21,06:00:00,0,0,0,deep,2021,8,1
12080,1/8/21,06:10:00,0,0,0,deep,2021,8,1
12080,1/8/21,06:20:00,0,0,0,deep,2021,8,1
12080,1/8/21,06:30:00,4,0.9616,0.00057696,deep,2021,8,1
12080,1/8/21,06:40:00,10,2.404,0.0014424,deep,2021,8,1
12080,1/8/21,06:50:00,17,4.0868,0.00245208,deep,2021,8,1
12080,1/8/21,07:00:00,26,6.2504,0.00375024,deep,2021,8,1
12080,1/8/21,07:10:00,36,8.6544,0.00519264,deep,2021,8,1
12080,1/8/21,07:20:00,46,11.0584,0.00663504,deep,2021,8,1
12080,1/8/21,07:30:00,57,13.7028,0.00822168,deep,2021,8,1
12080,1/8/21,07:40:00,69,16.5876,0.00995256,deep,2021,8,1
12080,1/8/21,07:50:00,82,19.7128,0.01182768,deep,2021,8,1
12080,1/8/21,08:00:00,94,22.5976,0.01355856,deep,2021,8,1
12080,1/8/21,08:10:00,109,26.2036,0.01572216,deep,2021,8,1
12080,1/8/21,08:20:00,123,29.5692,0.01774152,deep,2021,8,1
12080,1/8/21,08:30:00,140,33.656,0.0201936,deep,2021,8,1
12080,1/8/21,08:40:00,156,37.5024,0.02250144,deep,2021,8,1
12080,1/8/21,08:50:00,175,42.07,0.025242,deep,2021,8,1
12080,1/8/21,09:00:00,190,45.676,0.0274056,deep,2021,8,1
12080,1/8/21,09:10:00,208,50.0032,0.03000192,deep,2021,8,1
