 ,Area,Mean,Min,Max,Angle,Length
1,4.338E-4,163.090,2.667,199.000,-90.000,0.424
2,2.684E-4,140.249,100.545,179.944,-89.777,0.262
3,4.286E-4,170.052,0.000,207.644,-1.115,0.419
4,2.663E-4,164.190,0.000,210.361,-1.348,0.260
5,0.142,164.526,0.000,223.000,0.000,0.000
6,0.055,154.459,0.000,223.000,0.000,0.000
7,3.235E-4,146.261,0.155,205.112,-89.261,0.316
8,2.413E-4,145.003,0.000,208.333,-89.504,0.236
9,3.880E-4,156.942,0.333,200.549,0.154,0.379
10,2.601E-4,150.343,0.046,200.762,0.460,0.254
11,0.109,160.498,0.000,226.000,0.000,0.000
12,0.044,153.474,0.000,226.000,0.000,0.000
13,3.974E-4,164.365,0.488,212.932,-88.647,0.389
14,3.017E-4,163.814,99.863,203.156,-89.207,0.295
15,4.327E-4,157.416,0.046,206.293,-0.828,0.423
16,2.465E-4,160.703,0.496,197.559,-1.214,0.241
17,0.117,164.184,0.000,221.000,0.000,0.000
18,0.056,162.864,0.000,221.000,0.000,0.000
19,4.640E-4,138.766,0.869,196.134,-92.965,0.453
20,2.549E-4,125.725,0.277,178.442,-93.767,0.248
21,4.587E-4,139.795,0.333,180.383,-2.473,0.449
22,2.632E-4,133.977,0.333,184.464,-2.045,0.257
23,0.144,152.605,0.000,202.000,0.000,0.000
24,0.048,142.112,0.000,196.000,0.000,0.000
25,3.943E-4,163.462,115.642,195.019,-88.788,0.386
26,2.330E-4,143.988,0.697,188.858,-87.945,0.228
27,4.171E-4,147.893,2.658,192.357,-3.013,0.408
28,2.216E-4,139.229,4.629,191.888,-2.431,0.216
29,0.112,162.137,0.000,214.000,0.000,0.000
30,0.037,158.938,0.000,206.000,0.000,0.000
