 ,Area,Mean,Min,Max,Angle,Length
1,5.374E-4,152.554,4.667,215.189,-89.331,0.525
2,3.558E-4,149.125,0.914,218.643,-90.674,0.347
3,3.965E-4,143.942,0.333,228.556,2.568,0.388
4,2.870E-4,150.227,0.333,228.388,2.299,0.280
5,0.185,143.147,0.000,237.000,0.000,0.000
6,0.076,146.440,0.000,237.000,0.000,0.000
7,4.925E-4,139.626,0.518,230.230,-85.246,0.481
8,2.890E-4,124.335,0.130,184.036,-87.096,0.282
9,4.602E-4,132.306,1.000,189.900,1.432,0.450
10,2.880E-4,136.526,0.741,188.608,2.914,0.281
11,0.166,142.283,0.000,231.000,0.000,0.000
12,0.072,135.592,0.000,228.000,0.000,0.000
13,5.416E-4,141.586,0.965,202.242,-88.231,0.529
14,3.183E-4,122.414,1.000,207.816,-88.493,0.311
15,4.445E-4,134.733,0.296,225.820,1.078,0.434
16,2.901E-4,129.798,0.333,229.789,0.827,0.283
17,0.185,140.696,0.000,230.000,0.000,0.000
18,0.071,134.411,0.000,230.000,0.000,0.000
19,5.155E-4,134.250,0.524,212.235,-87.561,0.504
20,3.245E-4,108.973,0.198,208.849,-88.522,0.317
21,4.790E-4,155.025,0.459,216.185,0.876,0.468
22,3.068E-4,139.387,0.741,203.053,0.978,0.299
23,0.159,149.726,0.000,232.000,0.000,0.000
24,0.070,140.818,0.000,228.000,0.000,0.000
25,6.271E-4,138.044,0.422,199.986,-89.523,0.613
26,3.798E-4,135.470,0.322,198.333,-88.580,0.371
27,3.569E-4,146.195,2.559,207.704,2.351,0.349
28,2.630E-4,127.087,0.287,196.491,2.509,0.257
29,0.180,154.171,0.000,236.000,0.000,0.000
30,0.074,143.100,0.000,236.000,0.000,0.000
