 ,Area,Mean,Min,Max,Angle,Length
1,4.512E-4,144.969,50.517,198.333,-88.859,0.476
2,2.781E-4,119.528,89.922,158.016,-89.444,0.293
3,4.826E-4,156.050,1.155,207.862,-2.670,0.508
4,2.602E-4,128.443,0.667,198.871,-0.595,0.274
5,0.177,167.004,0.000,229.000,0.000,0.000
6,0.061,137.577,0.000,229.000,0.000,0.000
7,5.490E-4,153.241,0.270,207.032,-90.563,0.579
8,2.862E-4,129.135,0.000,202.494,-89.459,0.301
9,4.692E-4,150.712,0.778,209.000,0.768,0.494
10,2.593E-4,107.553,0.000,189.417,-0.597,0.273
11,0.212,168.157,0.000,237.000,0.000,0.000
12,0.063,135.658,0.000,234.000,0.000,0.000
13,5.060E-4,146.906,0.491,206.593,-89.593,0.533
14,2.628E-4,117.935,71.712,184.333,-88.823,0.277
15,4.432E-4,135.189,0.866,209.667,-0.349,0.467
16,2.772E-4,125.571,78.000,184.667,0.000,0.292
17,0.160,161.310,0.000,243.000,0.000,0.000
18,0.055,126.721,0.000,237.000,0.000,0.000
19,3.543E-4,156.966,0.431,217.333,-89.418,0.373
20,2.261E-4,138.487,99.385,178.874,-89.772,0.238
21,3.983E-4,141.160,0.527,190.000,-0.647,0.420
22,2.476E-4,118.913,0.333,180.287,-0.833,0.260
23,0.127,160.663,0.000,228.000,0.000,0.000
24,0.046,135.526,0.000,228.000,0.000,0.000
25,4.728E-4,127.601,0.000,184.830,-89.129,0.498
26,2.790E-4,104.063,0.333,165.628,-89.261,0.294
27,3.857E-4,146.485,83.103,195.051,-1.469,0.406
28,2.306E-4,127.282,87.521,186.479,-0.895,0.242
29,0.146,153.346,0.000,233.000,0.000,0.000
30,0.054,123.953,0.000,227.000,0.000,0.000
