 ,Area,Mean,Min,Max,Angle,Length
1,4.769E-4,182.112,15.362,230.951,-89.889,0.497
2,2.692E-4,176.511,111.210,231.785,-91.569,0.280
3,6.064E-4,180.672,0.705,226.297,-0.696,0.632
4,3.096E-4,177.772,0.333,225.667,0.682,0.322
5,0.264,172.128,0.000,246.000,0.000,0.000
6,0.074,174.680,0.000,244.000,0.000,0.000
7,4.860E-4,176.816,88.875,222.364,-90.977,0.506
8,2.692E-4,153.564,85.011,234.042,-91.373,0.280
9,3.914E-4,179.601,0.540,231.420,-0.809,0.407
10,2.407E-4,185.279,1.333,215.667,0.000,0.250
11,0.170,172.683,0.000,242.000,0.000,0.000
12,0.056,158.782,0.000,242.000,0.000,0.000
13,4.006E-4,148.051,97.064,202.393,-89.473,0.417
14,2.720E-4,151.439,0.000,216.000,-90.000,0.283
15,5.889E-4,173.697,99.280,217.472,-2.058,0.614
16,3.014E-4,153.997,0.888,221.198,-0.175,0.313
17,0.211,167.012,0.000,237.000,0.000,0.000
18,0.071,162.275,0.000,237.000,0.000,0.000
19,4.392E-4,155.949,0.333,237.196,-90.120,0.457
20,2.462E-4,128.850,0.270,221.004,-90.644,0.256
21,6.000E-4,177.865,0.611,234.333,178.067,0.625
22,2.646E-4,167.172,1.000,230.672,0.798,0.275
23,0.229,160.542,0.000,239.000,0.000,0.000
24,0.061,152.157,0.000,239.000,0.000,0.000
25,4.879E-4,169.412,0.447,241.842,-89.784,0.508
26,2.830E-4,155.379,0.191,223.588,-89.440,0.294
27,4.383E-4,176.871,4.721,231.071,0.361,0.456
28,2.811E-4,169.089,1.392,216.784,2.253,0.293
29,0.196,171.009,0.000,244.000,0.000,0.000
30,0.071,170.325,0.000,244.000,0.000,0.000
