"","Sample_ID","MEASUREMENT","value","Depth","Act_Depth","Species","Colony_Number","Site"
"1","15OFA1AT","CA",0.0444,15,15,"OFAV",1,"Turrumote"
"2","15OFA1AT","CH",0.2344,15,15,"OFAV",1,"Turrumote"
"3","15OFA1AT","H",0.3124,15,15,"OFAV",1,"Turrumote"
"4","15OFA1AT","A",0.0826,15,15,"OFAV",1,"Turrumote"
"5","15OFA1AT","W",0.3334,15,15,"OFAV",1,"Turrumote"
"6","15OFA1AT","CW",0.2402,15,15,"OFAV",1,"Turrumote"
"7","15OFA1ML","CA",0.0596,15,23,"OFAV",1,"Media Luna"
"8","15OFA1ML","CH",0.2706,15,23,"OFAV",1,"Media Luna"
"9","15OFA1ML","A",0.1254,15,23,"OFAV",1,"Media Luna"
"10","15OFA1ML","W",0.4154,15,23,"OFAV",1,"Media Luna"
"11","15OFA1ML","H",0.3816,15,23,"OFAV",1,"Media Luna"
"12","15OFA1ML","CW",0.2894,15,23,"OFAV",1,"Media Luna"
"13","15OFA2ML","CA",0.048,15,21,"OFAV",2,"Media Luna"
"14","15OFA2ML","CW",0.2392,15,21,"OFAV",2,"Media Luna"
"15","15OFA2ML","W",0.3574,15,21,"OFAV",2,"Media Luna"
"16","15OFA2ML","A",0.1154,15,21,"OFAV",2,"Media Luna"
"17","15OFA2ML","CH",0.2752,15,21,"OFAV",2,"Media Luna"
"18","15OFA2ML","H",0.41,15,21,"OFAV",2,"Media Luna"
"19","15OFA3ML","A",0.1398,15,22,"OFAV",3,"Media Luna"
"20","15OFA3ML","W",0.406,15,22,"OFAV",3,"Media Luna"
"21","15OFA3ML","CW",0.2554,15,22,"OFAV",3,"Media Luna"
"22","15OFA3ML","CA",0.0516,15,22,"OFAV",3,"Media Luna"
"23","15OFA3ML","CH",0.2628,15,22,"OFAV",3,"Media Luna"
"24","15OFA3ML","H",0.418,15,22,"OFAV",3,"Media Luna"
"25","15OFA3T","W",0.4072,15,15,"OFAV",3,"Turrumote"
"26","15OFA3T","CW",0.237,15,15,"OFAV",3,"Turrumote"
"27","15OFA3T","CA",0.0436,15,15,"OFAV",3,"Turrumote"
"28","15OFA3T","CH",0.2548,15,15,"OFAV",3,"Turrumote"
"29","15OFA3T","H",0.3956,15,15,"OFAV",3,"Turrumote"
"30","15OFA3T","A",0.117,15,15,"OFAV",3,"Turrumote"
"31","15OFA4ML","H",0.4386,15,24,"OFAV",4,"Media Luna"
"32","15OFA4ML","W",0.3144,15,24,"OFAV",4,"Media Luna"
"33","15OFA4ML","A",0.1204,15,24,"OFAV",4,"Media Luna"
"34","15OFA4ML","CA",0.0536,15,24,"OFAV",4,"Media Luna"
"35","15OFA4ML","CH",0.2974,15,24,"OFAV",4,"Media Luna"
"36","15OFA4ML","CW",0.2362,15,24,"OFAV",4,"Media Luna"
"37","15OFA4T","W",0.3426,15,15,"OFAV",4,"Turrumote"
"38","15OFA4T","A",0.1282,15,15,"OFAV",4,"Turrumote"
"39","15OFA4T","CA",0.0466,15,15,"OFAV",4,"Turrumote"
"40","15OFA4T","CH",0.2576,15,15,"OFAV",4,"Turrumote"
"41","15OFA4T","CW",0.2294,15,15,"OFAV",4,"Turrumote"
"42","15OFA4T","H",0.472,15,15,"OFAV",4,"Turrumote"
"43","15OFA5ML","W",0.3524,15,24,"OFAV",5,"Media Luna"
"44","15OFA5ML","CW",0.2114,15,24,"OFAV",5,"Media Luna"
"45","15OFA5ML","H",0.3736,15,24,"OFAV",5,"Media Luna"
"46","15OFA5ML","A",0.11,15,24,"OFAV",5,"Media Luna"
"47","15OFA5ML","CA",0.0384,15,24,"OFAV",5,"Media Luna"
"48","15OFA5ML","CH",0.2258,15,24,"OFAV",5,"Media Luna"
"49","15OFA5T","CW",0.238,15,15,"OFAV",5,"Turrumote"
"50","15OFA5T","H",0.444,15,15,"OFAV",5,"Turrumote"
"51","15OFA5T","W",0.3882,15,15,"OFAV",5,"Turrumote"
"52","15OFA5T","CA",0.0498,15,15,"OFAV",5,"Turrumote"
"53","15OFA5T","CH",0.2706,15,15,"OFAV",5,"Turrumote"
"54","15OFA5T","A",0.1288,15,15,"OFAV",5,"Turrumote"
"55","15OFA6ML","CA",0.0418,15,20,"OFAV",6,"Media Luna"
"56","15OFA6ML","W",0.363,15,20,"OFAV",6,"Media Luna"
"57","15OFA6ML","CW",0.2406,15,20,"OFAV",6,"Media Luna"
"58","15OFA6ML","CH",0.2284,15,20,"OFAV",6,"Media Luna"
"59","15OFA6ML","H",0.3572,15,20,"OFAV",6,"Media Luna"
"60","15OFA6ML","A",0.1004,15,20,"OFAV",6,"Media Luna"
"61","15OFR1ML","W",0.4558,15,25,"OFRA",1,"Media Luna"
"62","15OFR1ML","H",0.442,15,25,"OFRA",1,"Media Luna"
"63","15OFR1ML","CA",0.0464,15,25,"OFRA",1,"Media Luna"
"64","15OFR1ML","CW",0.2602,15,25,"OFRA",1,"Media Luna"
"65","15OFR1ML","CH",0.2446,15,25,"OFRA",1,"Media Luna"
"66","15OFR1ML","A",0.1518,15,25,"OFRA",1,"Media Luna"
"67","15OFR1T","W",0.4584,15,15,"OFRA",1,"Turrumote"
"68","15OFR1T","CA",0.0602,15,15,"OFRA",1,"Turrumote"
"69","15OFR1T","H",0.3616,15,15,"OFRA",1,"Turrumote"
"70","15OFR1T","CW",0.3006,15,15,"OFRA",1,"Turrumote"
"71","15OFR1T","CH",0.2566,15,15,"OFRA",1,"Turrumote"
"72","15OFR1T","A",0.1316,15,15,"OFRA",1,"Turrumote"
"73","15OFR2ML","H",0.3898,15,25,"OFRA",2,"Media Luna"
"74","15OFR2ML","CW",0.2278,15,25,"OFRA",2,"Media Luna"
"75","15OFR2ML","CH",0.202,15,25,"OFRA",2,"Media Luna"
"76","15OFR2ML","W",0.394,15,25,"OFRA",2,"Media Luna"
"77","15OFR2ML","CA",0.0336,15,25,"OFRA",2,"Media Luna"
"78","15OFR2ML","A",0.116,15,25,"OFRA",2,"Media Luna"
"79","15OFR2T","CA",0.0396,15,18,"OFRA",2,"Turrumote"
"80","15OFR2T","CH",0.229,15,18,"OFRA",2,"Turrumote"
"81","15OFR2T","W",0.366,15,18,"OFRA",2,"Turrumote"
"82","15OFR2T","CW",0.2142,15,18,"OFRA",2,"Turrumote"
"83","15OFR2T","A",0.1094,15,18,"OFRA",2,"Turrumote"
"84","15OFR2T","H",0.4096,15,18,"OFRA",2,"Turrumote"
"85","15OFR3ML","W",0.3258,15,25,"OFRA",3,"Media Luna"
"86","15OFR3ML","H",0.3776,15,25,"OFRA",3,"Media Luna"
"87","15OFR3ML","CW",0.2154,15,25,"OFRA",3,"Media Luna"
"88","15OFR3ML","CH",0.2368,15,25,"OFRA",3,"Media Luna"
