"Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"15OFA1AT",0.0003291,137.343,0.188,225.396,-88.926,0.324,"C1","H"
"15OFA1AT",0.0002543,155.027,1,204.333,0,0.25,"C2","CW"
"15OFA1AT",0.088,169.378,0,224,0,0,"C2","A"
"15OFA1AT",0.044,152.575,0,213,0,0,"C2","CA"
"15OFA1AT",0.0003086,162.994,120.862,213.333,-89.618,0.304,"C3","H"
"15OFA1AT",0.0002481,156.05,115.05,203,-90.238,0.244,"C3","CH"
"15OFA1AT",0.0003322,171.972,1.67,216.211,-0.177,0.327,"C3","W"
"15OFA1AT",0.0002492,156.66,1.471,211.89,0.71,0.245,"C3","CW"
"15OFA1AT",0.086,173.555,0,231,0,0,"C3","A"
"15OFA1AT",0.046,151.685,0,222,0,0,"C3","CA"
"15OFA1AT",0.0003107,154.08,0.83,208.542,-88.293,0.306,"C4","H"
"15OFA1AT",0.0002092,111.269,2.095,208.437,-89.153,0.206,"C1","CH"
"15OFA1AT",0.000244,141.425,0.93,201,-89.517,0.24,"C4","CH"
"15OFA1AT",0.0003599,169.626,0.655,212.785,-0.327,0.354,"C4","W"
"15OFA1AT",0.0002594,151.028,0.333,207.667,0,0.255,"C4","CW"
"15OFA1AT",0.086,177.404,0,233,0,0,"C4","A"
"15OFA1AT",0.049,158.578,0,223,0,0,"C4","CA"
"15OFA1AT",0.0003445,131.308,0.52,207.443,-89.316,0.339,"C5","H"
"15OFA1AT",0.0002563,111.005,0.851,164.249,-89.54,0.252,"C5","CH"
"15OFA1AT",0.0003097,159.059,0.69,211,1.142,0.305,"C5","W"
"15OFA1AT",0.0002348,146.232,1.947,197.333,1.005,0.231,"C5","CW"
"15OFA1AT",0.078,161.349,0,224,0,0,"C5","A"
"15OFA1AT",0.0003168,157,1,207.097,0.558,0.312,"C1","W"
"15OFA1AT",0.046,142.272,0,223,0,0,"C5","CA"
"15OFA1AT",0.0002235,141.537,0.911,191.18,-0.264,0.22,"C1","CW"
"15OFA1AT",0.075,173.957,0,234,0,0,"C1","A"
"15OFA1AT",0.037,156.184,0,234,0,0,"C1","CA"
"15OFA1AT",0.0002933,152.579,0.333,204.667,-87.79,0.289,"C2","H"
"15OFA1AT",0.0002338,145.862,0.333,203.667,-87.73,0.23,"C2","CH"
"15OFA1AT",0.0003743,165.814,1.486,208,0.157,0.369,"C2","W"
"15OFA3T",0.0004049,153.791,4.923,189.725,-93.104,0.432,"C1","H"
"15OFA3T",0.0002317,131.5,1.086,173.343,-1.519,0.247,"C2","CW"
"15OFA3T",0.116,128.991,0,187,0,0,"C2","A"
"15OFA3T",0.043,126.279,0,187,0,0,"C2","CA"
"15OFA3T",0.0003743,142.384,0.333,177.432,-89.732,0.399,"C3","H"
"15OFA3T",0.0002387,109.493,0.333,176.333,-91.053,0.254,"C3","CH"
"15OFA3T",0.0003848,144.431,108.715,173.316,-1.435,0.411,"C3","W"
"15OFA3T",0.0002204,136.965,86.232,171.669,-0.685,0.235,"C3","CW"
"15OFA3T",0.109,144.893,0,209,0,0,"C3","A"
"15OFA3T",0.041,136.068,0,209,0,0,"C3","CA"
"15OFA3T",0.0003848,134.382,93.434,197.333,-88.826,0.411,"C4","H"
"15OFA3T",0.0002694,144.664,6.026,182.657,-94.112,0.287,"C1","CH"
"15OFA3T",0.0002501,129.983,93.06,172.018,-88.794,0.267,"C4","CH"
"15OFA3T",0.0003962,147.49,0.333,190.13,0.507,0.423,"C4","W"
"15OFA3T",0.0002038,144.106,3.023,187.836,1.481,0.217,"C4","CW"
"15OFA3T",0.117,149.2,0,201,0,0,"C4","A"
"15OFA3T",0.043,140.454,0,197,0,0,"C4","CA"
