colony_id,box_size,calices,D
45MC1ML,5.322,3,0.564
55MC5ML,6.181,4,0.647
45MC5T,2.565,2,0.78
30MC4ML,4.946,4,0.809
45MC3T,4.595,4,0.871
55MC5T,4.344,4,0.921
55MC2ML,4.248,4,0.942
45MC1T,7.045,7,0.994
15MC1T,11.918,13,1.091
55MC4ML,1.68,2,1.19
30MC2ML,7.233,9,1.244
55MC4T,3.112,4,1.285
45MC4ML,1.46,2,1.37
30MC4T,6.551,9,1.374
45MC2T,3.564,5,1.403
55MC1ML,3.389,5,1.475
30MC3ML,2.689,4,1.488
30MC5T,6.039,9,1.49
55MC2T,5.765,9,1.561
30MC2T,3.121,5,1.602
45MC3ML,6.107,10,1.637
15MC3T,1.822,3,1.647
15MC2T,6.61,11,1.664
45MC4T,3.568,6,1.682
45MC5ML,5.288,9,1.702
55MC3ML,6.374,11,1.726
15MC4ML,6.15,11,1.789
55MC3T,4.378,8,1.827
15MC3ML,3.777,7,1.853
30MC5ML,2.567,5,1.948
55MC1T,3.408,7,2.054
30MC1T,3.395,7,2.062
30MC1ML,2.839,6,2.113
15MC5ML,3.598,8,2.223
15MC5T,2.202,5,2.271
45MC2ML,2.164,5,2.311
15MC4T,3.445,8,2.322
15MC2ML,1.154,3,2.6
15MC1ML,3.642,10,2.746
30AA1ML,13.741,41,2.984
55AA4T,2.124,7,3.296
30MC3T,1.779,6,3.373
45OFR2ML,1.744,7,4.014
55OFA4T,2.358,10,4.241
55OFA3T,2.113,10,4.733
45OFA5T,2.708,13,4.801
45OFA2T,2.911,14,4.809
30OFR5T,2.626,13,4.95
45OFR7T,1.977,10,5.058
55OFR4T,1.971,10,5.074
15OFR5T,2.165,11,5.081
45OFR3T,1.35,7,5.185
30OFA2T,1.906,10,5.247
45OFR5T,1.138,6,5.272
45OFA6T,2.834,15,5.293
45OFA1T,2.059,11,5.342
55OFR1ML,2.239,12,5.36
45OFR2T,2.237,12,5.364
55OFR2ML,2.219,12,5.408
55AA3T,2.202,12,5.45
45OFR5ML,1.463,8,5.468
45OFA3T,3.463,19,5.487
45OFR3ML,1.822,10,5.488
30OFR5ML,1.073,6,5.592
45OFR1ML,2.666,15,5.626
55OFR2T,1.576,9,5.711
45OFA3ML,2.684,16,5.961
55OFA2ML,3.174,19,5.986
55OFR3T,3.109,19,6.111
45OFA2ML,1.468,9,6.131
55AA5ML,4.218,26,6.164
