 ,Area,Mean,Min,Max,Angle,Length
1,3.324E-4,195.027,3.749,225.292,-89.548,0.355
2,2.138E-4,128.681,0.481,215.658,-89.765,0.228
3,3.499E-4,171.337,0.000,215.667,0.859,0.374
4,2.190E-4,160.011,0.000,207.992,0.229,0.234
5,0.111,193.055,0.000,229.000,0.000,0.000
6,0.040,172.555,0.000,227.000,0.000,0.000
7,3.385E-4,174.360,0.000,224.956,-89.408,0.362
8,2.059E-4,144.511,0.333,203.667,-90.244,0.220
9,3.298E-4,171.260,0.563,211.333,1.975,0.352
10,2.007E-4,157.304,0.584,195.000,1.251,0.214
11,0.106,189.618,0.000,236.000,0.000,0.000
12,0.040,162.164,0.000,214.000,0.000,0.000
13,3.516E-4,171.088,0.052,227.192,-88.433,0.376
14,2.138E-4,141.255,0.115,220.852,-88.122,0.228
15,3.228E-4,181.564,0.333,219.667,0.466,0.345
16,2.007E-4,142.136,0.000,212.333,0.000,0.214
17,0.115,194.586,0.000,242.000,0.000,0.000
18,0.039,165.336,0.000,229.000,0.000,0.000
19,4.092E-4,161.877,0.333,213.590,-89.265,0.437
20,2.286E-4,155.468,0.667,181.667,-90.000,0.244
21,3.220E-4,180.330,0.000,210.333,1.868,0.344
22,1.893E-4,159.440,0.333,203.333,1.061,0.202
23,0.120,191.230,0.000,241.000,0.000,0.000
24,0.043,166.770,0.000,219.000,0.000,0.000
25,3.167E-4,164.100,0.488,217.256,-88.734,0.338
26,1.963E-4,150.267,0.045,208.836,-88.466,0.209
27,3.246E-4,179.184,0.504,207.667,-0.463,0.347
28,1.815E-4,137.821,0.000,195.333,0.000,0.193
29,0.098,184.960,0.000,224.000,0.000,0.000
30,0.030,165.896,0.000,217.000,0.000,0.000
