 ,Area,Mean,Min,Max,Angle,Length
1,6.276E-4,160.821,4.657,210.732,-90.469,0.619
2,3.620E-4,155.671,112.667,200.523,-90.651,0.356
3,4.881E-4,153.815,0.333,203.905,-2.411,0.481
4,3.446E-4,143.916,0.333,200.667,-2.564,0.340
5,0.230,174.157,0.000,233.000,0.000,0.000
6,0.095,150.683,0.000,233.000,0.000,0.000
7,6.071E-4,136.981,0.532,203.059,-93.105,0.598
8,3.784E-4,116.589,0.000,173.933,-91.401,0.373
9,4.020E-4,155.713,97.000,195.971,-0.440,0.396
10,2.994E-4,141.403,90.186,209.110,-0.984,0.295
11,0.196,165.068,0.000,248.000,0.000,0.000
12,0.090,142.092,0.000,248.000,0.000,0.000
13,5.968E-4,149.259,87.854,202.987,-89.014,0.588
14,3.876E-4,128.630,1.100,186.166,-89.544,0.382
15,4.451E-4,158.796,0.333,202.001,-0.794,0.439
16,3.138E-4,140.881,2.213,193.207,-0.751,0.309
17,0.182,165.113,0.000,221.000,0.000,0.000
18,0.091,148.197,0.000,221.000,0.000,0.000
19,5.866E-4,136.428,1.785,201.333,-88.896,0.578
20,3.999E-4,100.679,1.000,156.577,-89.264,0.394
21,3.805E-4,138.799,0.216,203.369,0.774,0.375
22,3.046E-4,141.244,0.333,189.135,0.774,0.300
23,0.156,152.879,0.000,221.000,0.000,0.000
24,0.091,133.388,0.000,202.000,0.000,0.000
25,5.927E-4,139.141,1.000,195.000,-90.000,0.584
26,3.846E-4,123.606,0.333,180.684,-90.306,0.379
27,3.415E-4,148.255,0.462,203.333,-0.690,0.336
28,2.728E-4,131.356,0.244,190.667,-0.649,0.268
29,0.152,156.515,0.000,215.000,0.000,0.000
30,0.080,134.441,0.000,196.000,0.000,0.000
