 ,Area,Mean,Min,Max,Angle,Length
1,3.012E-4,159.987,93.977,218.333,-89.836,0.324
2,1.742E-4,149.969,87.333,200.667,-90.000,0.187
3,4.025E-4,155.649,95.769,225.120,-2.447,0.434
4,2.094E-4,131.508,75.995,199.667,-1.886,0.225
5,0.105,168.813,0.000,244.000,0.000,0.000
6,0.032,138.711,0.000,224.000,0.000,0.000
7,3.725E-4,166.663,97.333,226.980,-89.074,0.401
8,1.948E-4,133.192,0.139,229.339,-89.239,0.209
9,3.424E-4,157.251,0.333,222.667,0.288,0.369
10,2.274E-4,144.631,0.667,198.667,0.000,0.245
11,0.120,172.602,0.000,242.000,0.000,0.000
12,0.035,150.047,0.000,235.000,0.000,0.000
13,4.231E-4,157.359,1.146,221.667,-90.116,0.456
14,2.111E-4,135.176,1.000,204.333,-90.000,0.227
15,3.236E-4,151.396,3.520,217.603,1.067,0.348
16,2.008E-4,136.701,0.381,204.282,1.475,0.216
17,0.120,168.940,0.000,231.000,0.000,0.000
18,0.034,142.483,0.000,226.000,0.000,0.000
19,3.716E-4,144.934,0.549,212.281,-86.945,0.400
20,1.854E-4,105.085,0.050,214.417,-87.603,0.199
21,3.407E-4,137.160,0.000,180.000,0.000,0.367
22,2.034E-4,114.852,0.333,161.000,0.000,0.219
23,0.105,165.640,0.000,232.000,0.000,0.000
24,0.032,134.460,0.000,214.000,0.000,0.000
25,3.416E-4,165.674,0.856,231.008,-88.557,0.368
26,1.751E-4,165.239,55.115,189.333,-88.871,0.188
27,4.197E-4,178.779,0.772,224.667,0.822,0.452
28,2.180E-4,157.366,1.930,224.988,-0.226,0.234
29,0.130,170.807,0.000,237.000,0.000,0.000
30,0.035,155.518,0.000,233.000,0.000,0.000
