 ,Area,Mean,Min,Max,Angle,Length
1,4.237E-4,156.120,100.696,207.210,-89.755,0.444
2,2.598E-4,145.991,101.667,204.000,-90.000,0.272
3,3.929E-4,172.676,96.210,215.857,-0.529,0.412
4,2.354E-4,159.224,94.000,212.734,-0.442,0.246
5,0.141,172.697,0.000,228.000,0.000,0.000
6,0.054,159.389,0.000,224.000,0.000,0.000
7,4.672E-4,156.429,97.311,218.195,-88.999,0.490
8,2.960E-4,132.478,0.787,211.173,-89.121,0.310
9,4.056E-4,150.753,2.245,195.501,-0.513,0.425
10,2.734E-4,147.240,2.667,201.667,0.000,0.286
11,0.156,168.113,0.000,228.000,0.000,0.000
12,0.064,144.456,0.000,218.000,0.000,0.000
13,4.518E-4,133.244,81.715,200.189,-89.310,0.474
14,3.504E-4,119.132,77.644,169.000,-89.555,0.367
15,4.572E-4,154.517,92.780,201.000,0.341,0.480
16,3.422E-4,150.539,92.664,204.474,0.456,0.359
17,0.165,160.531,0.000,221.000,0.000,0.000
18,0.090,146.883,0.000,218.000,0.000,0.000
19,3.703E-4,155.487,1.333,204.667,-90.000,0.388
20,2.743E-4,143.660,1.667,199.667,-90.000,0.287
21,4.563E-4,161.758,1.492,206.483,3.079,0.478
22,3.078E-4,155.044,0.918,203.839,3.217,0.322
23,0.143,162.381,0.000,223.000,0.000,0.000
24,0.071,153.273,0.000,223.000,0.000,0.000
25,4.644E-4,139.357,89.667,197.667,-92.125,0.488
26,3.214E-4,128.198,91.073,180.951,-92.103,0.337
27,4.500E-4,138.088,0.091,200.110,-0.462,0.472
28,3.051E-4,131.590,0.333,195.000,0.000,0.320
29,0.156,150.838,0.000,225.000,0.000,0.000
30,0.072,131.698,0.000,196.000,0.000,0.000
