 ,Area,Mean,Min,Max,Angle,Length
1,3.673E-4,176.859,4.867,210.978,-89.576,0.385
2,2.560E-4,153.878,1.246,203.593,-89.594,0.268
3,4.505E-4,173.797,0.333,215.911,1.844,0.473
4,2.687E-4,162.009,0.667,208.497,2.128,0.282
5,0.153,185.460,0.000,226.000,0.000,0.000
6,0.060,169.510,0.000,223.000,0.000,0.000
7,4.089E-4,164.260,0.333,211.067,89.365,0.429
8,2.424E-4,130.036,0.172,203.966,-90.644,0.254
9,4.360E-4,174.936,0.333,228.145,-0.119,0.457
10,2.723E-4,170.299,0.667,230.600,-0.191,0.285
11,0.154,183.121,0.000,232.000,0.000,0.000
12,0.049,164.466,0.000,232.000,0.000,0.000
13,4.261E-4,154.830,0.333,217.167,-90.610,0.447
14,2.433E-4,137.276,1.067,208.294,-89.572,0.255
15,4.043E-4,164.523,1.450,204.000,-1.541,0.424
16,2.524E-4,142.417,0.333,214.024,1.030,0.264
17,0.150,178.103,0.000,224.000,0.000,0.000
18,0.047,153.308,0.000,220.000,0.000,0.000
19,3.582E-4,168.879,2.392,203.933,-86.080,0.376
20,2.316E-4,159.332,98.745,199.616,-87.082,0.243
21,4.134E-4,145.936,0.727,196.754,3.270,0.433
22,2.587E-4,135.590,0.413,193.667,3.426,0.271
23,0.139,167.549,0.000,228.000,0.000,0.000
24,0.049,150.138,0.000,209.000,0.000,0.000
25,3.474E-4,161.797,0.407,200.958,-87.907,0.365
26,1.854E-4,133.646,0.020,194.275,-88.315,0.194
27,3.465E-4,158.587,2.128,194.305,1.649,0.363
28,1.900E-4,122.030,1.070,183.177,1.918,0.199
29,0.100,170.619,0.000,230.000,0.000,0.000
30,0.030,150.256,0.000,230.000,0.000,0.000
