 ,Area,Mean,Min,Max,Angle,Length
1,4.236E-4,196.367,2.586,230.476,-91.305,0.409
2,2.910E-4,122.065,0.000,224.070,-90.423,0.280
3,5.274E-4,190.999,0.333,225.000,-0.699,0.509
4,3.627E-4,185.770,0.333,226.667,-0.678,0.350
5,0.153,200.112,0.000,245.000,0.000,0.000
6,0.068,182.280,0.000,241.000,0.000,0.000
7,4.921E-4,173.984,0.333,218.287,-90.250,0.475
8,2.899E-4,169.841,0.333,228.486,-90.424,0.279
9,3.680E-4,182.906,0.878,234.333,1.169,0.355
10,2.525E-4,188.799,1.000,231.000,0.000,0.243
11,0.154,193.194,0.000,245.000,0.000,0.000
12,0.058,174.806,0.000,236.000,0.000,0.000
13,5.103E-4,170.768,0.475,219.848,-86.867,0.492
14,3.081E-4,159.218,0.000,221.472,-87.406,0.297
15,3.530E-4,189.472,0.312,222.836,0.174,0.340
16,2.461E-4,175.507,0.779,216.613,-0.751,0.237
17,0.142,187.251,0.000,237.000,0.000,0.000
18,0.055,173.451,0.000,232.000,0.000,0.000
19,4.942E-4,195.287,0.751,226.617,-90.994,0.477
20,2.824E-4,176.610,0.243,225.000,-90.436,0.272
21,4.215E-4,174.065,0.567,222.832,-0.437,0.406
22,2.696E-4,158.653,0.667,211.826,-0.457,0.260
23,0.154,190.972,0.000,234.000,0.000,0.000
24,0.055,174.885,0.000,228.000,0.000,0.000
25,5.370E-4,183.243,0.118,226.859,-90.800,0.518
26,3.188E-4,162.042,0.110,218.671,-90.386,0.307
27,3.488E-4,182.357,3.787,213.333,-0.529,0.336
28,2.589E-4,154.487,0.838,212.429,-0.238,0.249
29,0.155,188.829,0.000,232.000,0.000,0.000
30,0.059,171.984,0.000,226.000,0.000,0.000
