 ,Area,Mean,Min,Max,Angle,Length
1,3.873E-4,144.472,99.257,188.101,-86.080,0.391
2,2.543E-4,110.169,0.667,185.333,-86.906,0.256
3,4.391E-4,145.710,1.149,184.552,2.946,0.443
4,2.699E-4,129.778,0.573,179.333,2.291,0.272
5,0.141,150.650,0.000,212.000,0.000,0.000
6,0.057,149.105,0.000,212.000,0.000,0.000
7,4.792E-4,142.021,0.333,192.227,-89.297,0.484
8,2.601E-4,133.304,0.333,187.751,-89.351,0.262
9,4.283E-4,150.713,1.640,196.180,0.131,0.432
10,2.670E-4,145.728,2.333,187.025,1.264,0.269
11,0.162,158.847,0.000,222.000,0.000,0.000
12,0.057,156.139,0.000,222.000,0.000,0.000
13,3.882E-4,149.781,0.729,210.866,-86.668,0.391
14,2.552E-4,128.268,0.000,204.000,-87.357,0.257
15,4.342E-4,156.445,1.311,193.333,1.552,0.438
16,2.572E-4,153.626,1.789,192.949,1.967,0.259
17,0.135,151.206,0.000,234.000,0.000,0.000
18,0.054,148.836,0.000,234.000,0.000,0.000
19,4.665E-4,116.810,0.000,177.965,-87.714,0.471
20,2.914E-4,122.809,0.333,183.605,-87.879,0.294
21,4.127E-4,148.847,89.991,190.108,-0.272,0.416
22,2.650E-4,136.140,94.356,193.548,-0.424,0.267
23,0.150,146.263,0.000,208.000,0.000,0.000
24,0.058,142.369,0.000,208.000,0.000,0.000
25,4.088E-4,140.050,1.892,192.758,-87.254,0.413
26,2.748E-4,134.684,1.917,185.948,-88.159,0.277
27,3.873E-4,150.098,0.333,189.667,0.000,0.391
28,2.816E-4,144.283,0.790,194.283,-0.200,0.284
29,0.131,151.168,0.000,209.000,0.000,0.000
30,0.058,151.547,0.000,209.000,0.000,0.000
