 ,Area,Mean,Min,Max,Angle,Length
1,3.414E-4,134.269,0.603,191.673,-89.846,0.355
2,2.202E-4,144.220,3.252,195.000,-89.760,0.229
3,3.542E-4,158.304,0.000,202.667,0.149,0.369
4,2.120E-4,148.139,0.000,197.875,0.747,0.220
5,0.079,159.871,0.000,211.000,0.000,0.000
6,0.037,140.135,0.000,200.000,0.000,0.000
7,3.662E-4,160.086,1.089,205.977,-92.158,0.382
8,2.111E-4,123.998,0.000,190.438,-91.001,0.219
9,3.239E-4,153.748,0.477,206.337,-2.115,0.337
10,1.982E-4,135.684,0.619,189.333,-0.533,0.206
11,0.100,178.976,0.000,218.000,0.000,0.000
12,0.038,153.961,0.000,211.000,0.000,0.000
13,3.515E-4,153.365,0.105,201.333,-91.200,0.366
14,2.101E-4,146.387,31.175,186.377,-91.507,0.218
15,3.707E-4,160.507,0.667,204.354,-1.279,0.386
16,2.349E-4,134.005,3.322,185.333,-0.225,0.244
17,0.107,174.758,0.000,216.000,0.000,0.000
18,0.043,149.533,0.000,209.000,0.000,0.000
19,3.423E-4,147.966,0.661,200.667,-89.230,0.356
20,2.258E-4,98.925,0.000,179.000,-90.000,0.235
21,3.386E-4,157.841,0.333,203.453,-2.800,0.353
22,2.147E-4,133.636,0.349,186.333,-0.246,0.223
23,0.088,164.994,0.000,209.000,0.000,0.000
24,0.039,138.244,0.000,200.000,0.000,0.000
25,3.928E-4,163.093,35.505,203.094,-91.744,0.409
26,2.404E-4,135.624,0.269,187.995,-90.878,0.250
27,3.836E-4,166.066,0.000,206.350,-0.962,0.400
28,2.166E-4,128.572,0.199,190.667,-0.731,0.225
29,0.108,176.132,0.000,213.000,0.000,0.000
30,0.041,147.854,0.000,206.000,0.000,0.000
