 ,Area,Mean,Min,Max,Angle,Length
1,0.001,97.530,6.781,221.333,-89.495,0.996
2,0.002,119.846,8.189,220.479,-88.907,1.610
3,0.001,82.925,10.333,187.000,0.000,0.697
4,0.002,113.516,9.333,226.379,-0.651,1.158
5,0.532,72.945,3.000,245.000,0.000,0.000
6,1.466,128.403,0.000,250.000,0.000,0.000
7,0.001,78.197,14.282,187.275,-88.888,0.904
8,0.002,106.716,9.359,198.367,-89.827,1.452
9,0.001,74.266,12.011,187.344,-0.313,0.803
10,0.002,101.067,7.614,210.832,-0.202,1.241
11,0.570,70.992,3.000,233.000,0.000,0.000
12,1.561,116.598,0.000,238.000,0.000,0.000
13,0.001,75.022,6.353,153.667,-91.668,0.904
14,0.002,89.709,0.000,207.744,-90.879,1.430
15,0.001,81.187,18.778,177.872,-1.469,0.684
16,0.001,97.551,17.438,172.449,-1.494,1.009
17,0.551,82.225,3.000,248.000,0.000,0.000
18,1.347,111.604,0.000,249.000,0.000,0.000
19,0.001,75.894,12.231,209.700,-89.726,0.917
20,0.002,103.936,0.000,215.667,-89.534,1.618
21,0.001,86.766,14.211,179.333,-0.703,0.715
22,0.002,104.130,6.823,226.694,-0.468,1.075
23,0.475,71.162,3.000,218.000,0.000,0.000
24,1.495,110.889,0.000,249.000,0.000,0.000
