 ,Area,Mean,Min,Max,Angle,Length
1,7.404E-4,79.639,4.175,174.347,-91.181,0.463
2,0.001,120.517,22.260,211.382,-90.331,0.826
3,8.621E-4,56.024,8.678,138.286,-3.039,0.541
4,0.002,97.780,1.684,191.640,-1.454,0.941
5,0.211,73.919,1.000,227.000,0.000,0.000
6,0.769,118.449,0.000,234.000,0.000,0.000
7,8.469E-4,97.600,3.333,177.333,-90.000,0.530
8,0.001,132.922,2.667,211.333,-90.000,0.908
9,0.001,50.905,0.333,227.333,0.000,0.674
10,0.002,82.198,0.000,227.093,0.688,1.194
11,0.265,81.453,0.000,247.000,0.000,0.000
12,0.846,130.911,0.000,248.000,0.000,0.000
13,8.240E-4,79.248,7.667,224.333,-90.000,0.516
14,0.001,111.102,6.349,212.667,-90.306,0.893
15,0.001,72.351,5.333,223.333,0.000,0.650
16,0.002,95.378,5.667,199.667,0.000,1.127
17,0.249,86.559,1.000,238.000,0.000,0.000
18,0.782,127.954,0.000,241.000,0.000,0.000
19,7.936E-4,106.443,30.894,200.333,-89.449,0.497
20,0.001,115.311,31.720,206.174,-89.648,0.779
21,0.001,102.814,11.275,211.000,-1.264,0.650
22,0.002,113.809,0.000,210.167,-0.468,1.170
23,0.260,102.574,2.000,245.000,0.000,0.000
24,0.723,123.393,0.000,246.000,0.000,0.000
25,8.621E-4,97.255,17.667,194.000,-90.000,0.540
26,0.001,114.180,10.667,176.571,-89.659,0.803
27,9.686E-4,82.707,17.194,228.247,-1.804,0.607
28,0.002,134.043,0.441,241.033,-2.458,1.114
29,0.229,84.809,1.000,244.000,0.000,0.000
30,0.670,125.507,0.000,245.000,0.000,0.000
