 ,Area,Mean,Min,Max,Angle,Length
1,3.804E-4,132.591,4.035,184.796,-90.884,0.384
2,3.062E-4,109.088,0.559,165.234,-91.647,0.309
3,4.174E-4,136.323,0.000,177.506,-0.268,0.422
4,2.818E-4,124.079,0.000,170.870,-0.796,0.284
5,0.137,138.945,0.000,202.000,0.000,0.000
6,0.065,132.179,0.000,201.000,0.000,0.000
7,4.272E-4,123.026,0.000,179.024,-90.131,0.432
8,2.877E-4,137.888,93.099,186.871,90.585,0.290
9,4.720E-4,135.991,0.333,185.520,1.897,0.477
10,2.731E-4,130.287,0.497,198.480,0.205,0.276
11,0.165,147.222,0.000,221.000,0.000,0.000
12,0.064,139.044,0.000,221.000,0.000,0.000
13,4.564E-4,120.289,1.409,185.749,-89.264,0.461
14,3.023E-4,127.725,0.333,180.926,-89.073,0.305
15,4.194E-4,125.786,0.422,178.500,-1.335,0.424
16,2.701E-4,117.252,0.877,172.362,-1.245,0.273
17,0.144,132.119,0.000,201.000,0.000,0.000
18,0.060,123.391,0.000,192.000,0.000,0.000
19,4.369E-4,148.244,1.060,203.931,-92.690,0.442
20,3.014E-4,91.852,0.316,172.463,-92.231,0.304
21,4.447E-4,131.522,0.333,192.333,-1.511,0.449
22,2.750E-4,122.782,0.796,182.651,-2.038,0.278
23,0.162,140.970,0.000,231.000,0.000,0.000
24,0.066,131.590,0.000,213.000,0.000,0.000
25,4.623E-4,134.887,0.333,176.000,-90.000,0.467
26,2.897E-4,116.128,0.333,164.667,-90.000,0.292
27,4.340E-4,125.980,1.770,176.833,-0.387,0.438
28,3.101E-4,127.013,0.585,180.852,-0.723,0.313
29,0.179,138.385,0.000,208.000,0.000,0.000
30,0.083,131.685,0.000,208.000,0.000,0.000
