 ,Area,Mean,Min,Max,Angle,Length
1,4.263E-4,116.785,0.333,184.035,-89.589,0.422
2,2.950E-4,145.885,2.159,202.535,-89.009,0.292
3,4.670E-4,148.052,86.860,201.758,-0.751,0.462
4,2.961E-4,143.458,90.975,193.076,-0.395,0.293
5,0.148,153.480,0.000,243.000,0.000,0.000
6,0.061,148.962,0.000,243.000,0.000,0.000
7,4.914E-4,141.877,0.290,229.661,-88.693,0.486
8,3.052E-4,128.560,0.333,191.333,-90.000,0.302
9,3.571E-4,159.185,0.076,218.381,1.637,0.353
10,2.625E-4,153.802,0.288,215.612,0.446,0.259
11,0.141,157.995,0.000,240.000,0.000,0.000
12,0.060,149.374,0.000,240.000,0.000,0.000
13,4.782E-4,148.037,0.522,224.184,-89.634,0.473
14,2.594E-4,156.528,98.667,226.404,-89.098,0.256
15,4.700E-4,146.230,0.000,203.895,-0.994,0.465
16,2.604E-4,139.629,0.333,191.373,-1.348,0.257
17,0.151,156.420,0.000,250.000,0.000,0.000
18,0.053,155.700,0.000,250.000,0.000,0.000
19,4.670E-4,147.405,0.667,208.658,-87.500,0.462
20,3.062E-4,138.275,0.436,219.513,-87.900,0.303
21,4.263E-4,153.734,0.333,204.000,0.000,0.422
22,2.686E-4,137.641,86.667,210.000,0.000,0.265
23,0.146,157.708,0.000,233.000,0.000,0.000
24,0.058,145.745,0.000,233.000,0.000,0.000
25,4.710E-4,152.652,86.167,236.449,-90.620,0.466
26,2.645E-4,157.887,106.185,230.943,-90.664,0.261
27,3.154E-4,155.307,2.930,205.867,0.371,0.312
28,2.432E-4,139.975,2.333,210.036,0.481,0.240
29,0.124,158.937,0.000,239.000,0.000,0.000
30,0.047,146.056,0.000,239.000,0.000,0.000
