 ,Area,Mean,Min,Max,Angle,Length
1,4.005E-4,166.155,2.667,204.333,-90.000,0.417
2,2.273E-4,157.663,9.823,211.300,-90.232,0.236
3,3.235E-4,168.304,1.000,223.617,0.977,0.337
4,2.136E-4,150.223,0.667,206.897,1.235,0.222
5,0.119,180.331,0.000,229.000,0.000,0.000
6,0.045,165.541,0.000,227.000,0.000,0.000
7,3.318E-4,145.862,0.350,194.721,-90.317,0.346
8,2.200E-4,136.086,1.333,185.020,-90.240,0.229
9,3.006E-4,158.932,2.355,191.774,0.350,0.313
10,1.787E-4,147.018,2.653,201.172,-0.295,0.186
11,0.080,165.447,0.000,233.000,0.000,0.000
12,0.034,156.971,0.000,211.000,0.000,0.000
13,3.455E-4,163.973,1.181,217.928,-89.543,0.360
14,2.035E-4,143.589,0.351,215.181,-89.222,0.212
15,3.144E-4,177.125,0.926,224.268,0.838,0.327
16,2.172E-4,174.297,1.333,222.746,0.728,0.226
17,0.095,178.228,0.000,229.000,0.000,0.000
18,0.038,161.301,0.000,226.000,0.000,0.000
19,2.988E-4,146.139,0.333,221.667,-90.000,0.311
20,2.007E-4,161.557,0.333,202.667,-90.000,0.209
21,2.942E-4,156.353,0.000,204.333,0.000,0.306
22,2.016E-4,150.429,0.333,201.317,0.262,0.210
23,0.079,164.503,0.000,225.000,0.000,0.000
24,0.031,157.018,0.000,220.000,0.000,0.000
25,4.354E-4,166.732,75.228,211.667,-90.363,0.454
26,2.860E-4,155.500,78.795,198.807,-90.184,0.298
27,3.318E-4,170.827,4.895,205.000,0.635,0.346
28,2.236E-4,163.302,2.000,201.420,0.472,0.233
29,0.127,171.977,0.000,225.000,0.000,0.000
30,0.051,155.846,0.000,219.000,0.000,0.000
