 ,Area,Mean,Min,Max,Angle,Length
1,3.778E-4,186.398,107.621,212.333,-89.431,0.390
2,1.992E-4,168.754,98.333,206.667,-90.000,0.205
3,3.610E-4,179.751,0.388,216.000,1.042,0.372
4,2.029E-4,157.929,0.333,210.667,1.326,0.209
5,0.111,190.809,0.000,226.000,0.000,0.000
6,0.034,158.829,0.000,215.000,0.000,0.000
7,4.442E-4,176.983,0.000,217.307,-90.967,0.458
8,2.226E-4,136.989,0.274,207.274,-90.967,0.229
9,4.246E-4,190.477,0.220,221.549,0.632,0.438
10,2.254E-4,175.775,0.542,211.825,0.716,0.232
11,0.134,191.772,0.000,237.000,0.000,0.000
12,0.043,160.694,0.000,237.000,0.000,0.000
13,3.694E-4,178.078,96.816,217.345,-89.128,0.381
14,2.142E-4,143.245,1.404,205.026,-89.497,0.221
15,3.619E-4,178.923,0.667,214.976,0.594,0.373
16,2.179E-4,168.566,2.608,208.573,0.741,0.224
17,0.102,191.977,0.000,234.000,0.000,0.000
18,0.038,162.847,0.000,225.000,0.000,0.000
19,4.171E-4,173.706,105.790,206.333,-87.941,0.431
20,2.441E-4,156.280,1.179,198.667,-88.898,0.251
21,3.451E-4,174.576,0.333,209.333,0.000,0.356
22,2.058E-4,124.651,0.000,179.874,1.308,0.212
23,0.114,179.607,0.000,218.000,0.000,0.000
24,0.047,153.992,0.000,211.000,0.000,0.000
25,3.760E-4,158.178,0.333,216.367,-91.571,0.388
26,2.319E-4,133.958,0.636,212.333,-90.696,0.239
27,2.824E-4,139.904,0.243,204.667,-1.522,0.291
28,1.889E-4,112.110,0.259,189.000,-1.710,0.194
29,0.086,177.963,0.000,225.000,0.000,0.000
30,0.036,146.571,0.000,217.000,0.000,0.000
