 ,Area,Mean,Min,Max,Angle,Length
1,4.897E-4,162.468,109.121,205.667,-87.284,0.518
2,3.134E-4,150.678,122.830,192.485,-87.390,0.332
3,4.532E-4,168.167,0.215,214.550,2.029,0.480
4,2.956E-4,158.782,0.000,227.231,0.692,0.312
5,0.212,175.172,0.000,240.000,0.000,0.000
6,0.076,147.664,0.000,240.000,0.000,0.000
7,4.853E-4,166.798,0.000,221.333,-90.000,0.513
8,3.286E-4,147.371,0.667,207.000,-90.000,0.347
9,4.568E-4,170.228,99.333,214.987,-0.112,0.483
10,3.116E-4,156.683,0.333,207.667,0.000,0.329
11,0.190,184.629,0.000,236.000,0.000,0.000
12,0.075,156.124,0.000,235.000,0.000,0.000
13,4.746E-4,137.751,102.549,174.667,-90.215,0.502
14,3.544E-4,127.059,91.667,172.333,-90.000,0.375
15,4.764E-4,143.366,82.333,197.667,0.000,0.504
16,3.330E-4,127.643,1.307,168.737,-0.461,0.352
17,0.195,154.219,0.000,216.000,0.000,0.000
18,0.103,137.926,0.000,204.000,0.000,0.000
19,4.229E-4,142.956,1.423,176.689,-90.483,0.447
20,2.823E-4,133.463,0.804,164.443,-89.819,0.298
21,4.390E-4,161.454,0.333,202.163,0.932,0.464
22,2.618E-4,140.511,0.000,202.667,0.000,0.276
23,0.177,169.682,0.000,230.000,0.000,0.000
24,0.073,147.685,0.000,220.000,0.000,0.000
25,4.995E-4,157.346,0.351,219.093,-90.921,0.528
26,3.597E-4,125.911,0.950,192.667,-90.569,0.380
27,5.788E-4,150.902,0.179,211.531,-0.706,0.612
28,3.820E-4,129.588,0.409,186.333,0.402,0.404
29,0.242,170.799,0.000,236.000,0.000,0.000
30,0.104,142.026,0.000,236.000,0.000,0.000
