 ,Area,Mean,Min,Max,Angle,Length
1,6.581E-5,104.160,0.713,212.146,-90.418,0.095
2,9.777E-5,134.746,0.000,221.000,-90.000,0.141
3,6.772E-5,120.607,0.664,206.333,0.406,0.097
4,9.634E-5,152.460,63.000,214.667,0.000,0.139
5,0.007,121.622,0.000,222.000,0.000,0.000
6,0.016,158.041,0.000,236.000,0.000,0.000
7,6.677E-5,88.990,56.681,146.321,-91.236,0.096
8,1.054E-4,120.135,5.588,215.855,-90.260,0.152
9,6.534E-5,90.783,0.333,159.667,0.000,0.094
10,1.092E-4,127.648,0.310,228.444,-1.005,0.157
11,0.007,126.532,0.000,228.000,0.000,0.000
12,0.024,170.489,0.000,238.000,0.000,0.000
13,6.629E-5,107.468,0.000,197.000,-90.000,0.095
14,9.443E-5,136.296,0.333,218.667,-90.000,0.136
15,7.106E-5,127.331,0.000,197.000,0.000,0.102
16,1.064E-4,149.769,62.180,225.811,0.774,0.153
17,0.006,120.170,0.000,215.000,0.000,0.000
18,0.017,158.255,0.000,236.000,0.000,0.000
19,7.345E-5,94.528,0.664,146.937,-90.749,0.106
20,9.824E-5,111.736,0.333,209.766,-90.279,0.142
21,6.391E-5,100.453,0.591,190.000,-0.862,0.092
22,1.044E-4,127.688,60.333,199.297,0.263,0.151
23,0.008,120.136,0.000,223.000,0.000,0.000
24,0.017,148.179,0.000,231.000,0.000,0.000
25,7.821E-5,101.793,0.000,184.667,-90.000,0.113
26,1.073E-4,112.525,0.000,200.839,-89.233,0.155
27,7.058E-5,102.075,0.084,207.667,0.779,0.102
28,9.252E-5,125.742,0.000,221.000,0.297,0.133
29,0.008,117.215,0.000,222.000,0.000,0.000
30,0.017,147.111,0.000,234.000,0.000,0.000
