"colony_id","CALICE","MEASUREMENT","value","depth","act_depth","species","site"
"15MC1T","C3","CA",0.691,15,16,"MCAV","Turrumote"
"15MC1T","C2","A",0.223,15,16,"MCAV","Turrumote"
"15MC1T","C1","CW",1.053,15,16,"MCAV","Turrumote"
"15MC1T","C4","A",0.22,15,16,"MCAV","Turrumote"
"15MC1T","C2","CA",0.931,15,16,"MCAV","Turrumote"
"15MC1T","C3","A",0.187,15,16,"MCAV","Turrumote"
"15MC1T","C4","H",0.476,15,16,"MCAV","Turrumote"
"15MC1T","C1","CH",0.87,15,16,"MCAV","Turrumote"
"15MC1T","C3","W",0.506,15,16,"MCAV","Turrumote"
"15MC1T","C3","CW",0.877,15,16,"MCAV","Turrumote"
"15MC1T","C5","A",0.216,15,16,"MCAV","Turrumote"
"15MC1T","C5","CA",0.845,15,16,"MCAV","Turrumote"
"15MC1T","C4","CH",0.9,15,16,"MCAV","Turrumote"
"15MC1T","C4","CA",0.793,15,16,"MCAV","Turrumote"
"15MC1T","C1","W",0.518,15,16,"MCAV","Turrumote"
"15MC1T","C3","H",0.518,15,16,"MCAV","Turrumote"
"15MC1T","C3","CH",0.847,15,16,"MCAV","Turrumote"
"15MC1T","C2","H",0.518,15,16,"MCAV","Turrumote"
"15MC1T","C2","CH",0.965,15,16,"MCAV","Turrumote"
"15MC1T","C2","W",0.588,15,16,"MCAV","Turrumote"
"15MC1T","C5","H",0.471,15,16,"MCAV","Turrumote"
"15MC1T","C1","A",0.191,15,16,"MCAV","Turrumote"
"15MC1T","C4","W",0.565,15,16,"MCAV","Turrumote"
"15MC1T","C4","CW",1.082,15,16,"MCAV","Turrumote"
"15MC1T","C2","CW",1.359,15,16,"MCAV","Turrumote"
"15MC1T","C1","CA",0.822,15,16,"MCAV","Turrumote"
"15MC1T","C5","CW",1.13,15,16,"MCAV","Turrumote"
"15MC1T","C1","H",0.501,15,16,"MCAV","Turrumote"
"15MC1T","C5","CH",0.865,15,16,"MCAV","Turrumote"
"15MC1T","C5","W",0.565,15,16,"MCAV","Turrumote"
"15MC2T","C4","CA",0.723,15,18,"MCAV","Turrumote"
"15MC2T","C2","CA",0.846,15,18,"MCAV","Turrumote"
"15MC2T","C4","A",0.26,15,18,"MCAV","Turrumote"
"15MC2T","C5","CH",0.803,15,18,"MCAV","Turrumote"
"15MC2T","C4","W",0.65,15,18,"MCAV","Turrumote"
"15MC2T","C4","CW",1.17,15,18,"MCAV","Turrumote"
"15MC2T","C5","H",0.54,15,18,"MCAV","Turrumote"
"15MC2T","C1","A",0.211,15,18,"MCAV","Turrumote"
"15MC2T","C5","W",0.607,15,18,"MCAV","Turrumote"
"15MC2T","C5","A",0.229,15,18,"MCAV","Turrumote"
"15MC2T","C5","CA",0.67,15,18,"MCAV","Turrumote"
"15MC2T","C2","A",0.265,15,18,"MCAV","Turrumote"
"15MC2T","C1","CH",0.826,15,18,"MCAV","Turrumote"
"15MC2T","C4","CH",0.779,15,18,"MCAV","Turrumote"
"15MC2T","C2","CW",1.194,15,18,"MCAV","Turrumote"
"15MC2T","C3","A",0.249,15,18,"MCAV","Turrumote"
"15MC2T","C3","CA",0.782,15,18,"MCAV","Turrumote"
"15MC2T","C1","H",0.463,15,18,"MCAV","Turrumote"
"15MC2T","C1","CA",0.769,15,18,"MCAV","Turrumote"
"15MC2T","C3","H",0.516,15,18,"MCAV","Turrumote"
"15MC2T","C3","CH",0.893,15,18,"MCAV","Turrumote"
"15MC2T","C3","W",0.65,15,18,"MCAV","Turrumote"
"15MC2T","C1","CW",0.941,15,18,"MCAV","Turrumote"
"15MC2T","C3","CW",1.127,15,18,"MCAV","Turrumote"
"15MC2T","C4","H",0.497,15,18,"MCAV","Turrumote"
"15MC2T","C1","W",0.541,15,18,"MCAV","Turrumote"
"15MC2T","C2","H",0.53,15,18,"MCAV","Turrumote"
"15MC2T","C5","CW",1.114,15,18,"MCAV","Turrumote"
"15MC2T","C2","W",0.674,15,18,"MCAV","Turrumote"
"15MC2T","C2","CH",0.908,15,18,"MCAV","Turrumote"
"15MC3T","C3","CH",1.063,15,15,"MCAV","Turrumote"
"15MC3T","C3","H",0.616,15,15,"MCAV","Turrumote"
"15MC3T","C1","A",0.201,15,15,"MCAV","Turrumote"
"15MC3T","C2","CW",0.857,15,15,"MCAV","Turrumote"
"15MC3T","C1","CH",0.903,15,15,"MCAV","Turrumote"
"15MC3T","C1","W",0.488,15,15,"MCAV","Turrumote"
"15MC3T","C3","W",0.447,15,15,"MCAV","Turrumote"
"15MC3T","C3","CW",0.707,15,15,"MCAV","Turrumote"
"15MC3T","C1","H",0.534,15,15,"MCAV","Turrumote"
"15MC3T","C3","A",0.245,15,15,"MCAV","Turrumote"
"15MC3T","C3","CA",0.63,15,15,"MCAV","Turrumote"
"15MC3T","C1","CA",0.543,15,15,"MCAV","Turrumote"
"15MC3T","C2","H",0.511,15,15,"MCAV","Turrumote"
"15MC3T","C2","CH",0.748,15,15,"MCAV","Turrumote"
"15MC3T","C2","W",0.593,15,15,"MCAV","Turrumote"
"15MC3T","C1","CW",0.785,15,15,"MCAV","Turrumote"
"15MC3T","C2","A",0.244,15,15,"MCAV","Turrumote"
"15MC3T","C2","CA",0.573,15,15,"MCAV","Turrumote"
"15MC4T","C3","A",0.159,15,16,"MCAV","Turrumote"
"15MC4T","C1","H",0.374,15,16,"MCAV","Turrumote"
"15MC4T","C2","A",0.134,15,16,"MCAV","Turrumote"
