"","colony_id","W","H","CW","CH","A","CA","di","Cdi","A.CA","D"
"1","15MC1T",0.5484,0.4968,1.1002,0.8894,0.2074,0.8164,0.5226,0.9948,0.254042136207741,"1.091"
"2","15MC2T",0.6244,0.5092,1.1092,0.8418,0.2428,0.758,0.5668,0.9755,0.320316622691293,"1.664"
"3","15MC3T",0.509333333333333,0.553666666666667,0.783,0.904666666666667,0.23,0.582,0.5315,0.843833333333333,0.395189003436426,"1.647"
"4","15MC4T",0.5208,0.3876,0.923,0.6206,0.164,0.4622,0.4542,0.7718,0.354824751189961,"2.322"
"5","15MC5T",0.5362,0.477,0.809,0.783,0.205,0.4462,0.5066,0.796,0.459435230838189,"2.271"
"6","15OFA1AT",0.3334,0.3124,0.2402,0.2344,0.0826,0.0444,0.3229,0.2373,1.86036036036036,"13.514"
"7","15OFA1ML",0.4154,0.3816,0.2894,0.2706,0.1254,0.0596,0.3985,0.28,2.10402684563758,"8.283"
"8","15OFA2ML",0.3574,0.41,0.2392,0.2752,0.1154,0.048,0.3837,0.2572,2.40416666666667,"8.718"
"9","15OFA3ML",0.406,0.418,0.2554,0.2628,0.1398,0.0516,0.412,0.2591,2.7093023255814,"8.740"
"10","15OFA3T",0.4072,0.3956,0.237,0.2548,0.117,0.0436,0.4014,0.2459,2.68348623853211,"7.884"
"11","15OFA4ML",0.3144,0.4386,0.2362,0.2974,0.1204,0.0536,0.3765,0.2668,2.24626865671642,"9.701"
"12","15OFA4T",0.3426,0.472,0.2294,0.2576,0.1282,0.0466,0.4073,0.2435,2.75107296137339,"8.975"
"13","15OFA5ML",0.3524,0.3736,0.2114,0.2258,0.11,0.0384,0.363,0.2186,2.86458333333333,"7.705"
"14","15OFA5T",0.3882,0.444,0.238,0.2706,0.1288,0.0498,0.4161,0.2543,2.5863453815261,"7.136"
"15","15OFA6ML",0.363,0.3572,0.2406,0.2284,0.1004,0.0418,0.3601,0.2345,2.40191387559809,"9.330"
"16","15OFR1ML",0.4558,0.442,0.2602,0.2446,0.1518,0.0464,0.4489,0.2524,3.27155172413793,"7.186"
"17","15OFR1T",0.4584,0.3616,0.3006,0.2566,0.1316,0.0602,0.41,0.2786,2.18604651162791,"7.561"
"18","15OFR2ML",0.394,0.3898,0.2278,0.202,0.116,0.0336,0.3919,0.2149,3.45238095238095,"9.029"
"19","15OFR2T",0.366,0.4096,0.2142,0.229,0.1094,0.0396,0.3878,0.2216,2.76262626262626,"8.902"
"20","15OFR3ML",0.3258,0.3776,0.2154,0.2368,0.1,0.0398,0.3517,0.2261,2.51256281407035,"10.171"
"21","15OFR3T",0.3342,0.4398,0.2412,0.2886,0.117,0.0542,0.387,0.2649,2.15867158671587,"7.460"
"22","15OFR4ML",0.3786,0.352,0.2438,0.221,0.1068,0.0416,0.3653,0.2324,2.56730769230769,"7.845"
"23","15OFR4T",0.369,0.3736,0.2236,0.2302,0.0964,0.0396,0.3713,0.2269,2.43434343434343,"9.259"
"24","15OFR5ML",0.459,0.4918,0.2682,0.2806,0.1644,0.0558,0.4754,0.2744,2.94623655913978,"7.500"
"25","15OFR5T",0.4482,0.4952,0.281,0.3008,0.1736,0.065,0.4717,0.2909,2.67076923076923,"5.081"
"26","15PA1ML",0.0994,0.1014,0.1494,0.17,0.008,0.021,0.1004,0.1597,0.380952380952381,"49.020"
"27","15PA2ML",0.0874,0.0878,0.1596,0.1528,0.0062,0.0188,0.0876,0.1562,0.329787234042553,"50.167"
"28","15PA3ML",0.0974,0.101,0.1466,0.1452,0.0072,0.0182,0.0992,0.1459,0.395604395604396,"60.501"
"29","15PA4ML",0.0816,0.0824,0.1408,0.1528,0.0056,0.017,0.082,0.1468,0.329411764705882,"64.182"
"30","15PA5ML",0.0716,0.073,0.1222,0.1258,0.0044,0.012,0.0723,0.124,0.366666666666667,"76.449"
"31","30MC1T",0.597,0.4816,1,0.7622,0.2304,0.5876,0.5393,0.8811,0.392103471749489,"2.062"
"32","30MC2T",0.654,0.6488,1.0584,1.1056,0.3596,0.922,0.6514,1.082,0.39002169197397,"1.602"
"33","30MC3T",0.535333333333333,0.476666666666667,0.819,0.716666666666667,0.220333333333333,0.489,0.506,0.767833333333333,0.450579413769598,"3.373"
"34","30MC4T",0.569,0.538,1.0046,0.945,0.2516,0.7104,0.5535,0.9748,0.354166666666667,"1.374"
"35","30MC5T",0.632,0.4432,1.2236,0.7818,0.2472,0.7038,0.5376,1.0027,0.351236146632566,"1.490"
"36","30OFA1ML",0.3612,0.3044,0.2348,0.2054,0.0916,0.0368,0.3328,0.2201,2.48913043478261,"9.427"
"37","30OFA1T",0.4376,0.4374,0.2602,0.2558,0.1408,0.0526,0.4375,0.258,2.67680608365019,"6.761"
"38","30OFA2ML",0.446,0.388,0.2786,0.2478,0.1374,0.0524,0.417,0.2632,2.62213740458015,"6.993"
"39","30OFA2T",0.455,0.3728,0.2656,0.23,0.13,0.0474,0.4139,0.2478,2.74261603375527,"5.247"
"40","30OFA3ML",0.355,0.4058,0.2304,0.262,0.1098,0.045,0.3804,0.2462,2.44,"8.867"
"41","30OFA3T",0.356,0.4008,0.2302,0.243,0.11,0.0422,0.3784,0.2366,2.60663507109005,"7.566"
"42","30OFA4ML",0.3652,0.4142,0.2304,0.2666,0.1198,0.0472,0.3897,0.2485,2.53813559322034,"6.563"
"43","30OFA4T",0.4028,0.4618,0.2628,0.2828,0.142,0.0558,0.4323,0.2728,2.54480286738351,"9.445"
"44","30OFA5ML",0.3482,0.357,0.2516,0.2384,0.0946,0.0446,0.3526,0.245,2.12107623318386,"7.829"
"45","30OFA5T",0.4302,0.4426,0.273,0.2858,0.1514,0.061,0.4364,0.2794,2.48196721311475,"9.804"
"46","30OFR1ML",0.34,0.3802,0.23,0.2504,0.1078,0.0454,0.3601,0.2402,2.37444933920705,"7.257"
"47","30OFR1T",0.3392,0.3546,0.2088,0.1868,0.07360017142,0.0326,0.3469,0.1978,2.25767396993865,"10.130"
"48","30OFR2ML",0.4604,0.431,0.261,0.2542,0.1596,0.052,0.4457,0.2576,3.06923076923077,"6.997"
"49","30OFR2T",0.4534,0.4568,0.3066,0.3146,0.1522,0.0702,0.4551,0.3106,2.16809116809117,"6.369"
"50","30OFR3ML",0.4002,0.3876,0.2626,0.2718,0.12,0.055,0.3939,0.2672,2.18181818181818,"9.019"
"51","30OFR3T",0.3766,0.4638,0.2356,0.2896,0.14,0.0554,0.4202,0.2626,2.52707581227437,"6.936"
"52","30OFR4ML",0.4682,0.3702,0.261,0.2232,0.1416,0.0454,0.4192,0.2421,3.11894273127753,"6.548"
"53","30OFR4T",0.3802,0.4608,0.2596,0.2842,0.138,0.0584,0.4205,0.2719,2.36301369863014,"9.045"
"54","30OFR5ML",0.4012,0.5106,0.2528,0.2934,0.1626,0.0592,0.4559,0.2731,2.74662162162162,"5.592"
"55","30PA1ML",0.0784,0.0724,0.1862,0.1406,0.0044,0.0216,0.0754,0.1634,0.203703703703704,"53.358"
"56","30PA3ML",0.073,0.0826,0.1632,0.1716,0.005,0.021,0.0778,0.1674,0.238095238095238,"49.219"
"57","30PA4ML",0.0814,0.0848,0.1494,0.165,0.0052,0.0198,0.0831,0.1572,0.262626262626263,"44.465"
"58","30PA5ML",0.088,0.0904,0.1474,0.1544,0.0066,0.0178,0.0892,0.1509,0.370786516853933,"46.766"
"59","45MC1T",0.9062,0.6888,1.6382,1.1862,0.5134,1.4936,0.7975,1.4122,0.343733261917515,"0.994"
"60","45MC2T",0.6328,0.5716,1.016,0.918,0.291,0.7,0.6022,0.967,0.415714285714286,"1.403"
"61","45MC3T",0.8515,0.72,1.59,1.402,0.478,1.664,0.78575,1.496,0.287259615384615,"0.871"
"62","45MC4T",0.544,0.5138,0.9374,0.8846,0.2262,0.6556,0.5289,0.911,0.345027455765711,"1.682"
"63","45MC5T",0.736,0.6815,1.1135,1.0025,0.4175,0.899,0.70875,1.058,0.46440489432703,"0.780"
"64","45OFA1ML",0.3388,0.3626,0.2098,0.2272,0.102,0.0356,0.3507,0.2185,2.86516853932584,"9.231"
"65","45OFA1T",0.439,0.4812,0.304,0.3256,0.1768,0.0712,0.4601,0.3148,2.48314606741573,"5.342"
"66","45OFA2ML",0.4734,0.443,0.306,0.2874,0.1668,0.0678,0.4582,0.2967,2.46017699115044,"6.131"
"67","45OFA2T",0.5052,0.4422,0.2662,0.2316,0.182,0.05,0.4737,0.2489,3.64,"4.809"
"68","45OFA3ML",0.442,0.4372,0.2848,0.3,0.1574,0.0676,0.4396,0.2924,2.32840236686391,"5.961"
"69","45OFA3T",0.3892,0.4742,0.2678,0.287,0.1516,0.059,0.4317,0.2774,2.56949152542373,"5.487"
"70","45OFA4ML",0.4126,0.3748,0.2206,0.2274,0.1288,0.038,0.3937,0.224,3.38947368421053,"7.365"
"71","45OFA4T",0.3838,0.3816,0.2324,0.2156,0.1334,0.0406,0.3827,0.224,3.28571428571429,"6.481"
"72","45OFA5ML",0.43,0.4004,0.2602,0.2428,0.1392,0.047,0.4152,0.2515,2.96170212765957,"7.313"
"73","45OFA5T",0.4526,0.4756,0.2612,0.2634,0.1748,0.0506,0.4641,0.2623,3.45454545454546,"4.801"
"74","45OFA6T",0.439,0.4804,0.2666,0.294,0.1548,0.0608,0.4597,0.2803,2.54605263157895,"5.293"
"75","45OFR1ML",0.429,0.4434,0.2442,0.2078,0.1598,0.045,0.4362,0.226,3.55111111111111,"5.626"
"76","45OFR1T",0.3906,0.4614,0.2248,0.254,0.138,0.0444,0.426,0.2394,3.10810810810811,"8.047"
"77","45OFR2ML",0.5172,0.5474,0.3018,0.3208,0.2196,0.0768,0.5323,0.3113,2.859375,"4.014"
"78","45OFR2T",0.4758,0.485,0.2852,0.3068,0.1752,0.069,0.4804,0.296,2.53913043478261,"5.364"
"79","45OFR3ML",0.4272,0.4478,0.2602,0.2652,0.1558,0.0544,0.4375,0.2627,2.86397058823529,"5.488"
"80","45OFR3T",0.4868,0.4612,0.3104,0.2894,0.1742,0.0724,0.474,0.2999,2.4060773480663,"5.185"
"81","45OFR4ML",0.424,0.43,0.2702,0.2692,0.1438,0.0568,0.427,0.2697,2.53169014084507,"7.229"
"82","45OFR4T",0.42,0.3966,0.2326,0.2362,0.1244,0.0424,0.4083,0.2344,2.93396226415094,"7.571"
"83","45OFR5ML",0.4516,0.4202,0.281,0.2824,0.1456,0.0608,0.4359,0.2817,2.39473684210526,"5.468"
"84","45OFR5T",0.4798,0.377,0.306,0.2602,0.1456,0.0652,0.4284,0.2831,2.23312883435583,"5.272"
"85","45OFR6T",0.4528,0.4432,0.265,0.2546,0.161,0.0558,0.448,0.2598,2.88530465949821,"6.711"
"86","45OFR7T",0.5468,0.477,0.2906,0.2786,0.214,0.0666,0.5119,0.2846,3.21321321321321,"5.058"
"87","45OFR8T",0.42,0.4444,0.2602,0.2688,0.1438,0.0558,0.4322,0.2645,2.57706093189964,"7.067"
"88","45PA1ML",0.1014,0.0998,0.1732,0.1692,0.0082,0.0246,0.1006,0.1712,0.333333333333333,"41.975"
"89","45PA2ML",0.0946,0.092,0.1498,0.1532,0.0066,0.018,0.0933,0.1515,0.366666666666667,"49.960"
"90","45PA3ML",0.1072,0.1016,0.1952,0.18,0.0088,0.0236,0.1044,0.1876,0.372881355932203,"42.434"
"91","45PA4ML",0.0732,0.071,0.1262,0.1206,0.0042,0.0118,0.0721,0.1234,0.355932203389831,"64.769"
"92","45PA5ML",0.0812,0.0728,0.1832,0.126,0.0048,0.0192,0.077,0.1546,0.25,"48.204"
"93","55MC1T",0.5722,0.4958,0.9082,0.8138,0.2292,0.5506,0.534,0.861,0.416273156556484,"2.054"
