,colony_id,Area,Count,Calice_Density
1,OFAV_PP_0GT1,1.767,12,6.791
2,OFAV_PP_0HS3,1.459,11,7.539
3,OFAV_PP_0HS4,1.65,15,9.091
4,OFAV_PP_2HS12,1.766,16,9.06
5,OFAV_PP_2HS2,2.649,20,7.55
6,OFAV_PP_2HS48,1.362,9,6.608
7,OFAV_PP_2HS6,1.732,13,7.506
8,OFAV_PP_310,1.619,9,5.559
9,OFAV_PP_313,1.464,11,7.514
10,OFAV_PP_352,1.713,18,10.508
11,OFAV_PP_356,0.939,5,5.325
12,OFAV_PP_357,1.751,14,7.995
13,OFAV_PP_358,1.19,11,9.244
14,OFAV_PP_359,1.108,7,6.318
15,OFAV_PP_360,1.031,11,10.669
16,OFAV_PP_362,1.383,14,10.123
17,OFAV_PP_364,1.232,10,8.117
18,OFAV_PP_365,1.177,10,8.496
19,OFAV_PP_366,1.876,15,7.996
20,OFAV_PP_367,1.766,11,6.229
21,OFAV_PP_368,2.059,17,8.256
22,OFAV_PP_369,1.189,10,8.41
23,OFAV_PP_371,2.013,13,6.458
24,OFAV_PP_91R44,1.842,12,6.515
25,OFAV_PP_9AZ5,0.828,6,7.246
27,OFAV_PP_9AZ9,1.21,8,6.612
28,OFAV_PP_9EV35,1.064,8,7.519
29,OFAV_PP_9EV4,1.595,9,5.643
30,OFAV_PP_9EV40,1.513,11,7.27
31,OFAV_PP_9EV5,0.863,6,6.952
32,OFAV_PP_9GT35,0.889,10,11.249
33,OFAV_PP_9GT4,0.774,7,9.044
34,OFAV_PP_9GT46,1.05,10,9.524
35,OFAV_PP_9IR44,1.9,13,6.842
36,OFAV_PP_9JQ4,1.785,11,6.162
37,OFAV_PP_9JQ42,1.648,14,8.495
38,OFAV_PP_9JQ43,1.143,12,10.499
39,OFAV_PP_9JQ53,1.199,9,7.506
40,OFAV_PP_AZ,1.211,8,6.606
41,OFAV_PP_CX,1.457,9,6.177
42,OFAV_PP_DW,1.392,13,9.339
43,OFAV_PS_0HS12,1.046,10,9.56
44,OFAV_PS_0HS2,2.554,21,8.222
45,OFAV_PS_0HS3,1.963,22,11.207
46,OFAV_PS_0HS4,0.827,7,8.464
47,OFAV_PS_2HS48,1.156,10,8.651
48,OFAV_PS_2HS6,2.123,21,9.892
49,OFAV_PS_310,1.813,15,8.274
50,OFAV_PS_313,1.412,13,9.207
51,OFAV_PS_352,1.453,14,9.635
52,OFAV_PS_356,1.481,10,6.752
53,OFAV_PS_357,2.041,16,7.839
54,OFAV_PS_359,0.742,6,8.086
55,OFAV_PS_360,1.316,17,12.918
56,OFAV_PS_362,1.263,13,10.293
57,OFAV_PS_365_P1,0.977,8,8.188
58,OFAV_PS_365_P2,0.7,7,10
59,OFAV_PS_367,1.449,10,6.901
