"","Label","X.1","X","Species","Treatment","Number","Sample","Recovered","NOTES","Airbrush_Date","Airbrush_volume","Airbrush_Initials","Aliquot_Date","Aliquot_Initials","Chl_box","Host_PTAC_box","Sym_PTAC_box","Sym_density_box","Ash_Bag","Skeleton_Dry_Date","Skeleton_Dry_Initials","Row.names","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0002637,141.223,15.004,180.59,-71.139,0.367,"C1","H"
"2","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0002188,124.217,1.838,156.554,6.923,0.304,"C2","CW"
"3","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.122,137.723,0,183,-87.169,0.393,"C2","A"
"4","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.068,126.689,0,183,-93.483,0.248,"C2","CA"
"5","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.0002699,142.639,0.312,189.448,-84.06,0.375,"C3","H"
"6","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.0001698,112.102,1.01,180.333,-81.573,0.235,"C3","CH"
"7","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.0003582,146.969,0,190,0.744,0.498,"C3","W"
"8","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.0002162,146.282,1.137,185.054,3.705,0.3,"C3","CW"
"9","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.143,158.86,0,199,0,0,"C3","A"
"10","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.056,132.065,0,199,0,0,"C3","CA"
"11","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.0002359,145.281,0.333,185.478,-87.739,0.328,"C4","H"
"12","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0001817,123.054,1.931,170.333,-97.368,0.252,"C1","CH"
"13","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.0001832,131.38,36.314,184.297,-91.456,0.254,"C4","CH"
"14","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.0003566,136.684,0.081,183.17,-0.747,0.496,"C4","W"
"15","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.0002137,140.183,92.919,173.931,5.006,0.296,"C4","CW"
"16","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0.122,149.367,0,188,0,0,"C4","A"
"17","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0.06,135.604,0,188,0,0,"C4","CA"
"18","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.0002854,140.348,38.432,182.105,-94.367,0.396,"C5","H"
"19","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0.0002013,100.028,0.203,157.843,-94.421,0.28,"C5","CH"
"20","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.0003721,142.205,0.667,184,1.591,0.517,"C5","W"
"21","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0.0002266,106.422,0.088,155.968,4.981,0.314,"C5","CW"
"22","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0.147,146.086,0,195,0,0,"C5","A"
"23","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.099,144.39,0,192,0,0,"C1","W"
"24","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0.069,125.497,0,195,0,0,"C5","CA"
"25","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.064,135.508,0,189,0,0,"C1","CW"
"26","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.0002808,130.102,0.333,169.163,-60.884,0.39,"C1","A"
"27","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.0002157,112.324,2.692,147.093,-48.504,0.299,"C1","CA"
"28","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,255,0,-2.332,0.477,"C2","H"
"29","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.0001615,123.151,0,174.962,-89.449,0.224,"C2","CH"
"30","IMG_3872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.0003324,130.462,1.277,164.112,-2.675,0.462,"C2","W"
"31","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",1,0.000462,170.171,2.601,203.955,-93.128,0.503,"C1","H"
"32","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",2,0.0002021,141.457,78.667,185.908,-88.568,0.22,"C1","CH"
"33","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",13,0.0004109,159.175,84.333,205.618,-87.892,0.448,"C3","H"
"34","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",14,0.000249,139.821,2.572,193.039,-100.513,0.271,"C3","CH"
"35","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",28,0.0002147,120.157,1.279,193.667,15.018,0.233,"C5","CW"
"36","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",3,0.0003488,151.309,0.136,190.84,10.823,0.38,"C1","W"
"37","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",15,0.0005023,161.68,0.305,198.682,13.339,0.548,"C3","W"
"38","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",19,0.0004662,151.931,77.877,189.297,-88.142,0.508,"C4","H"
"39","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",9,0.0003505,162.342,0,194.24,9.53,0.382,"C2","W"
"40","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",8,0.0001861,132.974,7.581,181.869,-67.62,0.202,"C2","CH"
"41","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",26,0.000291,116.302,0.293,205.303,-107.65,0.317,"C5","CH"
"42","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",11,0.135,167.057,0,206,0,0,"C2","A"
"43","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",27,0.0003983,142.868,0.641,194.275,20.386,0.434,"C5","W"
"44","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",21,0.0003974,148.869,0.495,188.344,18.09,0.433,"C4","W"
"45","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",29,0.207,167.283,0,215,0,0,"C5","A"
"46","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",12,0.05,154.677,0,206,0,0,"C2","CA"
"47","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",18,0.065,153.313,0,215,0,0,"C3","CA"
"48","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",7,0.0004251,158.216,1.151,194.057,-59.328,0.463,"C2","H"
"49","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",4,0.000192,120.431,0.421,172.546,16.049,0.209,"C1","CW"
"50","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",30,0.079,152.993,0,215,0,0,"C5","CA"
"51","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",10,0.0001769,132.309,0.962,187.076,14.036,0.193,"C2","CW"
"52","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",6,0.041,147.901,0,203,0,0,"C1","CA"
"53","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",24,0.067,150.633,0,202,0,0,"C4","CA"
"54","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",25,0.0005291,161.796,75.208,208.561,-95.738,0.577,"C5","H"
"55","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",20,0.0002423,121.234,0.56,167,-102.011,0.264,"C4","CH"
"56","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",5,0.149,167.064,0,205,0,0,"C1","A"
"57","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",23,0.173,161.675,0,202,0,0,"C4","A"
"58","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",22,0.0002432,128.213,0.616,181.958,17.496,0.265,"C4","CW"
"59","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",17,0.182,166.933,0,215,0,0,"C3","A"
"60","OFAV_PP_0GT1",1,1,"OFAV","PP","Others","0GT1","p","","3/28/22","30","DM TC","3/28/22","DM TC","4","1","2","3","B","4/15/22","TL",16,0.0002373,137.067,0.854,198.967,23.839,0.258,"C3","CW"
"61","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",3,0.0003592,145.486,0.475,217.147,-1.644,0.387,"C1","W"
"62","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",10,0.0001792,138.611,1.974,186.615,1.102,0.193,"C2","CW"
"63","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",21,0.000415,124.789,2.023,173.544,4.035,0.447,"C4","W"
"64","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",20,0.0003009,90.266,1,154,-92.291,0.324,"C4","CH"
"65","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",18,0.065,108.889,0,194,0,0,"C3","CA"
"66","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",28,0.0002443,129.926,3.08e-11,195.46,-2.42,0.263,"C5","CW"
