"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","length","area"
"1","1",1,"OFRA_PP_2GT7_P1",0.0003724,171.657,0.333,220.31,-106.44,0.376,3,12
"2","10",10,"OFRA_PP_2GT7_P1",0.0002343,167.26,0,206.667,0,0.237,6,34
"3","11",11,"OFRA_PP_2GT7_P1",0.143,183.97,0,232,0,0,8,454
"4","12",12,"OFRA_PP_2GT7_P1",0,NA,255,0,0,0,4,24
"5","2",2,"OFRA_PP_2GT7_P1",0.0001935,181.553,142.333,222.333,-90,0.195,4,16
"6","3",3,"OFRA_PP_2GT7_P1",0.0005843,187.741,0,219.31,0.573,0.592,7,35
"7","4",4,"OFRA_PP_2GT7_P1",0.000246,171.812,0,222.429,2.726,0.249,2,33
"8","5",5,"OFRA_PP_2GT7_P1",0.174,189.346,0,238,0,0,3,454
"9","6",6,"OFRA_PP_2GT7_P1",0.026,172.186,0,231,0,0,5,464
"10","7",7,"OFRA_PP_2GT7_P1",0.0004045,158.32,0.167,214.177,-93.318,0.409,7,25
"11","8",8,"OFRA_PP_2GT7_P1",0.0002061,143.898,0.136,206.841,-96.52,0.208,8,264
"12","9",9,"OFRA_PP_2GT7_P1",0.0004385,175.359,0.533,220.067,-2.291,0.444,3,75
