"colony_id","CALICE","MEASUREMENT","value","species","treatment","recovered"
"OFAV_PP_0GT1","C3","CH",0.271,"OFAV","PP","p"
"OFAV_PP_0GT1","C2","CW",0.193,"OFAV","PP","p"
"OFAV_PP_0GT1","C3","H",0.448,"OFAV","PP","p"
"OFAV_PP_0GT1","C5","CH",0.317,"OFAV","PP","p"
"OFAV_PP_0GT1","C5","W",0.434,"OFAV","PP","p"
"OFAV_PP_0GT1","C1","H",0.503,"OFAV","PP","p"
"OFAV_PP_0GT1","C5","H",0.577,"OFAV","PP","p"
"OFAV_PP_0GT1","C5","A",0.207,"OFAV","PP","p"
"OFAV_PP_0GT1","C5","CA",0.079,"OFAV","PP","p"
"OFAV_PP_0GT1","C1","A",0.149,"OFAV","PP","p"
"OFAV_PP_0GT1","C4","CW",0.265,"OFAV","PP","p"
"OFAV_PP_0GT1","C1","W",0.38,"OFAV","PP","p"
"OFAV_PP_0GT1","C1","CW",0.209,"OFAV","PP","p"
"OFAV_PP_0GT1","C3","W",0.548,"OFAV","PP","p"
"OFAV_PP_0GT1","C5","CW",0.233,"OFAV","PP","p"
"OFAV_PP_0GT1","C4","A",0.173,"OFAV","PP","p"
"OFAV_PP_0GT1","C4","CA",0.067,"OFAV","PP","p"
"OFAV_PP_0GT1","C1","CH",0.22,"OFAV","PP","p"
"OFAV_PP_0GT1","C2","H",0.463,"OFAV","PP","p"
"OFAV_PP_0GT1","C3","CW",0.258,"OFAV","PP","p"
"OFAV_PP_0GT1","C4","H",0.508,"OFAV","PP","p"
"OFAV_PP_0GT1","C2","W",0.382,"OFAV","PP","p"
"OFAV_PP_0GT1","C4","CH",0.264,"OFAV","PP","p"
"OFAV_PP_0GT1","C4","W",0.433,"OFAV","PP","p"
"OFAV_PP_0GT1","C2","CH",0.202,"OFAV","PP","p"
"OFAV_PP_0GT1","C2","A",0.135,"OFAV","PP","p"
"OFAV_PP_0GT1","C2","CA",0.05,"OFAV","PP","p"
"OFAV_PP_0GT1","C3","A",0.182,"OFAV","PP","p"
"OFAV_PP_0GT1","C1","CA",0.041,"OFAV","PP","p"
"OFAV_PP_0GT1","C3","CA",0.065,"OFAV","PP","p"
"OFAV_PP_0HS3","C2","H",0.393,"OFAV","PP","p"
"OFAV_PP_0HS3","C3","W",0.424,"OFAV","PP","p"
"OFAV_PP_0HS3","C3","CW",0.269,"OFAV","PP","p"
"OFAV_PP_0HS3","C1","CH",0.224,"OFAV","PP","p"
"OFAV_PP_0HS3","C3","CH",0.254,"OFAV","PP","p"
"OFAV_PP_0HS3","C5","CA",0.062,"OFAV","PP","p"
"OFAV_PP_0HS3","C4","H",0.452,"OFAV","PP","p"
"OFAV_PP_0HS3","C2","W",0.357,"OFAV","PP","p"
"OFAV_PP_0HS3","C1","A",0.112,"OFAV","PP","p"
"OFAV_PP_0HS3","C4","CH",0.324,"OFAV","PP","p"
"OFAV_PP_0HS3","C3","H",0.367,"OFAV","PP","p"
"OFAV_PP_0HS3","C5","W",0.359,"OFAV","PP","p"
"OFAV_PP_0HS3","C4","CW",0.288,"OFAV","PP","p"
"OFAV_PP_0HS3","C1","CW",0.246,"OFAV","PP","p"
"OFAV_PP_0HS3","C2","CW",0.193,"OFAV","PP","p"
"OFAV_PP_0HS3","C5","A",0.115,"OFAV","PP","p"
"OFAV_PP_0HS3","C2","CH",0.21,"OFAV","PP","p"
"OFAV_PP_0HS3","C5","H",0.379,"OFAV","PP","p"
"OFAV_PP_0HS3","C5","CH",0.255,"OFAV","PP","p"
"OFAV_PP_0HS3","C2","CA",0.02,"OFAV","PP","p"
"OFAV_PP_0HS3","C3","A",0.121,"OFAV","PP","p"
"OFAV_PP_0HS3","C1","CA",0.061,"OFAV","PP","p"
"OFAV_PP_0HS3","C1","H",0.373,"OFAV","PP","p"
"OFAV_PP_0HS3","C4","CA",0.081,"OFAV","PP","p"
"OFAV_PP_0HS3","C4","W",0.447,"OFAV","PP","p"
"OFAV_PP_0HS3","C2","A",0.114,"OFAV","PP","p"
"OFAV_PP_0HS3","C4","A",0.143,"OFAV","PP","p"
"OFAV_PP_0HS3","C5","CW",0.263,"OFAV","PP","p"
"OFAV_PP_0HS3","C1","W",0.387,"OFAV","PP","p"
"OFAV_PP_0HS3","C3","CA",0.065,"OFAV","PP","p"
"OFAV_PP_0HS4","C3","CW",0.223,"OFAV","PP","p"
"OFAV_PP_0HS4","C3","CA",0.041,"OFAV","PP","p"
"OFAV_PP_0HS4","C3","W",0.415,"OFAV","PP","p"
"OFAV_PP_0HS4","C3","A",0.131,"OFAV","PP","p"
"OFAV_PP_0HS4","C4","A",0.115,"OFAV","PP","p"
"OFAV_PP_0HS4","C3","CH",0.209,"OFAV","PP","p"
"OFAV_PP_0HS4","C2","CH",0.208,"OFAV","PP","p"
"OFAV_PP_0HS4","C1","W",0.372,"OFAV","PP","p"
"OFAV_PP_0HS4","C4","CA",0.038,"OFAV","PP","p"
"OFAV_PP_0HS4","C4","H",0.373,"OFAV","PP","p"
"OFAV_PP_0HS4","C3","H",0.429,"OFAV","PP","p"
"OFAV_PP_0HS4","C5","CW",0.192,"OFAV","PP","p"
"OFAV_PP_0HS4","C1","CW",0.219,"OFAV","PP","p"
"OFAV_PP_0HS4","C2","H",0.393,"OFAV","PP","p"
"OFAV_PP_0HS4","C4","W",0.406,"OFAV","PP","p"
"OFAV_PP_0HS4","C4","CW",0.22,"OFAV","PP","p"
"OFAV_PP_0HS4","C1","CH",0.223,"OFAV","PP","p"
"OFAV_PP_0HS4","C4","CH",0.202,"OFAV","PP","p"
"OFAV_PP_0HS4","C2","CW",0.241,"OFAV","PP","p"
"OFAV_PP_0HS4","C2","CA",0.036,"OFAV","PP","p"
"OFAV_PP_0HS4","C2","A",0.105,"OFAV","PP","p"
"OFAV_PP_0HS4","C5","H",0.407,"OFAV","PP","p"
"OFAV_PP_0HS4","C5","A",0.094,"OFAV","PP","p"
"OFAV_PP_0HS4","C5","CA",0.03,"OFAV","PP","p"
"OFAV_PP_0HS4","C1","A",0.111,"OFAV","PP","p"
"OFAV_PP_0HS4","C1","H",0.38,"OFAV","PP","p"
"OFAV_PP_0HS4","C5","CH",0.207,"OFAV","PP","p"
"OFAV_PP_0HS4","C2","W",0.365,"OFAV","PP","p"
"OFAV_PP_0HS4","C5","W",0.311,"OFAV","PP","p"
"OFAV_PP_0HS4","C1","CA",0.043,"OFAV","PP","p"
"OFAV_PP_2HS12","C4","CA",0.044,"OFAV","PP","p"
"OFAV_PP_2HS12","C5","CA",0.046,"OFAV","PP","p"
"OFAV_PP_2HS12","C4","A",0.097,"OFAV","PP","p"
"OFAV_PP_2HS12","C1","CH",0.201,"OFAV","PP","p"
"OFAV_PP_2HS12","C5","A",0.114,"OFAV","PP","p"
"OFAV_PP_2HS12","C4","W",0.513,"OFAV","PP","p"
"OFAV_PP_2HS12","C4","CW",0.262,"OFAV","PP","p"
"OFAV_PP_2HS12","C1","A",0.104,"OFAV","PP","p"
"OFAV_PP_2HS12","C4","CH",0.21,"OFAV","PP","p"
"OFAV_PP_2HS12","C3","A",0.135,"OFAV","PP","p"
"OFAV_PP_2HS12","C1","H",0.292,"OFAV","PP","p"
"OFAV_PP_2HS12","C2","CW",0.221,"OFAV","PP","p"
"OFAV_PP_2HS12","C4","H",0.316,"OFAV","PP","p"
"OFAV_PP_2HS12","C2","A",0.079,"OFAV","PP","p"
"OFAV_PP_2HS12","C2","CA",0.039,"OFAV","PP","p"
"OFAV_PP_2HS12","C3","W",0.463,"OFAV","PP","p"
"OFAV_PP_2HS12","C3","CA",0.049,"OFAV","PP","p"
"OFAV_PP_2HS12","C2","W",0.318,"OFAV","PP","p"
"OFAV_PP_2HS12","C5","H",0.367,"OFAV","PP","p"
"OFAV_PP_2HS12","C1","CA",0.051,"OFAV","PP","p"
"OFAV_PP_2HS12","C5","W",0.425,"OFAV","PP","p"
"OFAV_PP_2HS12","C5","CW",0.258,"OFAV","PP","p"
"OFAV_PP_2HS12","C3","H",0.344,"OFAV","PP","p"
"OFAV_PP_2HS12","C3","CH",0.205,"OFAV","PP","p"
"OFAV_PP_2HS12","C2","H",0.329,"OFAV","PP","p"
"OFAV_PP_2HS12","C3","CW",0.275,"OFAV","PP","p"
"OFAV_PP_2HS12","C2","CH",0.217,"OFAV","PP","p"
"OFAV_PP_2HS12","C1","W",0.446,"OFAV","PP","p"
"OFAV_PP_2HS12","C5","CH",0.204,"OFAV","PP","p"
"OFAV_PP_2HS12","C1","CW",0.267,"OFAV","PP","p"
"OFAV_PP_2HS2","C3","H",0.436,"OFAV","PP","p"
"OFAV_PP_2HS2","C3","CH",0.269,"OFAV","PP","p"
"OFAV_PP_2HS2","C3","W",0.448,"OFAV","PP","p"
"OFAV_PP_2HS2","C2","CH",0.267,"OFAV","PP","p"
"OFAV_PP_2HS2","C1","W",0.428,"OFAV","PP","p"
"OFAV_PP_2HS2","C1","CW",0.26,"OFAV","PP","p"
"OFAV_PP_2HS2","C3","CW",0.265,"OFAV","PP","p"
"OFAV_PP_2HS2","C1","CA",0.059,"OFAV","PP","p"
"OFAV_PP_2HS2","C2","CW",0.27,"OFAV","PP","p"
"OFAV_PP_2HS2","C5","CA",0.069,"OFAV","PP","p"
"OFAV_PP_2HS2","C2","H",0.498,"OFAV","PP","p"
"OFAV_PP_2HS2","C1","CH",0.223,"OFAV","PP","p"
"OFAV_PP_2HS2","C4","CH",0.248,"OFAV","PP","p"
"OFAV_PP_2HS2","C2","W",0.455,"OFAV","PP","p"
"OFAV_PP_2HS2","C1","A",0.139,"OFAV","PP","p"
"OFAV_PP_2HS2","C5","W",0.465,"OFAV","PP","p"
"OFAV_PP_2HS2","C2","A",0.146,"OFAV","PP","p"
"OFAV_PP_2HS2","C1","H",0.456,"OFAV","PP","p"
"OFAV_PP_2HS2","C4","CA",0.057,"OFAV","PP","p"
"OFAV_PP_2HS2","C5","A",0.161,"OFAV","PP","p"
"OFAV_PP_2HS2","C5","H",0.471,"OFAV","PP","p"
"OFAV_PP_2HS2","C2","CA",0.059,"OFAV","PP","p"
"OFAV_PP_2HS2","C4","W",0.428,"OFAV","PP","p"
"OFAV_PP_2HS2","C4","H",0.406,"OFAV","PP","p"
"OFAV_PP_2HS2","C5","CH",0.268,"OFAV","PP","p"
"OFAV_PP_2HS2","C5","CW",0.276,"OFAV","PP","p"
"OFAV_PP_2HS2","C4","CW",0.256,"OFAV","PP","p"
"OFAV_PP_2HS2","C3","A",0.144,"OFAV","PP","p"
"OFAV_PP_2HS2","C3","CA",0.054,"OFAV","PP","p"
"OFAV_PP_2HS2","C4","A",0.119,"OFAV","PP","p"
"OFAV_PP_2HS48","C4","CW",0.235,"OFAV","PP","p"
"OFAV_PP_2HS48","C4","CH",0.253,"OFAV","PP","p"
"OFAV_PP_2HS48","C4","H",0.468,"OFAV","PP","p"
"OFAV_PP_2HS48","C4","W",0.417,"OFAV","PP","p"
"OFAV_PP_2HS48","C2","A",0.113,"OFAV","PP","p"
"OFAV_PP_2HS48","C2","W",0.332,"OFAV","PP","p"
"OFAV_PP_2HS48","C2","CA",0.049,"OFAV","PP","p"
"OFAV_PP_2HS48","C1","CH",0.228,"OFAV","PP","p"
"OFAV_PP_2HS48","C1","H",0.342,"OFAV","PP","p"
"OFAV_PP_2HS48","C2","CW",0.242,"OFAV","PP","p"
"OFAV_PP_2HS48","C3","H",0.46,"OFAV","PP","p"
"OFAV_PP_2HS48","C3","A",0.13,"OFAV","PP","p"
"OFAV_PP_2HS48","C5","A",0.113,"OFAV","PP","p"
"OFAV_PP_2HS48","C3","CA",0.056,"OFAV","PP","p"
"OFAV_PP_2HS48","C1","CA",0.037,"OFAV","PP","p"
"OFAV_PP_2HS48","C2","CH",0.264,"OFAV","PP","p"
"OFAV_PP_2HS48","C5","W",0.391,"OFAV","PP","p"
"OFAV_PP_2HS48","C5","CA",0.051,"OFAV","PP","p"
"OFAV_PP_2HS48","C4","A",0.124,"OFAV","PP","p"
"OFAV_PP_2HS48","C4","CA",0.051,"OFAV","PP","p"
"OFAV_PP_2HS48","C2","H",0.428,"OFAV","PP","p"
"OFAV_PP_2HS48","C5","CW",0.233,"OFAV","PP","p"
"OFAV_PP_2HS48","C1","A",0.11,"OFAV","PP","p"
"OFAV_PP_2HS48","C3","CW",0.222,"OFAV","PP","p"
"OFAV_PP_2HS48","C1","CW",0.199,"OFAV","PP","p"
"OFAV_PP_2HS48","C5","H",0.457,"OFAV","PP","p"
"OFAV_PP_2HS48","C5","CH",0.245,"OFAV","PP","p"
"OFAV_PP_2HS48","C3","CH",0.274,"OFAV","PP","p"
"OFAV_PP_2HS48","C3","W",0.367,"OFAV","PP","p"
"OFAV_PP_2HS48","C1","W",0.398,"OFAV","PP","p"
"OFAV_PP_2HS6","C5","A",0.148,"OFAV","PP","p"
"OFAV_PP_2HS6","C4","CA",0.05,"OFAV","PP","p"
"OFAV_PP_2HS6","C3","CH",0.254,"OFAV","PP","p"
"OFAV_PP_2HS6","C4","A",0.123,"OFAV","PP","p"
"OFAV_PP_2HS6","C3","H",0.44,"OFAV","PP","p"
"OFAV_PP_2HS6","C3","W",0.408,"OFAV","PP","p"
"OFAV_PP_2HS6","C5","CA",0.063,"OFAV","PP","p"
"OFAV_PP_2HS6","C2","CH",0.259,"OFAV","PP","p"
"OFAV_PP_2HS6","C1","W",0.441,"OFAV","PP","p"
"OFAV_PP_2HS6","C3","CW",0.21,"OFAV","PP","p"
"OFAV_PP_2HS6","C3","CA",0.046,"OFAV","PP","p"
"OFAV_PP_2HS6","C2","CW",0.26,"OFAV","PP","p"
"OFAV_PP_2HS6","C5","CW",0.25,"OFAV","PP","p"
"OFAV_PP_2HS6","C1","CW",0.231,"OFAV","PP","p"
"OFAV_PP_2HS6","C2","H",0.442,"OFAV","PP","p"
"OFAV_PP_2HS6","C4","CH",0.228,"OFAV","PP","p"
"OFAV_PP_2HS6","C4","W",0.397,"OFAV","PP","p"
"OFAV_PP_2HS6","C1","A",0.102,"OFAV","PP","p"
"OFAV_PP_2HS6","C1","CA",0.052,"OFAV","PP","p"
"OFAV_PP_2HS6","C3","A",0.112,"OFAV","PP","p"
"OFAV_PP_2HS6","C5","W",0.495,"OFAV","PP","p"
"OFAV_PP_2HS6","C1","H",0.382,"OFAV","PP","p"
"OFAV_PP_2HS6","C4","CW",0.235,"OFAV","PP","p"
"OFAV_PP_2HS6","C4","H",0.441,"OFAV","PP","p"
"OFAV_PP_2HS6","C1","CH",0.237,"OFAV","PP","p"
"OFAV_PP_2HS6","C2","CA",0.055,"OFAV","PP","p"
"OFAV_PP_2HS6","C2","A",0.152,"OFAV","PP","p"
"OFAV_PP_2HS6","C5","H",0.448,"OFAV","PP","p"
"OFAV_PP_2HS6","C5","CH",0.278,"OFAV","PP","p"
"OFAV_PP_2HS6","C2","W",0.452,"OFAV","PP","p"
"OFAV_PP_310","C4","A",0.129,"OFAV","PP","p"
"OFAV_PP_310","C4","CA",0.046,"OFAV","PP","p"
"OFAV_PP_310","C5","A",0.136,"OFAV","PP","p"
"OFAV_PP_310","C4","CW",0.242,"OFAV","PP","p"
"OFAV_PP_310","C1","CH",0.275,"OFAV","PP","p"
"OFAV_PP_310","C4","CH",0.285,"OFAV","PP","p"
"OFAV_PP_310","C5","CA",0.06,"OFAV","PP","p"
"OFAV_PP_310","C2","A",0.14,"OFAV","PP","p"
"OFAV_PP_310","C1","A",0.122,"OFAV","PP","p"
"OFAV_PP_310","C3","CW",0.215,"OFAV","PP","p"
"OFAV_PP_310","C4","W",0.385,"OFAV","PP","p"
"OFAV_PP_310","C1","H",0.504,"OFAV","PP","p"
"OFAV_PP_310","C2","CW",0.198,"OFAV","PP","p"
"OFAV_PP_310","C2","CA",0.038,"OFAV","PP","p"
"OFAV_PP_310","C4","H",0.503,"OFAV","PP","p"
"OFAV_PP_310","C3","CA",0.053,"OFAV","PP","p"
"OFAV_PP_310","C3","CH",0.301,"OFAV","PP","p"
"OFAV_PP_310","C3","W",0.31,"OFAV","PP","p"
"OFAV_PP_310","C3","A",0.127,"OFAV","PP","p"
"OFAV_PP_310","C5","H",0.523,"OFAV","PP","p"
"OFAV_PP_310","C1","CA",0.056,"OFAV","PP","p"
"OFAV_PP_310","C5","W",0.477,"OFAV","PP","p"
"OFAV_PP_310","C2","W",0.483,"OFAV","PP","p"
"OFAV_PP_310","C1","W",0.39,"OFAV","PP","p"
"OFAV_PP_310","C3","H",0.531,"OFAV","PP","p"
"OFAV_PP_310","C2","H",0.447,"OFAV","PP","p"
"OFAV_PP_310","C5","CW",0.264,"OFAV","PP","p"
"OFAV_PP_310","C5","CH",0.296,"OFAV","PP","p"
"OFAV_PP_310","C2","CH",0.264,"OFAV","PP","p"
"OFAV_PP_310","C1","CW",0.204,"OFAV","PP","p"
"OFAV_PP_313","C3","W",0.493,"OFAV","PP","p"
"OFAV_PP_313","C3","CW",0.258,"OFAV","PP","p"
"OFAV_PP_313","C3","CH",0.22,"OFAV","PP","p"
"OFAV_PP_313","C1","W",0.419,"OFAV","PP","p"
"OFAV_PP_313","C2","H",0.4,"OFAV","PP","p"
"OFAV_PP_313","C3","H",0.387,"OFAV","PP","p"
"OFAV_PP_313","C1","H",0.392,"OFAV","PP","p"
