"colony_id","A","CA","CH","CW","H","W","D","CA.A"
"OFAV_PP_0GT1",0.1692,0.0604,0.2548,0.2316,0.4998,0.4354,6.791,0.356973995271868
"OFAV_PP_0HS3",0.121,0.0578,0.2534,0.2518,0.3928,0.3948,7.539,0.477685950413223
"OFAV_PP_0HS4",0.1112,0.0376,0.2098,0.219,0.3964,0.3738,9.091,0.338129496402878
"OFAV_PP_2HS12",0.1058,0.0458,0.2074,0.2566,0.3296,0.433,9.06,0.43289224952741
"OFAV_PP_2HS2",0.1418,0.0596,0.255,0.2654,0.4534,0.4448,7.55,0.420310296191819
"OFAV_PP_2HS48",0.118,0.0488,0.2528,0.2262,0.431,0.381,6.608,0.413559322033898
"OFAV_PP_2HS6",0.1274,0.0532,0.2512,0.2372,0.4306,0.4386,7.506,0.417582417582418
"OFAV_PP_310",0.1308,0.0506,0.2842,0.2246,0.5016,0.409,5.559,0.386850152905199
"OFAV_PP_313",0.1388,0.0554,0.2322,0.2602,0.4046,0.4558,7.514,0.399135446685879
"OFAV_PP_352",0.091,0.0366,0.1764,0.19,0.3532,0.3606,10.508,0.402197802197802
"OFAV_PP_356",0.1178,0.0438,0.2264,0.1748,0.4118,0.365,5.325,0.371816638370119
"OFAV_PP_357",0.107333333333333,0.0533333333333333,0.24975,0.239,0.387,0.367,7.995,0.496894409937888
"OFAV_PP_358",0.1044,0.0438,0.2184,0.227,0.368,0.3732,9.244,0.419540229885057
"OFAV_PP_359",0.1204,0.051,0.2462,0.2404,0.382,0.4072,6.318,0.42358803986711
"OFAV_PP_360",0.0994,0.0422,0.22,0.2086,0.3832,0.3454,10.669,0.424547283702213
"OFAV_PP_362",0.1064,0.0464,0.2348,0.198,0.4034,0.343,10.123,0.43609022556391
"OFAV_PP_365",0.1192,0.055,0.2374,0.2604,0.3444,0.4508,8.496,0.461409395973154
"OFAV_PP_366",0.1112,0.0376,0.1938,0.1792,0.3588,0.3534,7.996,0.338129496402878
"OFAV_PP_367",0.1274,0.0508,0.2156,0.2564,0.36,0.498,6.229,0.398744113029827
"OFAV_PP_368",0.0996,0.0462,0.2382,0.2242,0.3708,0.3954,8.256,0.463855421686747
"OFAV_PP_369",0.1116,0.0522,0.246,0.1774,0.414,0.3408,8.41,0.467741935483871
