Species,Site,Cage,Colony#,∆F/Fm',Fv/Fm,Qm
Ofav,Deep,3 SP,1,0.582,0.702,0.170940171
Ofav,Deep,3 SP,2,0.577,0.666,0.133633634
Ofav,Deep,3 SP,3,0.585,0.714,0.180672269
Ofav,Deep,3 SP,4,0.577,0.694,0.168587896
Ofav,Deep,3 SP,5,0.616,0.693,0.111111111
Ofav,Deep,3 SP,6,0.595,0.7,0.15
Ofav,Deep,3 SP,7,0.512,0.662,0.226586103
Ofav,Deep,3 SP,8,0.553,0.656,0.157012195
Ofav,Deep,3 SP,9,0.601,0.692,0.13150289
Ofav,Deep,3 SP,10,0.575,0.691,0.167872648
Ofav,Deep,3 SP,11,0.601,0.691,0.13024602
Ofav,Deep,3 SP,12,0.595,0.672,0.114583333
Ofav,Deep,3 SP,13,0.575,0.667,0.137931034
Ofav,Deep,3 SP,14,0.563,0.69,0.184057971
Ofav,Deep,3 SP,15,0.596,0.687,0.132459971
Ofav,Deep,3 SP,16,0.562,0.692,0.187861272
Ofav,Deep,3 SP,17,0.604,0.691,0.125904486
Ofav,Deep,3 SP,18,0.58,0.684,0.152046784
Ofav,Deep,3 SP,19,0.573,0.704,0.186079545
Ofav,Deep,3 SP,20,0.554,0.671,0.174366617
Ofav,Deep,3 SP,21,0.565,0.665,0.15037594
Ofav,Deep,3 SP,22,0.533,0.684,0.220760234
Ofav,Deep,3 SP,23,0.538,0.687,0.216885007
Ofav,Deep,3 SP,24,0.58,0.691,0.160636758
Ofav,Deep,3 SP,25,0.571,0.699,0.183118741
Ofav,Deep,3 SP,26,0.63,0.698,0.097421203
Ofav,Deep,3 SP,27,0.589,0.693,0.15007215
Ofav,Deep,3 SP,28,0.604,0.701,0.138373752
Ofav,Deep,8 PP,1,0.58,0.692,0.161849711
Ofav,Deep,8 PP,2,0.576,0.69,0.165217391
Ofav,Deep,8 PP,3,0.57,0.703,0.189189189
Ofav,Deep,8 PP,4,0.521,0.684,0.238304094
Ofav,Deep,8 PP,5,0.582,0.696,0.163793103
Ofav,Deep,8 PP,6,0.572,0.689,0.169811321
Ofav,Deep,8 PP,7,0.581,0.688,0.155523256
Ofav,Deep,8 PP,8,0.53,0.674,0.213649852
Ofav,Deep,8 PP,9,0.512,0.668,0.233532934
Ofav,Deep,8 PP,10,0.586,0.686,0.145772595
Ofav,Deep,8 PP,11,0.363,0.585,0.379487179
Ofav,Deep,8 PP,12,0.57,0.678,0.159292035
Ofav,Deep,8 PP,13,0.593,0.678,0.125368732
