Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_P_02112023_OFRA_PS.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/11/23,,,,,,,,,,,,
Time,3:35:52 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.924,1.858,1.534,1.436,1.03,1.064,0.848,0.816,0.595,0.645,0.323,0.325,562
B,0.249,0.249,0.116,0.116,0.089,0.086,0.444,0.46,0.251,0.259,0.429,0.471,562
C,0.374,0.364,0.266,0.275,0.239,0.245,0.301,0.309,0.166,0.17,0.343,0.369,562
D,0.333,0.301,0.478,0.493,0.285,0.286,0.358,0.363,0.45,0.463,0.484,0.517,562
E,0.363,0.335,0.308,0.315,0.345,0.379,0.327,0.337,0.355,0.341,0.371,0.402,562
F,0.463,0.469,0.238,0.218,0.441,0.446,0.301,0.31,0.251,0.278,0.312,0.331,562
G,0.44,0.455,0.273,0.284,0.386,0.394,0.341,0.352,0.293,0.3,0.526,0.56,562
H,0.51,0.541,0.299,0.307,0.447,0.454,0.486,0.531,0.047,0.046,0.047,0.048,562
