well,colony_id
A1,Standard_A
A2,Standard_A
A3,Standard_B
A4,Standard_B
A5,Standard_C
A6,Standard_C
A7,Standard_D
A8,Standard_D
A9,Standard_E
A10,Standard_E
A11,Standard_F
A12,Standard_F
B1,Standard_G
B2,Standard_G
B3,Standard_H
B4,Standard_H
B5,Standard_I
B6,Standard_I
B7,OFAV_PP_0GT1
B8,OFAV_PP_0GT1
B9,OFAV_PP_0HS3
B10,OFAV_PP_0HS3
B11,OFAV_PP_0HS4
B12,OFAV_PP_0HS4
C1,OFAV_PP_2HS12
C2,OFAV_PP_2HS12
C3,OFAV_PP_2HS2
C4,OFAV_PP_2HS2
C5,OFAV_PP_2HS48
C6,OFAV_PP_2HS48
C7,OFAV_PP_2HS6
C8,OFAV_PP_2HS6
C9,OFAV_PP_310
C10,OFAV_PP_310
C11,OFAV_PP_313
C12,OFAV_PP_313
D1,OFAV_PP_352
D2,OFAV_PP_352
D3,OFAV_PP_356
D4,OFAV_PP_356
D5,OFAV_PP_357
D6,OFAV_PP_357
D7,OFAV_PP_358
D8,OFAV_PP_358
D9,OFAV_PP_359
D10,OFAV_PP_359
D11,OFAV_PP_360
D12,OFAV_PP_360
E1,OFAV_PP_362
E2,OFAV_PP_362
E3,OFAV_PP_365
E4,OFAV_PP_365
E5,OFAV_PP_366
E6,OFAV_PP_366
E7,OFAV_PP_367
E8,OFAV_PP_367
E9,OFAV_PP_368
E10,OFAV_PP_368
E11,OFAV_PP_369
E12,OFAV_PP_369
F1,OFAV_PP_371
F2,OFAV_PP_371
F3,OFAV_PP_9AZ5
F4,OFAV_PP_9AZ5
F5,OFAV_PP_9AZ9
F6,OFAV_PP_9AZ9
F7,OFAV_PP_9EV35
F8,OFAV_PP_9EV35
F9,OFAV_PP_9EV4
F10,OFAV_PP_9EV4
F11,OFAV_PP_9EV40
F12,OFAV_PP_9EV40
G1,OFAV_PP_9EV5
G2,OFAV_PP_9EV5
G3,OFAV_PP_9GT35
G4,OFAV_PP_9GT35
G5,OFAV_PP_9GT4
G6,OFAV_PP_9GT4
G7,OFAV_PP_9GT46
G8,OFAV_PP_9GT46
G9,OFAV_PP_9IR44
G10,OFAV_PP_9IR44
G11,OFAV_PP_9JQ4
G12,OFAV_PP_9JQ4
H1,OFAV_PP_9JQ42
H2,OFAV_PP_9JQ42
H3,OFAV_PP_9JQ43
H4,OFAV_PP_9JQ43
H5,OFAV_PP_9JQ53
H6,OFAV_PP_9JQ53
H7,OFAV_PP_AZ
H8,OFAV_PP_AZ
H9,OFAV_PP_CX
H10,OFAV_PP_CX
H11,OFAV_PP_DW
H12,OFAV_PP_DW
