well,colony_id
A1,Standard_A
A2,Standard_A
A3,Standard_B
A4,Standard_B
A5,Standard_C
A6,Standard_C
A7,Standard_D
A8,Standard_D
A9,Standard_E
A10,Standard_E
A11,Standard_F
A12,Standard_F
B1,Standard_G
B2,Standard_G
B3,Standard_H
B4,Standard_H
B5,Standard_I
B6,Standard_I
B7,OFAV_PS_0HS2
B8,OFAV_PS_0HS2
B9,OFAV_PS_0HS3
B10,OFAV_PS_0HS3
B11,OFAV_PS_0HS4
B12,OFAV_PS_0HS4
C1,OFAV_PS_2HS12
C2,OFAV_PS_2HS12
C3,OFAV_PS_2HS48
C4,OFAV_PS_2HS48
C5,OFAV_PS_2HS6
C6,OFAV_PS_2HS6
C7,OFAV_PS_310
C8,OFAV_PS_310
C9,OFAV_PS_313
C10,OFAV_PS_313
C11,OFAV_PS_352
C12,OFAV_PS_352
D1,OFAV_PS_356
D2,OFAV_PS_356
D3,OFAV_PS_357
D4,OFAV_PS_357
D5,OFAV_PS_359
D6,OFAV_PS_359
D7,OFAV_PS_360
D8,OFAV_PS_360
D9,OFAV_PS_362
D10,OFAV_PS_362
D11,OFAV_PS_365_P1
D12,OFAV_PS_365_P1
E1,OFAV_PS_365_P2
E2,OFAV_PS_365_P2
E3,OFAV_PS_367
E4,OFAV_PS_367
E5,OFAV_PS_368
E6,OFAV_PS_368
E7,OFAV_PS_369
E8,OFAV_PS_369
E9,OFAV_PS_370
E10,OFAV_PS_370
E11,OFAV_PS_371
E12,OFAV_PS_371
F1,OFAV_PS_9AZ5
F2,OFAV_PS_9AZ5
F3,OFAV_PS_9AZ9
F4,OFAV_PS_9AZ9
F5,OFAV_PS_9EV35
F6,OFAV_PS_9EV35
F7,OFAV_PS_9EV4
F8,OFAV_PS_9EV4
F9,OFAV_PS_9EV40
F10,OFAV_PS_9EV40
F11,OFAV_PS_9EV5
F12,OFAV_PS_9EV5
G1,OFAV_PS_9GT35
G2,OFAV_PS_9GT35
G3,OFAV_PS_9GT4
G4,OFAV_PS_9GT4
G5,OFAV_PS_9GT46
G6,OFAV_PS_9GT46
G7,OFAV_PS_9IR44
G8,OFAV_PS_9IR44
G9,OFAV_PS_9JQ4
G10,OFAV_PS_9JQ4
G11,OFAV_PS_9JQ42
G12,OFAV_PS_9JQ42
H1,OFAV_PS_9JQ431
H2,OFAV_PS_9JQ431
H3,OFAV_PS_9JQ53
H4,OFAV_PS_9JQ53
H5,OFAV_PS_AZ
H6,OFAV_PS_AZ
H7,OFAV_PS_CX
H8,OFAV_PS_CX
H9,OFAV_PS_DW
H10,OFAV_PS_DW
H11,OFAV_PS_EV
H12,OFAV_PS_EV
