Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_P_02132023_OFRA_PP.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/13/23,,,,,,,,,,,,
Time,2:20:15 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21.2,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.789,1.905,1.552,1.44,1.052,1.116,0.823,0.878,0.614,0.621,0.382,0.385,562
B,0.254,0.249,0.117,0.117,0.091,0.09,0.351,0.351,0.261,0.271,0.342,0.377,562
C,0.33,0.322,0.235,0.24,0.336,0.343,0.403,0.405,0.492,0.492,0.436,0.469,562
D,0.308,0.314,0.333,0.34,0.415,0.394,0.354,0.355,0.414,0.422,0.309,0.322,562
E,0.366,0.358,0.461,0.488,0.188,0.19,0.353,0.359,0.29,0.293,0.417,0.439,562
F,0.348,0.333,0.272,0.262,0.279,0.281,0.293,0.28,0.231,0.234,0.266,0.288,562
G,0.254,0.263,0.394,0.395,0.427,0.464,0.378,0.402,0.239,0.242,0.351,0.37,562
H,0.399,0.387,0.335,0.343,0.046,0.045,0.046,0.045,0.046,0.045,0.046,0.047,562
