well,colony_id
A1,Standard_A
A2,Standard_A
A3,Standard_B
A4,Standard_B
A5,Standard_C
A6,Standard_C
A7,Standard_D
A8,Standard_D
A9,Standard_E
A10,Standard_E
A11,Standard_F
A12,Standard_F
B1,Standard_G
B2,Standard_G
B3,Standard_H
B4,Standard_H
B5,Standard_I
B6,Standard_I
B7,OFRA_PP_0CX4
B8,OFRA_PP_0CX4
B9,OFRA_PP_0CX5
B10,OFRA_PP_0CX5
B11,OFRA_PP_0GT1
B12,OFRA_PP_0GT1
C1,OFRA_PP_0GT5
C2,OFRA_PP_0GT5
C3,OFRA_PP_1GT37_P1
C4,OFRA_PP_1GT37_P1
C5,OFRA_PP_1GT37_P2
C6,OFRA_PP_1GT37_P2
C7,OFRA_PP_1GT42_P2
C8,OFRA_PP_1GT42_P2
C9,OFRA_PP_2CX12_P1
C10,OFRA_PP_2CX12_P1
C11,OFRA_PP_2CX12_P2
C12,OFRA_PP_2CX12_P2
D1,OFRA_PP_2GT10
D2,OFRA_PP_2GT10
D3,OFRA_PP_2GT3_P1
D4,OFRA_PP_2GT3_P1
D5,OFRA_PP_2GT3_P2
D6,OFRA_PP_2GT3_P2
D7,OFRA_PP_2GT38
D8,OFRA_PP_2GT38
D9,OFRA_PP_2GT41_P1
D10,OFRA_PP_2GT41_P1
D11,OFRA_PP_2GT41_P2
D12,OFRA_PP_2GT41_P2
E1,OFRA_PP_2GT7_P1
E2,OFRA_PP_2GT7_P1
E3,OFRA_PP_2GT7_P2
E4,OFRA_PP_2GT7_P2
E5,OFRA_PP_2HS11
E6,OFRA_PP_2HS11
E7,OFRA_PP_2HS17_P1
E8,OFRA_PP_2HS17_P1
E9,OFRA_PP_2HS17_P2
E10,OFRA_PP_2HS17_P2
E11,OFRA_PP_2HS27
E12,OFRA_PP_2HS27
F1,OFRA_PP_2HS9_P1
F2,OFRA_PP_2HS9_P1
F3,OFRA_PP_2HS9_P2
F4,OFRA_PP_2HS9_P2
F5,OFRA_PP_4CX12
F6,OFRA_PP_4CX12
F7,OFRA_PP_4HS15
F8,OFRA_PP_4HS15
F9,OFRA_PP_6EV18
F10,OFRA_PP_6EV18
F11,OFRA_PP_6GT17
F12,OFRA_PP_6GT17
G1,OFRA_PP_8CX24
G2,OFRA_PP_8CX24
G3,OFRA_PP_8HS21
G4,OFRA_PP_8HS21
G5,OFRA_PP_8HS23
G6,OFRA_PP_8HS23
G7,OFRA_PP_8HS24
G8,OFRA_PP_8HS24
G9,OFRA_PP_9CX5_P1
G10,OFRA_PP_9CX5_P1
G11,OFRA_PP_9CX5_P2
G12,OFRA_PP_9CX5_P2
H1,OFRA_PP_9GT30_P1
H2,OFRA_PP_9GT30_P1
H3,OFRA_PP_9GT30_P2
H4,OFRA_PP_9GT30_P2
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
