colony_id,prot_ug.mL,prot_ug.cm2,prot_mg.cm2
OFAV_SP_0AZ24,75.22803299,714.8875723,0.714887572
OFAV_SP_0AZ4,263.9168979,1381.714926,1.381714926
OFAV_SP_0EV3_P1,217.9094277,1250.560144,1.250560144
OFAV_SP_0EV3_P2,217.9094277,642.730507,0.642730507
OFAV_SP_2AZ21_P1,195.1968792,NA,NA
OFAV_SP_2AZ21_P2,106.6761771,564.0169012,0.564016901
OFAV_SP_2AZ7_P1,173.0667037,435.888994,0.435888994
OFAV_SP_2AZ7_P2,11.16699862,NA,NA
OFAV_SP_2AZ7_P3,118.3236379,NA,NA
OFAV_SP_2AZ7_P4,315.7480984,NA,NA
OFAV_SP_2JQ31_P1,102.5995659,NA,NA
OFAV_SP_2JQ31_P2,177.1433149,NA,NA
OFAV_SP_2JQ8,89.78735899,472.0959428,0.472095943
OFAV_SP_3EV30_P2,341.3725122,NA,NA
OFAV_SP_3EV30_P3,333.8016626,1039.954846,1.039954846
OFAV_SP_3JQ10,181.8022993,507.5854214,0.507585421
OFAV_SP_3JQ1_P1,411.83965,NA,NA
OFAV_SP_3JQ1_P2,-4.557073449,NA,NA
OFAV_SP_3JQ1_P3,386.2152362,947.9724154,0.947972415
OFAV_SP_3JQ1_P4,108.4232963,568.6481133,0.568648113
OFAV_SP_4DW11,452.6057627,670.3195909,0.670319591
OFAV_SP_6JQ16,103.7643119,555.0703508,0.555070351
OFAV_SP_8EV24,272.6524935,415.7619636,0.415761964
OFAV_SP_9EV2,221.986039,620.6619004,0.6206619
OFAV_SP_EV,445.6172863,13402.06984,13.40206984
OFAV_SS_0AZ4,235.3806189,1049.117454,1.049117454
OFAV_SS_0DW46,408.3454117,900.2116375,0.900211637
OFAV_SS_0EV3,110.1704154,499.2739406,0.499273941
OFAV_SS_1AZ5,167.8253463,686.1602789,0.686160279
OFAV_SS_2AZ2,472.9888191,1198.609313,1.198609313
OFAV_SS_2AZ21,229.5568885,740.4786949,0.740478695
OFAV_SS_2AZ7_P1,550.4444334,1466.396365,1.466396365
OFAV_SS_2AZ7_P2,302.3535185,1774.08297,1.77408297
OFAV_SS_2DW40,439.2111828,1277.769973,1.277769973
OFAV_SS_2DW44,423.4871108,1754.213916,1.754213916
OFAV_SS_2EV10,61.83345308,384.2736813,0.384273681
OFAV_SS_2EV3,221.403666,634.0809823,0.634080982
OFAV_SS_2EV30,181.8022993,1162.759507,1.162759507
OFAV_SS_2EV34,144.5304247,1249.055063,1.249055063
OFAV_SS_2EV36,474.7359383,1672.813759,1.672813759
OFAV_SS_2EV44,343.1196313,1150.279657,1.150279657
OFAV_SS_2EV6,357.0965842,1039.440598,1.039440598
OFAV_SS_2JQ31,366.4145529,847.1330788,0.847133079
OFAV_SS_2JQ6,189.3731488,777.7116539,0.777711654
OFAV_SS_2JQ8,306.4301298,927.6503382,0.927650338
OFAV_SS_3EV30,155.0131394,932.6768222,0.932676822
OFAV_SS_3JQ1_P1,252.8518101,864.9700355,0.864970035
OFAV_SS_3JQ1_P2,263.9168979,650.7291644,0.650729164
OFAV_SS_4DW11,247.0280797,874.3949667,0.874394967
OFAV_SS_4DW14,186.4612836,785.5643054,0.785564305
OFAV_SS_4EV14,143.9480517,677.4184529,0.677418453
OFAV_SS_4EV15,342.5372582,1431.558507,1.431558507
OFAV_SS_4JQ12,284.8823273,1000.942339,1.000942339
OFAV_SS_6JQ16,452.0233897,1779.855569,1.779855569
OFAV_SS_8EV24,337.8782739,1265.501308,1.265501308
OFAV_SS_9AZ10,403.6864274,486.8430106,0.486843011
OFAV_SS_9AZ7,252.2694371,1197.791563,1.197791563
OFAV_SS_9AZ81_P1,-16.20453424,-112.959763,-0.112959763
OFAV_SS_9DW37_P1,336.7135278,1427.462932,1.427462932
OFAV_SS_9DW37_P2,364.0850607,922.0919703,0.92209197
OFAV_SS_9EV2_P1,279.0585969,1738.618829,1.738618829
OFAV_SS_9EV41,371.0735372,1937.136687,1.937136687
OFAV_SS_9JQ5,454.9352549,1367.229316,1.367229316
OFAV_SP_DEV35,447.9467784,509.362106,0.509362106
OFRA_PS_0CX4,382.1386249,-20519.53773,-20.51953773
OFRA_PS_0CX5,152.6836473,655.3779599,0.65537796
OFRA_PS_0GT1,379.8091328,1200.981902,1.200981902
OFRA_PS_0GT3,285.4647003,1219.493836,1.219493836
OFRA_PS_0GT5_P1,170.7372115,632.0146044,0.632014604
OFRA_PS_0GT5_P2,137.5419482,706.5812374,0.706581237
OFRA_PS_1GT37,210.9209513,664.9686308,0.664968631
OFRA_PS_1GT42,51.35073837,287.0026605,0.28700266
OFRA_PS_1GT43,270.3230013,857.7294221,0.857729422
OFRA_PS_2CX10,224.8979042,761.3632948,0.761363295
OFRA_PS_2CX12,421.1576186,1178.52072,1.17852072
OFRA_PS_2CX13,188.2084027,527.8657544,0.527865754
OFRA_PS_2CX8,275.5643587,964.027703,0.964027703
OFRA_PS_2GT10,387.3799823,1381.484242,1.381484242
OFRA_PS_2GT3,438.6288098,1579.61372,1.57961372
OFRA_PS_2GT31,262.1697787,NA,NA
OFRA_PS_2GT38,218.4918008,569.4958118,0.569495812
OFRA_PS_2GT41,277.3114778,1248.336308,1.248336308
OFRA_PS_2GT7,242.3690954,1456.796892,1.456796892
OFRA_PS_2HS11,261.0050327,1128.678136,1.128678136
OFRA_PS_2HS17,305.8477567,1088.390006,1.088390006
OFRA_PS_2HS27,398.44507,1159.613859,1.159613859
OFRA_PS_2HS9,121.2355031,378.6851418,0.378685142
OFRA_PS_4CX12,372.2382833,1252.292683,1.252292683
OFRA_PS_4HS13,211.5033243,1068.748084,1.068748084
OFRA_PS_4HS15,163.748735,940.7399768,0.940739977
OFRA_PS_6CX18,230.1392616,749.2499538,0.749249954
OFRA_PS_6EV18,376.8972676,1489.887603,1.489887603
OFRA_PS_6GT17,180.0551801,798.0223417,0.798022342
OFRA_PS_8CX24,309.924368,1117.845092,1.117845092
OFRA_PS_8HS23,259.2579135,879.8313799,0.87983138
OFRA_PS_8HS24,201.0206096,918.8426556,0.918842656
OFRA_PS_9CX5,488.1305182,1065.929781,1.065929781
OFRA_PS_9CX6,467.7474618,1213.201343,1.213201343
OFRA_PS_9GT30,208.5914591,664.6538504,0.66465385
OFRA_PS_9GT47,380.3915058,1162.217452,1.162217452
OFAV_PP_0GT1,178.308061,833.4973165,0.833497317
OFAV_PP_0HS3,394.9508318,1343.319267,1.343319267
OFAV_PP_0HS4,182.3846723,NA,NA
OFAV_PP_2HS12,213.8328165,NA,NA
OFAV_PP_2HS2,722.2444801,691.6095289,0.691609529
OFAV_PP_2HS48,173.6490767,580.5302586,0.580530259
OFAV_PP_2HS6,155.0131394,805.8098565,0.805809856
OFAV_PP_310,417.6633804,925.4705345,0.925470535
OFAV_PP_313,366.9969259,1206.402907,1.206402907
OFAV_PP_352,400.7745622,986.7334271,0.986733427
OFAV_PP_356,177.1433149,870.7592432,0.870759243
OFAV_PP_357,323.901321,1180.25296,1.18025296
OFAV_PP_358,227.2273964,528.0595241,0.528059524
OFAV_PP_359,272.0701204,472.5359131,0.472535913
